day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,30.98,17.85,0,22.77
2,1,1981,31.2,18.29,0,22.11
3,1,1981,31.74,17.65,0,21.96
4,1,1981,30.31,17.67,5.83,19.78
5,1,1981,31.12,17.73,1.54,20.9
6,1,1981,29.76,18.35,5.29,19.48
7,1,1981,30.72,17.76,0,20.84
8,1,1981,31.03,17.85,0,22.31
9,1,1981,31.6,17.01,0,23.29
10,1,1981,31.83,16.62,0,23.66
11,1,1981,32.05,16.96,0,23.1
12,1,1981,30.95,18.11,0,21.18
13,1,1981,31.6,18.74,0,22.58
14,1,1981,31.69,17.85,0,20.14
15,1,1981,31.82,17.44,0,20.98
16,1,1981,30.72,17.65,0,20.42
17,1,1981,31.12,17.34,0,21.81
18,1,1981,31.31,17.37,0,22.3
19,1,1981,31.84,17.63,0,21.95
20,1,1981,32.58,17.44,0,24.38
21,1,1981,31.73,16.99,0,23.3
22,1,1981,31.44,19.3,0,21.82
23,1,1981,31.01,18.84,0,21.44
24,1,1981,31.43,17.69,0,22.45
25,1,1981,32.88,17.22,0,24.46
26,1,1981,32.55,18.83,0,23.14
27,1,1981,32.06,17.41,0,22.91
28,1,1981,33.03,17.22,0,24.94
29,1,1981,32.12,17.35,0,22.7
30,1,1981,30.21,18.36,0,20.34
31,1,1981,31.82,17.34,0,22.97
1,2,1981,31.99,18.57,0,24.64
2,2,1981,31.82,16.82,0,23.93
3,2,1981,33.13,17.09,0,25.42
4,2,1981,32.11,16.79,0,23.33
5,2,1981,32.62,16.94,0,24.29
6,2,1981,32.94,16.89,0,24.84
7,2,1981,32.42,17.3,0,24.09
8,2,1981,32.65,17.22,0,23.41
9,2,1981,31.93,18.32,0,22.43
10,2,1981,32.03,18.67,0,22.74
11,2,1981,31.21,18.45,0,20.89
12,2,1981,30.34,18.03,0,21.13
13,2,1981,30.07,18.88,0,19.95
14,2,1981,30.83,18.29,6.72,21.74
15,2,1981,30.88,17.76,19.98,20.84
16,2,1981,25.74,18.6,8.58,16.6
17,2,1981,30.31,17.35,0.7,21.15
18,2,1981,30.4,18.45,10.06,20.88
19,2,1981,29.53,18,0,20.34
20,2,1981,31,17.98,0,22.44
21,2,1981,32.05,18.35,0,22.97
22,2,1981,32.39,18.08,0,24.23
23,2,1981,32.96,19.07,0,23.63
24,2,1981,32.91,18.21,3.69,24.35
25,2,1981,33.46,19.27,0,24.35
26,2,1981,32.44,18.41,0,23.41
27,2,1981,31.27,18.92,0,22.53
28,2,1981,32.99,18.64,0.38,23.92
1,3,1981,32.58,19.02,0,24.14
2,3,1981,31.79,20.29,1.38,21.97
3,3,1981,30.79,19.28,4.94,20.32
4,3,1981,30.18,18.69,0,21.06
5,3,1981,30.46,18.84,0,21.51
6,3,1981,30.87,18.29,1.25,21.76
7,3,1981,30.7,18.83,0,21.81
8,3,1981,32.11,18.51,0,23.29
9,3,1981,32.28,19.87,0,24.2
10,3,1981,31.32,18.33,5.75,22.14
11,3,1981,30.02,19.92,0,21.13
12,3,1981,30.13,18.83,13.84,20.9
13,3,1981,29,18.49,0,20.14
14,3,1981,30.48,18.97,0,20.27
15,3,1981,29.06,18.73,0,19.49
16,3,1981,27.26,18.44,0.13,16.12
17,3,1981,29.75,18.88,2.72,20.15
18,3,1981,28.79,19.1,7.04,18.3
19,3,1981,28.23,18.35,7.04,17.5
20,3,1981,27.26,17.85,5.88,18.3
21,3,1981,27.49,18.07,7.78,17.09
22,3,1981,28.89,17.68,29.74,19.03
23,3,1981,26.34,18.51,18.87,16.33
24,3,1981,28.01,17.39,16.15,18.06
25,3,1981,22.56,18.04,20.45,10.03
26,3,1981,26.25,17.31,17.39,16.92
27,3,1981,25.92,18.01,18.83,17.61
28,3,1981,27.57,17.41,17.3,20.11
29,3,1981,27.19,18.14,9.39,19.59
30,3,1981,27.24,18.46,16.85,18.8
31,3,1981,26.77,17.62,30.48,17.98
1,4,1981,26.23,18.21,6.64,17.65
2,4,1981,27.19,17.86,8.41,19.05
3,4,1981,27.68,17.61,0,20.65
4,4,1981,28.83,18.08,7.57,22.68
5,4,1981,27.4,18.72,10.48,19.02
6,4,1981,27.03,18.46,7.39,19.07
7,4,1981,27.36,18.44,5.88,19.34
8,4,1981,28.12,18.11,0,20.32
9,4,1981,28.4,18.03,6.76,19.91
10,4,1981,28.44,18.73,8.86,20.59
11,4,1981,26.81,18.76,9.32,17.24
12,4,1981,26.7,18.61,15.02,15.97
13,4,1981,26.88,18.11,9.67,19.25
14,4,1981,27.42,18.84,13.63,18.13
15,4,1981,27.51,18.93,13.08,17.12
16,4,1981,28.57,18.23,11.79,20.31
17,4,1981,28.15,18.54,3.29,20.81
18,4,1981,27.52,18.44,8.6,20.25
19,4,1981,27.68,18.81,14.69,17.26
20,4,1981,27.1,18.57,12.15,16.99
21,4,1981,26.67,18.4,9.45,17.2
22,4,1981,24.51,18.33,18.1,15.93
23,4,1981,24.7,17.95,7.38,17.48
24,4,1981,26.85,17.03,13.72,20.47
25,4,1981,26.51,18,16.93,19.89
26,4,1981,27.33,18.13,8.23,19.82
27,4,1981,27.2,17.59,11.02,19.03
28,4,1981,28.31,18.64,5.96,22.03
29,4,1981,28.91,18.68,0,22.06
30,4,1981,28.34,18.19,0,19.71
1,5,1981,27.52,18.79,0.56,18.54
2,5,1981,27.54,18.88,0,19.68
3,5,1981,28.03,18.33,0,19.64
4,5,1981,27.46,18.27,0,18.6
5,5,1981,28.37,18.17,0,17.52
6,5,1981,28.09,18.26,0,18.06
7,5,1981,26.72,18.85,5.07,16.55
8,5,1981,25.89,18.77,5.65,16.49
9,5,1981,27.02,18.53,6.96,18.35
10,5,1981,26.18,18.84,0.62,17.07
11,5,1981,26.17,18.84,10.49,16.84
12,5,1981,26.33,18.81,14.26,16.85
13,5,1981,26.04,18.04,11.61,17.29
14,5,1981,25.67,18.61,5.23,16.75
15,5,1981,25.68,18.33,0.17,17.15
16,5,1981,26.6,17.96,8.95,19.37
17,5,1981,27.15,18.71,9.38,18.55
18,5,1981,27.28,18.18,7.53,18.9
19,5,1981,26.65,18.67,0,18.58
20,5,1981,27.25,18.5,0,18.92
21,5,1981,25.89,19.31,12.19,18.32
22,5,1981,25.99,18.84,0,17.29
23,5,1981,26.1,18.31,0,18.7
24,5,1981,26.58,18.73,0,18.77
25,5,1981,26.1,18.78,0,18.05
26,5,1981,26.95,18.74,0,18.87
27,5,1981,27.26,18.64,7.93,18.44
28,5,1981,27.65,18.34,0,18.81
29,5,1981,28.65,19.02,14.14,20.59
30,5,1981,27.05,19.11,11.67,15.51
31,5,1981,26.9,19.58,0,17.41
1,6,1981,25.74,18.88,0,16.96
2,6,1981,25.87,19.48,0,17.2
3,6,1981,26.08,19.49,0,17.52
4,6,1981,26.37,19.11,0,17.49
5,6,1981,26.15,19.08,0,16.74
6,6,1981,26.57,18.5,1.18,15.73
7,6,1981,26.27,18.98,2.46,16.01
8,6,1981,25.54,18.63,0,15.5
9,6,1981,25.74,18.24,0,16.72
10,6,1981,25.71,18.11,0,18.29
11,6,1981,25.98,17.94,0,17.39
12,6,1981,24.84,18.86,0,16.4
13,6,1981,25.95,18.46,0,18.28
14,6,1981,27.84,18.23,0,21.77
15,6,1981,27.07,19.2,0,19.29
16,6,1981,28.51,18.91,3.77,19.6
17,6,1981,27.15,18.96,5.5,17.06
18,6,1981,26.56,18.77,2.8,16.61
19,6,1981,25.54,18.25,0,16.13
20,6,1981,27.14,18.88,0,17.65
21,6,1981,27.23,19.33,2.02,16.91
22,6,1981,27.46,17.52,3.4,18.18
23,6,1981,28.78,19.22,4.61,18.64
24,6,1981,27.08,18.91,4.22,16.8
25,6,1981,23.78,18.71,3.82,13.02
26,6,1981,26.61,18.53,7.61,16.82
27,6,1981,25.61,17.12,8.88,16.11
28,6,1981,24.54,17.76,4.67,15.06
29,6,1981,26.32,18.23,0.82,16.59
30,6,1981,26.97,17.96,1.49,17.46
1,7,1981,26.14,18.91,33.27,15.7
2,7,1981,26.14,18.55,2.69,17.03
3,7,1981,26.01,18.37,0,15.81
4,7,1981,26.52,17.86,0,19.17
5,7,1981,24.54,18.65,0,16.46
6,7,1981,25.53,17.76,0,18.22
7,7,1981,26.05,17.7,0,17.75
8,7,1981,25.85,18.88,0,17.23
9,7,1981,27.22,19.26,0,18.54
10,7,1981,25.71,18.53,0,16.52
11,7,1981,22.99,18.14,0,12.15
12,7,1981,26.8,17.74,0,18.33
13,7,1981,25.59,18.96,22.57,16.8
14,7,1981,26.2,18.86,0,17.03
15,7,1981,23.76,18.57,5.69,13.9
16,7,1981,24.6,18.26,4.23,14.67
17,7,1981,25.53,18.02,23.02,17.11
18,7,1981,25.49,18.07,23.15,16.44
19,7,1981,25.01,17.94,0,16.69
20,7,1981,24.87,18.19,0,15.35
21,7,1981,25.83,18.38,0,15.82
22,7,1981,26.16,18.57,0,17.28
23,7,1981,25.53,18.65,0,16.12
24,7,1981,26.81,18.55,0,18.64
25,7,1981,26.41,18.1,0,17.24
26,7,1981,22.83,18.11,2.7,13.53
27,7,1981,24.3,17.62,4.55,14.18
28,7,1981,25.63,18.59,0,15.77
29,7,1981,26.65,18.16,0.28,18.05
30,7,1981,23.4,17.74,39.2,13.31
31,7,1981,25.57,17.85,3.68,17.58
1,8,1981,26.66,18.73,4.43,18.19
2,8,1981,27.08,18.47,12.64,18.44
3,8,1981,26.96,18.88,5.38,16.92
4,8,1981,24.24,18.98,0,12.94
5,8,1981,27.19,18.52,0,17.23
6,8,1981,22.24,18.71,15.11,11.86
7,8,1981,23.31,18.38,5.71,12.53
8,8,1981,26.77,18.15,0,18.71
9,8,1981,26.94,18.32,0,20.04
10,8,1981,26.68,18.87,0,17.81
11,8,1981,26.65,19.09,0,16.52
12,8,1981,26.95,18.75,2.35,17.38
13,8,1981,24.47,19.16,2.41,15.04
14,8,1981,24.8,18.36,7.14,15.13
15,8,1981,27.22,18.2,0,19.47
16,8,1981,26.15,18.2,0.91,19.07
17,8,1981,26.56,18.58,0,18.67
18,8,1981,28.25,18.79,0,22.52
19,8,1981,26.58,18.42,0,19.76
20,8,1981,25.85,18.29,0,18.24
21,8,1981,24.71,18.51,0,16.82
22,8,1981,27.26,17.99,0,19.86
23,8,1981,25.54,18.34,0,17.92
24,8,1981,24.93,18.51,0,15.96
25,8,1981,25.41,18.65,0,16.44
26,8,1981,26.86,18.44,0,18.16
27,8,1981,27.63,18.88,5.22,19.45
28,8,1981,28.13,18.24,0,18.83
29,8,1981,26.83,18.31,0,17.37
30,8,1981,27.22,17.91,0.69,18.37
31,8,1981,24.52,18.27,0.68,15.46
1,9,1981,25.11,18,25.57,16.81
2,9,1981,26.22,17.58,0,19.23
3,9,1981,25.84,17.86,0,17.83
4,9,1981,25.58,17.69,1.51,17.58
5,9,1981,26.4,18.16,0,17.94
6,9,1981,25.8,18.31,0,18.07
7,9,1981,25.4,17.84,0,17.26
8,9,1981,23.63,17.83,0,16.02
9,9,1981,25.86,17.43,0,18.48
10,9,1981,27.85,18.09,10.55,20.96
11,9,1981,27.14,18.47,10.69,19.08
12,9,1981,26.98,18.87,0,19.95
13,9,1981,27.84,17.94,0.62,20.46
14,9,1981,26.93,18.56,0.64,18.48
15,9,1981,25.28,18.27,0,17.77
16,9,1981,26.24,18.57,0,19.12
17,9,1981,26.41,18.85,0,17.42
18,9,1981,25.24,17.83,0,15.98
19,9,1981,26.67,17.85,6.06,17.84
20,9,1981,26.83,18.28,8.89,17.27
21,9,1981,26.96,17.97,0,19.79
22,9,1981,26.14,18.67,6.86,17.49
23,9,1981,27.11,18.63,0,19.24
24,9,1981,27.21,18.54,4.32,19.53
25,9,1981,25.33,18.26,22.31,15.14
26,9,1981,26.76,18.08,30.11,17.41
27,9,1981,26.16,18.2,27.17,16.28
28,9,1981,27.13,18.07,19.44,19.7
29,9,1981,28.07,17.95,14.35,19.5
30,9,1981,27.78,18.7,20.03,18.42
1,10,1981,27.58,18.41,19.41,18.43
2,10,1981,26.51,18.58,0,16.62
3,10,1981,27.26,17.46,0,19.24
4,10,1981,26.23,17.99,0,17.35
5,10,1981,27.46,17.28,0,19.71
6,10,1981,29.01,17.92,5.01,20.84
7,10,1981,29.17,18.03,18.37,20.67
8,10,1981,27.85,18.81,16.33,20.59
9,10,1981,26.78,18.12,15.67,18.33
10,10,1981,27.89,17.84,12.85,19.72
11,10,1981,28.05,18.09,0,19.75
12,10,1981,27.42,18.21,1.41,19.81
13,10,1981,26.8,17.81,0,18.04
14,10,1981,27.99,17.84,7.67,19.73
15,10,1981,28.42,18.16,0,19.82
16,10,1981,27.93,18.17,7.1,19.5
17,10,1981,27.95,17.7,7.44,18.15
18,10,1981,27.95,17.81,0,18.89
19,10,1981,27.28,17.22,0,18.04
20,10,1981,26.58,17.5,0,17.63
21,10,1981,27.86,16.96,0,20.91
22,10,1981,27.36,17.35,0,20.38
23,10,1981,27.33,17.48,0,19.12
24,10,1981,27.33,17.21,6.81,18.32
25,10,1981,26.7,16.82,0,18.46
26,10,1981,27.89,17.5,0,18.8
27,10,1981,28.77,16.67,0,22.1
28,10,1981,29.06,17,0,21.67
29,10,1981,29.04,17.17,0,21.17
30,10,1981,30.09,17.02,0,21.86
31,10,1981,28.73,17.17,0,19.74
1,11,1981,26.79,18.72,0,18.41
2,11,1981,26.56,18.06,14.08,18.05
3,11,1981,27.14,17.72,6.49,18.33
4,11,1981,27.06,17.39,0,19.57
5,11,1981,28.2,17.1,0,20.11
6,11,1981,27.92,17.44,0,20.24
7,11,1981,28.78,17.19,0,18.81
8,11,1981,29.01,17.75,0,20.47
9,11,1981,30.15,16.64,0,22.98
10,11,1981,30.21,16.91,0,22.06
11,11,1981,30.25,17.54,0,22.26
12,11,1981,30.19,18.12,0,21.91
13,11,1981,29.5,17.33,0,21.38
14,11,1981,29.22,17.16,0,20.6
15,11,1981,29.76,16.96,0,22.31
16,11,1981,29.5,16.71,0,20.68
17,11,1981,30.11,17.11,0,20.73
18,11,1981,29.66,16.98,0,20.93
19,11,1981,28.85,18.8,0,19.78
20,11,1981,29.24,17.4,0,19.96
21,11,1981,28.59,18.45,1.21,19.29
22,11,1981,27.16,17.43,0.27,18.43
23,11,1981,28.01,17.33,8.45,17.35
24,11,1981,27.45,17.06,13.91,18.29
25,11,1981,28.14,17.48,0,18.75
26,11,1981,27.68,17.39,0,18.71
27,11,1981,29.29,17.21,0,19.7
28,11,1981,28.56,17,0,19.99
29,11,1981,29.86,16.61,0,20.47
30,11,1981,30.08,16.45,0,21.69
1,12,1981,30.57,16.78,0,24.12
2,12,1981,30.48,17.04,0,22.48
3,12,1981,30.7,17.12,0,20.97
4,12,1981,30.65,17.14,0,21.49
5,12,1981,30.84,17.29,0,21.82
6,12,1981,30.68,17.25,0,20.99
7,12,1981,28.44,18.43,0,18.56
8,12,1981,29.18,16.89,0,20.54
9,12,1981,30.38,17.21,0,20.51
10,12,1981,30.94,17,0,22.59
11,12,1981,30.89,16.16,0,22.81
12,12,1981,30.86,16.11,0,23.12
13,12,1981,31.15,16.33,0,23.34
14,12,1981,31.11,16.89,0,22.4
15,12,1981,30.51,17.56,0,21.49
16,12,1981,30.71,18.08,0,21.41
17,12,1981,30.29,17.9,0,20.14
18,12,1981,29.37,18.22,0,19.53
19,12,1981,29.77,17.85,0,20.13
20,12,1981,29.21,17.71,0,19.37
21,12,1981,29.62,18.42,0,19.38
22,12,1981,30.37,17.08,0,21.22
23,12,1981,30.69,17.26,0,22.08
24,12,1981,30.92,16.95,0,21.54
25,12,1981,31.37,16.98,0,22.23
26,12,1981,31.38,17.86,0,20.59
27,12,1981,30.03,18.16,0,20.4
28,12,1981,30.59,17.74,0,20.79
29,12,1981,30.67,17.28,0,21.07
30,12,1981,31.29,17.64,4.72,20.9
31,12,1981,29.51,17.78,6.47,18.91
1,1,1982,29.01,18.02,0,18.92
2,1,1982,30.04,17.93,0,19.71
3,1,1982,29.6,17.93,0,19.66
4,1,1982,29.79,18.04,1.71,19.98
5,1,1982,30.55,17.85,0,21.88
6,1,1982,30.32,18.13,0,20.89
7,1,1982,31.1,18.01,0,21.83
8,1,1982,31.89,17.4,0,22.03
9,1,1982,32.2,17.36,0,22.6
10,1,1982,31.06,17.95,0,21.03
11,1,1982,31.02,17.95,0,21.6
12,1,1982,31.1,17.95,0,20.44
13,1,1982,30.3,18.16,0,20.98
14,1,1982,29.83,18.01,7.47,20.04
15,1,1982,30.76,18.32,6.23,20.49
16,1,1982,28.49,18.14,8.48,18.22
17,1,1982,29.22,17.49,0,19.78
18,1,1982,30.5,18.28,5.72,20.95
19,1,1982,29.64,18.23,0,18.72
20,1,1982,31.36,17.68,0,22.02
21,1,1982,31.87,18.18,0,21.35
22,1,1982,31.51,17.83,0,21.07
23,1,1982,32.31,17.73,0,23.01
24,1,1982,31.45,17.72,0,21.67
25,1,1982,31.62,18.1,0,22.66
26,1,1982,32,18.32,0,21.8
27,1,1982,32.44,17.9,0,22.59
28,1,1982,32.69,18.02,0,23.83
29,1,1982,33.6,17.96,0,24.17
30,1,1982,31.71,18.99,5.35,22.46
31,1,1982,31.39,17.74,0,22.69
1,2,1982,31.89,17.46,0.74,22.55
2,2,1982,29.73,18.4,3.16,20.07
3,2,1982,31.48,18.04,0,22.06
4,2,1982,30.22,18.71,0,20.64
5,2,1982,30.85,18.26,0,21.79
6,2,1982,32.17,17.93,0,22.79
7,2,1982,32.03,18.59,0,22.47
8,2,1982,31.45,18.21,3.27,22.62
9,2,1982,31.58,18.16,3.25,22.46
10,2,1982,31.5,18.89,0,22.33
11,2,1982,30.25,18.48,0,20.24
12,2,1982,28.98,19.11,0,18.96
13,2,1982,26.45,18.32,0,16.69
14,2,1982,29.15,17.55,0.57,19.5
15,2,1982,28.47,18.39,8.65,19.39
16,2,1982,29.17,16.98,3.8,20.93
17,2,1982,29.5,17.71,4.89,20.28
18,2,1982,29.51,18.48,0,19.7
19,2,1982,29.88,17.96,0,20.86
20,2,1982,32.74,17.01,0,25.72
21,2,1982,32.38,16.88,0,24.85
22,2,1982,32.7,18.03,0,25.19
23,2,1982,32.84,17.93,0,23.24
24,2,1982,32.58,18.69,0,22.89
25,2,1982,32.5,18.36,0,21.39
26,2,1982,31.88,19.91,0.9,20.66
27,2,1982,30.78,19.7,4.45,20.6
28,2,1982,30.79,18.74,12.67,21.91
1,3,1982,30.69,19.17,0,22.31
2,3,1982,29.59,18.71,0,20.83
3,3,1982,32.15,17.81,3.99,23.13
4,3,1982,30.41,19.25,0,20.7
5,3,1982,31.41,18.77,1.27,21.29
6,3,1982,31.89,18.24,12.06,24.28
7,3,1982,32.56,18.37,0,23.53
8,3,1982,31.33,18.75,0,21.52
9,3,1982,32.22,19.52,0,24.81
10,3,1982,31.49,19.45,0,22.95
11,3,1982,31.58,20.36,0,22.03
12,3,1982,33.72,19.42,0,27.32
13,3,1982,32.75,19.68,0,25.29
14,3,1982,33.75,18.4,0,25.86
15,3,1982,33.26,20.87,5.24,23.38
16,3,1982,32.42,18.71,0,22.77
17,3,1982,32.34,19.29,0,22.4
18,3,1982,33.14,18.54,0,23.69
19,3,1982,32.18,19.85,0,22.28
20,3,1982,32.26,18.48,2.69,21.94
21,3,1982,31.45,19.4,0.99,20.95
22,3,1982,30.48,19.21,0,21.9
23,3,1982,33.08,19.7,0,24.57
24,3,1982,33,19.47,0,24.3
25,3,1982,33.91,19.95,0,26.4
26,3,1982,34.25,19.25,0,26.45
27,3,1982,32.95,20.57,0,22.37
28,3,1982,30.86,19,0,20.41
29,3,1982,27.32,19.2,20.58,16.42
30,3,1982,29.26,18.92,15.88,20.53
31,3,1982,30.21,18.42,0,21.78
1,4,1982,27.45,18.19,0,19.07
2,4,1982,27.97,18.09,0,18.76
3,4,1982,28.76,18.77,0,21.34
4,4,1982,29.45,18.89,0,21.19
5,4,1982,29.13,18.3,0,20.31
6,4,1982,29.26,18.64,12.52,20.82
7,4,1982,28.29,19.18,20.29,20.05
8,4,1982,27.07,19.1,0,17.21
9,4,1982,29.2,18.56,0,19.07
10,4,1982,29.82,19.25,0,21.35
11,4,1982,29.58,19.5,0,20.03
12,4,1982,30.04,19.72,7.81,20.76
13,4,1982,29.39,18.68,4.43,19.73
14,4,1982,28.45,18.54,7.09,19.91
15,4,1982,28.65,17.92,5.78,20.46
16,4,1982,29.73,18.06,4,21.63
17,4,1982,27.91,18.21,5.77,19.05
18,4,1982,29.3,18.74,3.13,20.1
19,4,1982,28.78,17.9,5.18,19.61
20,4,1982,27.95,18.85,3.23,17.28
21,4,1982,28.42,19.05,11.24,17.93
22,4,1982,28.27,18.85,2.12,17.89
23,4,1982,28.96,18.77,11.82,20.5
24,4,1982,29.06,19.08,3.65,18.89
25,4,1982,26.49,18.33,7.21,15.62
26,4,1982,25.76,18.78,9.12,15.67
27,4,1982,25.69,18.51,1.89,17.09
28,4,1982,29.25,18.82,0,20.4
29,4,1982,28.54,18.71,2.47,19.71
30,4,1982,27.55,18.53,6.97,18.36
1,5,1982,29.21,19.15,0,20.15
2,5,1982,28.86,19.29,0,21.17
3,5,1982,28.9,18.77,1.95,20.71
4,5,1982,27.75,18.55,5,19.59
5,5,1982,27.45,18.88,3.46,18.94
6,5,1982,25.39,18.84,2.24,15.98
7,5,1982,27.16,18.54,0,19.28
8,5,1982,26.66,18.37,1.83,19.16
9,5,1982,27.06,19.73,16.04,18.65
10,5,1982,26.33,18.37,4.98,16.53
11,5,1982,25.24,18.45,8.68,15.82
12,5,1982,24.93,18.78,2.35,14.91
13,5,1982,25.68,18.72,4.92,15.63
14,5,1982,26.84,17.99,7.87,17.85
15,5,1982,25.99,19.4,6.8,17.61
16,5,1982,27.1,18.47,17.19,17.53
17,5,1982,27.01,18.42,0,17.37
18,5,1982,26.29,18.46,0,17.81
19,5,1982,26.6,18.63,3.77,17.76
20,5,1982,27.38,18.24,15.37,19.01
21,5,1982,26.47,18.65,3.59,17.51
22,5,1982,27.51,18.54,0,18.77
23,5,1982,27.41,19.29,0,18.22
24,5,1982,27.3,18.6,0,17.6
25,5,1982,27.87,18.93,0,20.22
26,5,1982,27.54,18.92,0,18.75
27,5,1982,27.25,19.27,11.54,16.78
28,5,1982,25.85,18.25,0,16.47
29,5,1982,25.44,18.65,0,15.23
30,5,1982,28.56,18.58,13.52,18.71
31,5,1982,28.3,19.13,0.23,17.31
1,6,1982,27.06,18.68,0,18.3
2,6,1982,26.81,18.92,0,17.15
3,6,1982,27.96,19.03,0,18.67
4,6,1982,26.94,19.32,1.77,17.95
5,6,1982,28.32,19.2,6,19.36
6,6,1982,26.9,19.53,2.55,17.16
7,6,1982,27.59,18.59,2.42,18.1
8,6,1982,28.42,18.43,3.3,18.56
9,6,1982,28.64,19.51,0,18.21
10,6,1982,27.39,19.33,0,18.07
11,6,1982,27.98,18.86,0,18.4
12,6,1982,27.4,19.75,0,17.28
13,6,1982,26.78,18.76,0.13,17.63
14,6,1982,25.87,18.85,11.36,16.18
15,6,1982,27.79,19.23,9.78,17.3
16,6,1982,26.11,18.78,3.24,16.28
17,6,1982,28.42,18.1,0,18.55
18,6,1982,26.93,19.7,0,16.69
19,6,1982,27.49,19.17,0,17.37
20,6,1982,26.36,19.42,0,15.56
21,6,1982,27.17,18.55,38.71,15.39
22,6,1982,25.55,18.78,0,15.38
23,6,1982,26.36,18.4,0,16.51
24,6,1982,25.44,18.15,0,16.66
25,6,1982,25.28,18.06,0,17.17
26,6,1982,26.64,18.29,0,18.7
27,6,1982,26.6,17.41,0,18.54
28,6,1982,25.8,17.83,0,16.35
29,6,1982,24.99,18.11,0,16.29
30,6,1982,27.37,18.06,0,19.91
1,7,1982,27.11,18.15,0,19.76
2,7,1982,27.88,18.55,11.49,19
3,7,1982,26.14,18.79,6.56,16.03
4,7,1982,25.25,18.14,3.07,15.83
5,7,1982,25,17.18,0,16.43
6,7,1982,26.42,18.13,0,17.86
7,7,1982,27.57,18.59,0,18.67
8,7,1982,26.26,18.66,0,18.29
9,7,1982,26.31,18.14,0,18.63
10,7,1982,26.61,18.4,0,19.23
11,7,1982,26.95,18.98,0,17.54
12,7,1982,26.95,18.55,0,18.09
13,7,1982,26.18,18.96,0,17.45
14,7,1982,24.98,18.92,0,15.53
15,7,1982,24.85,18.44,0,15.42
16,7,1982,26.01,18.13,0,16.99
17,7,1982,26.23,18.67,0,17.36
18,7,1982,25.84,18.46,0,16.15
19,7,1982,26.84,18.9,0,17.54
20,7,1982,26.02,18.97,0,16.91
21,7,1982,27.53,18.72,1.8,18.65
22,7,1982,24.69,18.35,13.71,14.17
23,7,1982,20.57,17.97,15.96,9.73
24,7,1982,25.21,17.44,0,16.71
25,7,1982,24.03,17.97,0,15.98
26,7,1982,25.4,18.24,0,16.35
27,7,1982,24.61,17.41,0,18.02
28,7,1982,26.52,18.05,0,18.54
29,7,1982,25.88,19.54,7.54,16.69
30,7,1982,27.33,19.05,0,19.31
31,7,1982,26.98,19.03,0,19.13
1,8,1982,26.49,18.87,5.44,18.43
2,8,1982,24.41,19.27,17.08,13.81
3,8,1982,23.59,17.98,21.53,14.57
4,8,1982,26.17,18.02,0,19.11
5,8,1982,26.79,17.92,1.78,18.08
6,8,1982,25.97,18.86,0,18.47
7,8,1982,25.63,18.34,0,17.78
8,8,1982,27,18.03,0,20.88
9,8,1982,26.01,18.45,0,17.42
10,8,1982,25.85,18.96,19.69,16.32
11,8,1982,26.2,18.41,0,17.1
12,8,1982,26.33,19.11,22.94,17.34
13,8,1982,20.27,17.18,14.02,10.19
14,8,1982,23.9,17.25,0,15.44
15,8,1982,25.38,18.27,0,16.78
16,8,1982,24.18,18.64,0,13.88
17,8,1982,24.98,18.42,0,15.68
18,8,1982,25.11,18.4,0,16.42
19,8,1982,26.16,18.4,0,16.78
20,8,1982,25.14,18.61,0,14.57
21,8,1982,26.87,19.04,0,16.57
22,8,1982,28.06,19.2,0,18.67
23,8,1982,27.22,18.85,0,17.76
24,8,1982,25.32,18.24,0,16.63
25,8,1982,26.21,18.69,0,16.21
26,8,1982,25.34,18.8,0,16.9
27,8,1982,26.18,18.25,0,17.39
28,8,1982,25.87,17.92,1.09,17.79
29,8,1982,25.98,17.93,0,18.67
30,8,1982,26.98,18.42,0,18.48
31,8,1982,27.98,17.39,0,21.64
1,9,1982,28.13,18.26,0,19.86
2,9,1982,27.99,18.6,3.17,20.78
3,9,1982,28.02,19.02,0,18.05
4,9,1982,27.5,17.77,21.56,17.92
5,9,1982,26.7,18.26,21.85,18.27
6,9,1982,27.8,18.39,9.08,20.52
7,9,1982,28.74,18.63,0,21.4
8,9,1982,28.43,18.05,0,22.38
9,9,1982,29.18,17.99,0,21.06
10,9,1982,29.11,18.47,0.7,20.94
11,9,1982,28.06,19.07,13.28,19.64
12,9,1982,27.64,18.27,0,20.07
13,9,1982,26.61,19,0.3,16.01
14,9,1982,24.87,18.2,12.15,14.16
15,9,1982,23.91,18.02,1.07,13.99
16,9,1982,26.6,18.06,6.19,18.01
17,9,1982,27.48,18.37,6.06,19.05
18,9,1982,27.8,18.56,0.99,20.39
19,9,1982,28.44,18.3,5.81,19.86
20,9,1982,27.7,18.72,10.06,19.36
21,9,1982,27.91,18.91,3.64,17.92
22,9,1982,25.87,18.66,34.84,15.9
23,9,1982,26.96,17.82,11.07,16.14
24,9,1982,27.52,17.89,0,19.4
25,9,1982,28.8,18.4,0,22.31
26,9,1982,29.37,18.26,0,23.22
27,9,1982,27.73,18.31,0,20.49
28,9,1982,27.67,18.51,0,19.26
29,9,1982,26.91,17.81,0,17.58
30,9,1982,25.42,17.48,19.77,17.55
1,10,1982,27.06,17.37,0,19.39
2,10,1982,25.75,18,0,16.55
3,10,1982,25.88,17.7,7.44,17.02
4,10,1982,26.3,16.97,0,19.11
5,10,1982,27.91,17.69,0,20.7
