day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.38,10.13,0,22.3
2,1,1981,23.54,10.25,0,21.01
3,1,1981,25.16,11.94,0,22.5
4,1,1981,23.91,11.11,0,22.7
5,1,1981,23.92,9.65,0,23.67
6,1,1981,23.13,9.95,0,22.01
7,1,1981,22.77,9.55,0,23.88
8,1,1981,22.37,8.36,0,24.01
9,1,1981,22.18,9.05,0,23.83
10,1,1981,24.34,8.85,0,23.61
11,1,1981,24.93,10.3,0,22.89
12,1,1981,22.54,11.43,0,21.3
13,1,1981,22.84,9.78,0,23.23
14,1,1981,23.01,9.84,0,22.71
15,1,1981,22.84,10.27,0,22.78
16,1,1981,23.58,9.54,0,23.49
17,1,1981,24.73,9.72,0,23.51
18,1,1981,25.63,10.14,0,23.79
19,1,1981,24.64,10.48,0,23.64
20,1,1981,23.91,9.91,0,23.9
21,1,1981,25.84,9.97,0,23.92
22,1,1981,24.24,11.77,0,20.1
23,1,1981,25.2,10.05,0,23.49
24,1,1981,23.98,11.42,0,22.17
25,1,1981,25.51,10.95,0,24.5
26,1,1981,25.76,11.24,0,24.47
27,1,1981,24.8,11.25,0,24.55
28,1,1981,23.94,10.5,0,24.81
29,1,1981,22.51,9.43,0,24.18
30,1,1981,23.45,9.4,0,25.04
31,1,1981,23.07,8.59,0,25.56
1,2,1981,23.07,8.43,0,25.39
2,2,1981,22.9,8.67,0,25.18
3,2,1981,23.44,8.45,0,25.35
4,2,1981,23.47,8.95,0,25.14
5,2,1981,23.13,9.39,0,24.48
6,2,1981,24.37,10.38,0,25.26
7,2,1981,23.93,9.95,0,24.96
8,2,1981,25.5,9.81,0,24.87
9,2,1981,26.15,10.5,0,23.71
10,2,1981,25.05,12.85,0,20.82
11,2,1981,20.74,12.96,0,17.31
12,2,1981,21,13.27,11.67,15.77
13,2,1981,21.63,12.4,0,19.44
14,2,1981,22.64,12.19,0,18.24
15,2,1981,23.8,11.96,0,21.05
16,2,1981,22.9,11.81,1.17,20.65
17,2,1981,23.9,11.81,0,19.49
18,2,1981,23.37,12.89,0,20.52
19,2,1981,24.45,12.13,0,22.14
20,2,1981,24.87,11.57,0,23.23
21,2,1981,25.53,11.66,0,24.97
22,2,1981,26,11.05,0,25.67
23,2,1981,27,11.28,0,25.64
24,2,1981,27.98,11.56,0,25.33
25,2,1981,26.95,12.33,0,25.37
26,2,1981,26.03,12,0,25.38
27,2,1981,25.9,11.47,0,24.09
28,2,1981,26.77,13.33,0,23.5
1,3,1981,27.3,12.74,0,24.54
2,3,1981,25.53,14.35,15.37,21.71
3,3,1981,24.75,14.34,31.94,19.79
4,3,1981,24.5,13.76,0,19.74
5,3,1981,22.41,14.29,20.68,17.11
6,3,1981,23.13,14.03,5.6,19.98
7,3,1981,21.78,13.07,0,20
8,3,1981,23.5,12.06,0,23.56
9,3,1981,24.74,10.62,0,25.49
10,3,1981,24.84,12.21,0,23.16
11,3,1981,24.79,12.95,0.54,23.02
12,3,1981,25.56,11.72,0,21.79
13,3,1981,25.23,13.72,0,19.13
14,3,1981,23.52,13.93,7.24,19.7
15,3,1981,23.5,14.03,0,19.54
16,3,1981,22.36,14.57,0.82,18.37
17,3,1981,24.93,13.23,0.83,21.9
18,3,1981,23.84,12.78,9.25,20.89
19,3,1981,23.13,14.23,8.67,18.27
20,3,1981,22.59,13.1,3.88,21.49
21,3,1981,23.23,14.44,9.29,20.36
22,3,1981,23.74,12.4,6.31,21.16
23,3,1981,24,13.18,7.37,21.52
24,3,1981,23.43,12.5,6.68,21.89
25,3,1981,24.66,13.11,1.43,22.43
26,3,1981,25.08,12.92,0,20.96
27,3,1981,20.84,14.4,0,14.48
28,3,1981,21.31,13.47,19.34,16.92
29,3,1981,21.85,14.71,0,15.68
30,3,1981,22,14.14,1.98,20.98
31,3,1981,22.28,14.49,0,19.27
1,4,1981,21.9,14.01,11.41,17.74
2,4,1981,21.19,14.55,0,17.99
3,4,1981,22.95,14.54,0,22.45
4,4,1981,22.6,11.75,3.17,21.34
5,4,1981,22.55,14.97,0,19.64
6,4,1981,22.76,14.1,0,23.15
7,4,1981,24.36,13.01,0,24.69
8,4,1981,23.46,12.71,0,22.81
9,4,1981,24.52,14.27,0,22.64
10,4,1981,23.89,14.46,0,21.47
11,4,1981,24.32,13.97,0,22.02
12,4,1981,23.57,15.19,0,20.75
13,4,1981,23.57,13.6,0,21.82
14,4,1981,24.78,13.63,0,23
15,4,1981,24.65,14.23,0,20.67
16,4,1981,25.75,13.92,0,22.7
17,4,1981,23.8,13.57,0,21.57
18,4,1981,22.95,13.9,0,21.72
19,4,1981,23.97,13.47,0,22.95
20,4,1981,23.69,15.07,8.51,22.83
21,4,1981,23.63,14.86,24.19,20.74
22,4,1981,23.23,14.04,0,20.05
23,4,1981,22.9,14.75,0,19.92
24,4,1981,21.64,14.37,0,18.76
25,4,1981,22.29,13.11,0,22.36
26,4,1981,23.72,11.82,5.67,24.99
27,4,1981,23.12,13.67,0,22.35
28,4,1981,24.49,12.12,0,25.16
29,4,1981,25.88,12.13,0,26.63
30,4,1981,26.48,11.26,0,25.46
1,5,1981,26.01,13.09,0,24.74
2,5,1981,26.1,14.23,0,23.84
3,5,1981,26.77,13.58,0,25.03
4,5,1981,26.52,12.91,0,25.29
5,5,1981,27.29,13.17,2.09,26.05
6,5,1981,27.36,13.1,0,25.65
7,5,1981,27.87,12.99,0,26.16
8,5,1981,26.6,13.49,0,23.04
9,5,1981,26.33,13.95,0,24.75
10,5,1981,25.01,14.64,0,23.29
11,5,1981,26.46,12.96,0,25.06
12,5,1981,27.03,13.4,0,25.38
13,5,1981,27.73,13.24,0,24.69
14,5,1981,27.44,14,0,25.08
15,5,1981,27.91,12.83,0,26.58
16,5,1981,28.28,12.07,0,25.67
17,5,1981,28.78,12.92,0,24.9
18,5,1981,27.29,14.48,0,22.76
19,5,1981,27.47,15.13,0,22.66
20,5,1981,28.09,13.85,0,24.59
21,5,1981,28.23,14.26,0,22.92
22,5,1981,26.73,13.86,0,19.67
23,5,1981,27.6,13.08,0,23.66
24,5,1981,26.79,14.69,0,19.66
25,5,1981,28.05,14.21,0,23.81
26,5,1981,29.23,13.09,0,24.18
27,5,1981,28.64,12.71,0,23.6
28,5,1981,28.65,12.97,0,21.99
29,5,1981,27.4,14.7,6.73,19.31
30,5,1981,27.05,15.34,0.77,19.58
31,5,1981,27.66,14.06,0,22.36
1,6,1981,28.87,14.1,0,24.31
2,6,1981,28.72,14.79,0,21.69
3,6,1981,27.18,15.58,0,19.72
4,6,1981,27.84,15.65,0,19.74
5,6,1981,27.29,15.1,0,19.41
6,6,1981,28.37,14.97,0,20.76
7,6,1981,27.23,15.09,0,19.19
8,6,1981,27.8,15.55,0,21.75
9,6,1981,27.3,14.08,0,21.11
10,6,1981,28.02,13.63,0,21.34
11,6,1981,29.27,14.32,0,20.97
12,6,1981,29.25,15.36,0,21.53
13,6,1981,27.96,15.14,0,21.16
14,6,1981,27.2,14.81,0,20.13
15,6,1981,27.97,13.47,0,21
16,6,1981,27.73,14.43,0,20.91
17,6,1981,27.22,15.6,0,19.04
18,6,1981,29.08,14.12,0,21.4
19,6,1981,28.99,15.02,0,20.8
20,6,1981,29.56,15.06,0,20.56
21,6,1981,27.82,16.2,0,17.6
22,6,1981,28.28,15.5,6.9,19.51
23,6,1981,27.99,15.29,0,18.31
24,6,1981,29.12,14.99,0,19.95
25,6,1981,27.79,15.07,0,18.52
26,6,1981,27.83,15.49,4.49,18.35
27,6,1981,27.37,14.37,0,18.58
28,6,1981,28.59,15.15,0,20.46
29,6,1981,27.11,15.78,0,17.89
30,6,1981,26.58,14.83,1.18,18.67
1,7,1981,26.26,15.26,0,18.99
2,7,1981,26.17,15.63,0,18.63
3,7,1981,24.76,15.34,5.96,18.63
4,7,1981,24.51,14.67,21.46,17.65
5,7,1981,24.25,14.21,0,19.18
6,7,1981,24.9,14.82,0,19.78
7,7,1981,25.11,15.09,0.95,19.64
8,7,1981,24.48,14.35,1.19,19.92
9,7,1981,24.72,14.51,11.46,19.91
10,7,1981,24.28,15.07,25.13,18.2
11,7,1981,23.27,15.28,23.99,14.9
12,7,1981,23.82,14.25,24.8,17.96
13,7,1981,24.7,14.45,0,20.43
14,7,1981,24.91,13.35,3.39,20.19
15,7,1981,24.19,13.99,0.91,19.28
16,7,1981,23.47,14.32,11.54,17.93
17,7,1981,23.51,14.11,8.44,16.94
18,7,1981,23.76,15.33,12.41,19.14
19,7,1981,24.4,14.74,6.74,19.13
20,7,1981,23.55,15.71,10.37,15.64
21,7,1981,24.56,13.26,1.48,20.69
22,7,1981,24.44,14.27,10.17,19.55
23,7,1981,24.81,13.92,9.48,21.06
24,7,1981,24.94,14.73,22.93,21.18
25,7,1981,23.99,14.55,21.71,19.04
26,7,1981,23.68,15.65,22.86,18.93
27,7,1981,24.15,15.15,1.86,20.83
28,7,1981,24.58,14.09,5.25,20.24
29,7,1981,25.34,14.35,13.96,20.64
30,7,1981,23.59,14.68,29.5,18.8
31,7,1981,24.5,15.14,9.93,19.38
1,8,1981,24.88,15.41,9.31,21.31
2,8,1981,24.94,15.42,36.34,20.44
3,8,1981,24.77,13.8,2.27,20.13
4,8,1981,24.66,14.13,1.63,21.01
5,8,1981,24.66,14.93,7.47,19.91
6,8,1981,23.85,16.01,29.52,18.25
7,8,1981,24.24,14.81,0,19.81
8,8,1981,23.97,14.92,0.16,20.26
9,8,1981,24.97,12.96,1.31,21.09
10,8,1981,24.86,14.13,11.91,21.08
11,8,1981,25.72,14.9,11.06,22.14
12,8,1981,24.87,14.56,14.13,21.16
13,8,1981,23.18,15.39,4.97,17.72
14,8,1981,24.85,13.72,0,21.51
15,8,1981,24.12,14.12,3.33,19.22
16,8,1981,23.82,13.48,5.52,20.95
17,8,1981,23.81,13.51,6.59,20.98
18,8,1981,24.1,14.17,8,21.57
19,8,1981,24.28,14.13,9.6,20.61
20,8,1981,24.1,13.31,8.36,21.73
21,8,1981,23.71,13.59,7.72,19.76
22,8,1981,23.42,13.56,32.55,17.47
23,8,1981,22.75,11.91,0.55,19.32
24,8,1981,22.88,12.88,4.13,20.17
25,8,1981,24.14,13.07,0.87,21.54
26,8,1981,24.86,12.12,1.34,22.59
27,8,1981,23.95,13.46,6.44,20.91
28,8,1981,25.62,12.83,1.69,22.9
29,8,1981,23.95,12.06,19.59,21.04
30,8,1981,24.65,12.89,14.57,22.94
31,8,1981,23.07,14.05,9.04,20.2
1,9,1981,23.38,13.71,7.9,20.52
2,9,1981,23.18,12.93,0.54,22.82
3,9,1981,23.49,12.75,0,21.7
4,9,1981,24.12,12.79,0,20.68
5,9,1981,24.06,13.24,16.4,21.08
6,9,1981,23.46,13.08,0.36,20.67
7,9,1981,23.39,12.79,0,19.52
8,9,1981,22.14,14.04,6.81,17
9,9,1981,22.97,12.27,0.81,20.48
10,9,1981,23.62,12.56,18.59,21.16
11,9,1981,23.55,12.52,14.58,21.35
12,9,1981,23.14,13.09,0.16,18.94
13,9,1981,22.88,12.08,7.06,20.5
14,9,1981,23.16,12.82,0.34,20.6
15,9,1981,22.43,12.74,1.6,18.86
16,9,1981,23.22,13.2,16.07,19.5
17,9,1981,23.41,13.03,0,20.31
18,9,1981,22.64,13.37,0,18.2
19,9,1981,22.99,13.12,14.39,20.04
20,9,1981,23.55,12.77,0,23.21
21,9,1981,24.25,11.94,0,23.13
22,9,1981,23.59,12.7,1.1,21.13
23,9,1981,24.69,12.32,0,21.51
24,9,1981,23.69,13.37,2.63,19.7
25,9,1981,23.84,12.63,8.18,20.13
26,9,1981,23.86,12.66,7.94,21.38
27,9,1981,23.36,12.51,0,22.36
28,9,1981,24.21,11.52,0,23.93
29,9,1981,23.73,11.44,0,21.7
30,9,1981,23.56,10.86,0,22.35
1,10,1981,24.04,12.94,0,22.73
2,10,1981,23.73,13.19,2.62,22.09
3,10,1981,23.17,12.89,0,20.67
4,10,1981,22.48,12.88,10.62,19.27
5,10,1981,22.89,12.94,0,21.91
6,10,1981,23.42,11.98,6.92,21.34
7,10,1981,24.29,11.19,0,23.35
8,10,1981,23.97,11.39,0,22.46
9,10,1981,24.25,11.59,0,22.96
10,10,1981,24.09,10.82,0,25.62
11,10,1981,24.14,9.73,0,26.13
12,10,1981,24.48,10.4,0,26.12
13,10,1981,24.81,9.74,0,25.64
14,10,1981,24.79,11.67,0,25
15,10,1981,24.39,11.36,0,24.25
16,10,1981,24.61,11.3,0,25.1
17,10,1981,24.41,11.19,0,25.88
18,10,1981,24.62,11.04,0,26.03
19,10,1981,24.52,9.29,0,26.02
20,10,1981,23.46,9.7,0,23.11
21,10,1981,24.58,11.47,0,25.31
22,10,1981,24.13,11.62,0,24.2
23,10,1981,24.35,10.94,0,24.2
24,10,1981,23.84,10.81,0,24.74
25,10,1981,23.74,10.74,0,25.67
26,10,1981,22.83,9.62,0,25.97
27,10,1981,22.6,8.75,0,25.8
28,10,1981,23.11,9.93,0,25.38
29,10,1981,24.02,9.71,0,25.51
30,10,1981,24.19,10.66,0,25.39
31,10,1981,24.71,10.82,0,25.03
1,11,1981,25.29,10.34,0,25.27
2,11,1981,24.76,11.58,0,23.64
3,11,1981,23.85,11.43,0,21.29
4,11,1981,25.04,11.11,0.25,22.87
5,11,1981,24.64,11.13,0.2,23.63
6,11,1981,23.99,10.47,0,24.64
7,11,1981,23.69,10.6,0,24.37
8,11,1981,23.48,9.71,0,25.15
9,11,1981,23.13,9.24,0,24.89
10,11,1981,23.7,9.78,0,24.72
11,11,1981,24.38,10.21,0,24.77
12,11,1981,24.09,10.55,0,24.66
13,11,1981,23.93,10.05,0,24.54
14,11,1981,23.59,9.26,0,24.9
15,11,1981,22.99,9.12,0,24.67
16,11,1981,22.94,9.03,0,24.6
17,11,1981,22.92,9.54,0,23.8
18,11,1981,22.99,9.66,0,23.41
19,11,1981,23.27,10.12,0,24.04
20,11,1981,23.72,9.69,0,23.7
21,11,1981,23.92,9.98,0,23.56
22,11,1981,23.79,10.44,0,22.53
23,11,1981,23.42,11.77,0,21.73
24,11,1981,22.62,11.27,0.78,22.75
25,11,1981,22.45,9.55,0,23.49
26,11,1981,23.4,9.3,0,23.71
27,11,1981,23.01,9.74,0,23.8
28,11,1981,23.62,8.37,0,23.95
29,11,1981,23.02,9.41,0,23.86
30,11,1981,21.48,7.99,0,23.89
1,12,1981,20.86,7.83,0,23.17
2,12,1981,22.09,8.28,0,23.5
3,12,1981,22.55,8.38,0,23.6
4,12,1981,22.81,8.11,0,23.93
5,12,1981,22.95,8.5,0,23.75
6,12,1981,23.1,9.13,0,22.71
7,12,1981,22.82,9.62,0,22.43
8,12,1981,22.26,8.97,0,23.14
9,12,1981,22.51,7.67,0,23.79
10,12,1981,22.56,7.34,0,23.8
11,12,1981,23.35,7.67,0,23.81
12,12,1981,23.83,6.19,0,23.65
13,12,1981,23.74,6.64,0,23.47
14,12,1981,22.77,7.32,0,23.3
15,12,1981,23.89,7.73,0,23.12
16,12,1981,24.04,9.25,0,22.78
17,12,1981,23.9,9.53,0,22.17
18,12,1981,23.12,10.23,0,21.06
19,12,1981,21.39,10.21,0,19.37
20,12,1981,22.2,10.15,0,19.44
21,12,1981,22.27,10.94,0,19.79
22,12,1981,22.52,9.97,0,21.86
23,12,1981,22.43,9.62,0,22.75
24,12,1981,23.19,8.4,0,23.02
25,12,1981,24.64,9.49,0,22.29
26,12,1981,23.6,11.05,0,22.34
27,12,1981,23.64,9.43,0,23.16
28,12,1981,24.6,9.5,0,23.01
29,12,1981,25.07,9.7,0,22.25
30,12,1981,24.36,11.05,5.12,20.98
31,12,1981,21.28,11.57,0,17.54
1,1,1982,21.41,12.59,0,16.92
2,1,1982,21.8,12.24,0,17.75
3,1,1982,22.03,12.79,0,16.49
4,1,1982,22.44,10.23,0,19.79
5,1,1982,24.35,9.72,0.74,21.49
6,1,1982,22.57,10.9,0,21.18
7,1,1982,22.58,10.43,0,20.56
8,1,1982,23.47,10.31,0,22.95
9,1,1982,23.23,9.34,0,22.63
10,1,1982,24.61,10.14,0,21.76
11,1,1982,23.55,9.84,0,23.62
12,1,1982,24.49,9.59,0,23.12
13,1,1982,22.81,11.88,0,18.98
14,1,1982,20.99,12.59,0,17.54
15,1,1982,20.08,12.48,12.57,17.43
16,1,1982,20.72,13.27,0.47,17.58
17,1,1982,20.63,12.95,0,19.15
18,1,1982,20.95,12.12,0,17.77
19,1,1982,20.02,10.62,0,17.13
20,1,1982,21.13,11.38,0,19.08
21,1,1982,21.69,10.43,0,19.52
22,1,1982,21.95,10.5,0,18.91
23,1,1982,22.26,10.01,0,20.89
24,1,1982,22.52,10.38,0,20.63
25,1,1982,23.34,10.08,0,22.45
26,1,1982,22.98,9.01,0,24.47
27,1,1982,25.26,9.54,0,24.57
28,1,1982,26.58,9.03,0,24.53
29,1,1982,26.42,9.04,0,24.77
30,1,1982,24.94,9.55,0,24.61
31,1,1982,25.88,8.94,0,24.12
1,2,1982,24.01,11.39,0,24.67
2,2,1982,24.15,11.6,0,21.74
3,2,1982,23.86,12.41,0,19.91
4,2,1982,23.39,12.01,0,20.28
5,2,1982,23.01,11.46,0,19.18
6,2,1982,22.69,11.21,0,20.04
7,2,1982,22.8,11.12,0,21.43
8,2,1982,23.45,11.21,0,21.79
9,2,1982,21.43,11.81,0,18.91
10,2,1982,22.23,12.26,0,17.75
11,2,1982,23.85,10.31,0,22.38
12,2,1982,23.18,10.86,0,20.16
13,2,1982,23.35,12.89,0,18.25
14,2,1982,20.59,12.16,0,17.84
15,2,1982,21.64,13.84,4.12,18.03
16,2,1982,21.11,12.16,5.88,18.88
17,2,1982,20.36,12.87,0.37,17.52
18,2,1982,21.44,13.51,6.49,17.19
19,2,1982,22.42,12.41,0,21.27
20,2,1982,24.05,10.77,0,24.95
21,2,1982,24.1,10.73,0,24.9
22,2,1982,24.35,10.7,0,25.41
23,2,1982,25.83,10.26,0,25.64
24,2,1982,24.91,11.1,0,23.88
25,2,1982,24.49,12.11,24.03,20.86
26,2,1982,24.69,11.93,3.27,22.23
27,2,1982,23.26,12.89,10.81,19.49
28,2,1982,24.97,12.21,0,22.81
1,3,1982,25.48,12.42,0,23.16
2,3,1982,25.87,14.01,0,23.14
3,3,1982,22.02,14.59,0,19.47
4,3,1982,21.46,13.84,1.48,20.53
5,3,1982,21,13.5,0,19.42
6,3,1982,22.11,11.81,0,21.73
7,3,1982,24.27,11.06,0,26.23
8,3,1982,24.28,11.46,0,25.95
9,3,1982,24.85,12.98,0,24.72
10,3,1982,24.41,12.21,0,24.02
11,3,1982,23.98,12.23,0,24.4
12,3,1982,26.53,12.57,0,26.86
13,3,1982,25.73,12.84,0,26.84
14,3,1982,26.17,13.49,0,26
15,3,1982,23.25,12.54,0,22.55
16,3,1982,23.9,12.38,0,23.95
17,3,1982,25.55,11.89,0,26.23
18,3,1982,26.18,12.53,0,25.93
19,3,1982,24.77,13.04,0,23.77
20,3,1982,26.17,12.62,0,25.3
21,3,1982,26.23,12.26,0,24.7
22,3,1982,27.4,11.71,0,26.29
23,3,1982,26.94,13.85,0,24.89
24,3,1982,27.64,15.18,0,26.72
25,3,1982,28.52,14.07,0,27.24
26,3,1982,28.48,13.91,0,26.24
27,3,1982,27.67,14.78,0,23.73
28,3,1982,25.47,14.77,0.59,20.16
29,3,1982,23.9,14.11,7.1,19.41
30,3,1982,21.07,14.39,9.53,16.8
31,3,1982,19.81,13.99,29.09,17.16
1,4,1982,18.53,13.59,7.5,16.63
2,4,1982,19.43,12.98,0,17.61
3,4,1982,21.13,13.76,0,21.92
4,4,1982,21.59,14.31,0,21.38
5,4,1982,22.55,11.96,1,21.24
6,4,1982,23.93,13.04,4.79,23.08
7,4,1982,23.09,12.61,7.65,22.88
8,4,1982,22.81,14.07,0.61,22.64
9,4,1982,22.33,13.31,0,23.25
10,4,1982,23.52,13.49,0,24.9
11,4,1982,23.99,13.27,0,20.75
12,4,1982,22.53,13.53,0,21.11
13,4,1982,23.62,12.44,0.21,22.17
14,4,1982,23.62,12.47,15,23.04
15,4,1982,24.38,11.46,1.17,24.41
16,4,1982,24.75,12.5,4.33,23.84
17,4,1982,23.47,13.03,0,23.61
18,4,1982,24.01,11.51,0,22.92
19,4,1982,24.06,12.75,0,23.26
20,4,1982,24.29,12.26,0,22.8
21,4,1982,25.3,11.75,0,24.27
22,4,1982,24.84,12.01,0,24.21
23,4,1982,25.78,11.85,0,25.3
24,4,1982,25.34,12.73,0,25.74
25,4,1982,25.18,12.47,0,23.9
26,4,1982,24.2,12.42,0,18.9
27,4,1982,25.71,12.99,0,22.22
28,4,1982,26.11,13.2,0,22.98
29,4,1982,25.57,14.61,0,25.81
30,4,1982,27.02,13.26,0,26.9
1,5,1982,26.48,13.44,0,25.87
2,5,1982,27.1,13.79,0,26.54
3,5,1982,27.29,14.63,0,26.35
4,5,1982,27.26,12.64,0,24.7
5,5,1982,26.76,12.99,0,23.52
6,5,1982,25.01,14.55,0,21.91
7,5,1982,24.27,15.45,0,20.65
8,5,1982,24.09,15.32,13.87,19.85
9,5,1982,22.35,15.2,3.78,17.2
10,5,1982,22.91,14.97,10.72,17.32
11,5,1982,22.99,14.16,0,19.07
12,5,1982,22.75,13.86,13.6,20.69
13,5,1982,23.07,13.4,0,20.38
14,5,1982,24.09,13.78,0.37,22.19
15,5,1982,23.26,13.51,0,19.47
16,5,1982,23.25,12.92,0,21.22
17,5,1982,24.12,12.62,0,25.1
18,5,1982,24.68,11.79,0,24.91
19,5,1982,25.37,10.66,0,26.2
20,5,1982,25.31,10.7,0,25.91
21,5,1982,25.66,11.39,0,24.99
22,5,1982,26.44,10.57,0,24.2
23,5,1982,25.89,12.87,0,20.99
24,5,1982,24.46,14.02,0,20.61
25,5,1982,25.7,13.25,0,21.78
26,5,1982,25.07,14.22,0.92,20.7
27,5,1982,25.4,12.99,0,21.05
28,5,1982,26.43,12.01,0,23.64
29,5,1982,26.5,11.28,0,22.85
30,5,1982,27.74,13.43,0,23.13
31,5,1982,27.64,12.64,0,23.92
1,6,1982,27.53,13.08,0,22.93
2,6,1982,27.11,14.06,0,20.68
3,6,1982,26.07,14.85,0,20.09
4,6,1982,27.46,13.76,0,22.95
5,6,1982,27.75,12.49,0,22.6
6,6,1982,26.9,12.7,0,22.04
7,6,1982,28.44,12.34,0,23.61
8,6,1982,28.64,12.83,0,21.83
9,6,1982,29.08,14.22,0,21.18
10,6,1982,28.5,14.99,0,20.1
11,6,1982,28.66,14.66,0,20.32
12,6,1982,28.02,15.84,0,18.14
13,6,1982,27.99,14.87,0,19.28
14,6,1982,26.69,14.51,0,18.01
15,6,1982,25.58,14.8,0,18.56
16,6,1982,24.27,14.38,0,17.84
17,6,1982,26,14.02,0,19.29
18,6,1982,25.7,14.71,0,18.36
19,6,1982,25.53,13.93,16.37,17.98
20,6,1982,24.65,14.34,11.36,18.75
21,6,1982,24.97,13.38,0,18.66
22,6,1982,24.81,13.17,0,18.34
23,6,1982,25.36,13.11,0,19.35
24,6,1982,25.1,13.32,8.32,18.38
25,6,1982,24.98,13.79,0,18.42
26,6,1982,24.77,13.85,0,18.76
27,6,1982,24.84,12.9,6.76,19.76
28,6,1982,24.16,14.58,0,18.73
29,6,1982,24.54,14.82,0,19.56
30,6,1982,24.3,14.7,0,19.04
1,7,1982,24.16,14.3,3.81,18.26
2,7,1982,24.06,14.37,0,17.18
3,7,1982,24.76,14.62,1.24,19.45
4,7,1982,24.42,14.09,16.92,20.26
5,7,1982,23.27,14.87,11.6,17.84
6,7,1982,24.07,13.9,0,17.69
7,7,1982,23.87,13.68,0,18.9
8,7,1982,23.79,13.21,0,19.57
9,7,1982,23.73,13.27,0,18.83
10,7,1982,23.95,13.76,0,18.53
11,7,1982,25.53,12.86,0,21.01
12,7,1982,25.61,12.7,1.16,21.03
13,7,1982,25.14,13.84,0,20.12
14,7,1982,24.17,14.11,2.19,18.9
15,7,1982,23.85,13.95,0,18.66
16,7,1982,23.83,13.69,15.22,18.6
17,7,1982,23.68,14.53,6.59,18.14
18,7,1982,23.45,14.17,0,17.25
19,7,1982,23.74,13.66,0,19.02
20,7,1982,23.63,13.95,0,19
21,7,1982,24.98,13.86,12.2,21.13
22,7,1982,24.01,14.42,10.37,19.98
23,7,1982,23.02,14.86,12.06,18.72
24,7,1982,24.11,14.1,17.08,19.84
25,7,1982,23.08,14.19,5.94,17.96
26,7,1982,23.45,14.45,2.92,18.31
27,7,1982,23.55,15.18,7.53,17.66
28,7,1982,23.52,14.6,6.66,17.51
29,7,1982,23.3,14.08,14.65,19.28
30,7,1982,24.76,13.55,10.55,20.87
31,7,1982,23.87,13.99,9.63,19.93
1,8,1982,23.31,14.28,14.86,18
2,8,1982,21.87,14.54,3.47,13.64
3,8,1982,23.17,13.38,15.48,19.12
4,8,1982,23.66,12.52,8.08,20.15
5,8,1982,24.28,12.72,1.09,20.26
6,8,1982,24.24,14,5.64,20.6
7,8,1982,23.45,12.91,0.78,19.51
8,8,1982,23.72,14.13,13.88,20.51
9,8,1982,24.14,14.6,20.59,20.96
10,8,1982,24.37,14.02,6.08,21.54
11,8,1982,23.8,14.16,14.01,19.1
12,8,1982,24,14.14,0,18.43
13,8,1982,19.1,14.23,33.55,8.47
14,8,1982,21.57,13.67,0,14.73
15,8,1982,23.36,13.96,0,20.6
16,8,1982,24.21,14.05,5.27,21
17,8,1982,23.21,14.81,0,16.46
18,8,1982,24.41,14.17,0,20.74
19,8,1982,21.97,14.84,16.2,14.85
20,8,1982,23.94,14.81,0,18.15
21,8,1982,23.97,14.99,0,20.1
22,8,1982,23.89,14.11,17.99,20.55
23,8,1982,24.5,13.18,0,21.49
24,8,1982,24.46,14.16,0,20.71
25,8,1982,24.52,13.96,33.12,19.87
26,8,1982,24.59,13.63,43.85,21.84
27,8,1982,24.22,15.12,8.82,21.1
28,8,1982,23.56,14.55,3.99,20.77
29,8,1982,23.38,13.92,0,20.58
30,8,1982,24.19,12.19,0,22.01
31,8,1982,24.53,12.58,1.04,21.61
1,9,1982,24.07,13.99,0,21.24
2,9,1982,25.16,13.69,0,21.31
3,9,1982,23.25,13.49,1.61,18.1
4,9,1982,24.49,12.51,0,22.36
5,9,1982,23.24,14.06,17.53,19.9
6,9,1982,24.24,12.72,0,21.11
7,9,1982,23.73,13.43,0,21.86
8,9,1982,24.13,12.29,0,21.48
9,9,1982,24.02,13.43,0,21.65
10,9,1982,24.34,12.09,7.45,20.47
11,9,1982,23.9,12.5,3.2,20.42
12,9,1982,24.13,12.26,22.51,20.92
13,9,1982,22.97,12.54,13.04,19.88
14,9,1982,22.77,12.99,12.39,18.36
15,9,1982,23.48,12.97,0,20.59
16,9,1982,22.9,13.31,2.36,19.59
17,9,1982,23.05,12.91,2.91,20.1
18,9,1982,23.63,11.9,0,21.13
19,9,1982,23.1,13.3,0,19.76
20,9,1982,22.92,12.59,0,19.68
21,9,1982,23.82,11.35,0,21.22
22,9,1982,24.28,12.57,0,21.64
23,9,1982,23.73,12.03,10.67,21.6
24,9,1982,23.16,12.31,0,20.06
25,9,1982,23.29,13.73,0,20.73
26,9,1982,23.21,13.01,0.3,21.39
27,9,1982,22.26,12.07,0,21.37
28,9,1982,22.3,12.11,0,21.72
29,9,1982,23.45,12.72,0,22.77
30,9,1982,22.83,11.74,0,21.61
1,10,1982,22.89,11.14,0,19.75
2,10,1982,22.79,13.15,15.25,20.51
3,10,1982,22.19,13,0,19.08
4,10,1982,22.29,13.99,18.76,19.37
5,10,1982,21.95,12.15,0,19.23
6,10,1982,21.88,13.38,0.13,18.99
7,10,1982,21.58,12.14,0,20.65
8,10,1982,20.23,12.82,1.71,18.51
9,10,1982,22.06,9.98,0,25.12
10,10,1982,22.23,12.03,0,22.22
