day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.69,14.06,0,18.63
2,1,1981,27.62,14.7,0,21.95
3,1,1981,27.66,15.6,0,20.52
4,1,1981,27.47,14.93,0,20.31
5,1,1981,28.23,15.63,2.37,22.81
6,1,1981,27.53,16.22,1.54,20.8
7,1,1981,27.65,14.98,0,23.62
8,1,1981,27.78,14.18,0,24.68
9,1,1981,27.52,14.2,0,23.83
10,1,1981,27.98,14.46,0,23.88
11,1,1981,28.09,15.72,0,22.43
12,1,1981,27.91,15.51,0,21.56
13,1,1981,28.36,15.89,0,22.31
14,1,1981,27.75,15.99,0,21.27
15,1,1981,28.21,15.92,0,22.35
16,1,1981,27.84,15.54,0,21.08
17,1,1981,28.53,15.26,0,23.38
18,1,1981,28.14,16.28,0,22.11
19,1,1981,28.48,16.8,0,22.07
20,1,1981,29.15,15.05,0,24.36
21,1,1981,28.05,15.85,0,20.08
22,1,1981,27.81,15.48,0,20.89
23,1,1981,27.92,15.95,0,21.5
24,1,1981,28.25,15.32,0,22.29
25,1,1981,29.08,15.42,0,24.52
26,1,1981,28.84,15.55,0,23.4
27,1,1981,28.98,15.08,0,24.28
28,1,1981,29.23,15.51,0,25.35
29,1,1981,28,15.79,0,22.83
30,1,1981,28.32,15.79,0,23.55
31,1,1981,28.79,14.4,0,25.53
1,2,1981,28.39,13.42,0,26.09
2,2,1981,28.58,14.02,0,25.72
3,2,1981,29.09,13.38,0,25.93
4,2,1981,28.65,14.12,0,24.98
5,2,1981,28.29,14.43,0,23.7
6,2,1981,28.8,14.69,0,25.17
7,2,1981,28.66,14.95,0,24.54
8,2,1981,28.28,15.6,0,21.06
9,2,1981,27.59,15.99,0,18.66
10,2,1981,28.12,15.57,0.16,20.73
11,2,1981,28.26,16.6,0,20.5
12,2,1981,27.58,17.06,0,21.64
13,2,1981,28.09,16.46,0,21.11
14,2,1981,28.43,15.42,0.92,22.38
15,2,1981,28.29,16.08,11.82,22.52
16,2,1981,28.71,16.65,2.8,22.28
17,2,1981,28.21,15.84,0,22.32
18,2,1981,27.67,16.35,0,21.22
19,2,1981,28.68,16.37,0.35,22.24
20,2,1981,28.68,15.87,0,23.21
21,2,1981,30.22,16.11,0,25.22
22,2,1981,30.06,16.18,0,24.96
23,2,1981,30.52,16.53,0,25.17
24,2,1981,30.4,16.39,0.14,24.79
25,2,1981,30.39,16.73,0,24.83
26,2,1981,29.31,16.35,0,23.91
27,2,1981,28.64,16.97,0.14,21.95
28,2,1981,29.11,16.39,0,22.18
1,3,1981,29.91,17.52,5.83,24.09
2,3,1981,29.36,17.47,2.53,22.55
3,3,1981,27.69,15.85,3.46,21.61
4,3,1981,26.87,14.12,0.74,20.78
5,3,1981,26.36,16.11,30.27,21.92
6,3,1981,26.95,14.75,1.04,22.83
7,3,1981,27.24,15.72,0,22.22
8,3,1981,26.7,16.63,2.42,22.35
9,3,1981,27.59,16.38,0,23.56
10,3,1981,27.25,16.62,0,22.09
11,3,1981,27.96,16.51,3.04,23.44
12,3,1981,27.19,15.45,1.98,21.47
13,3,1981,26.64,16,10.18,19.56
14,3,1981,26.56,15.61,4.63,20.97
15,3,1981,26.18,15.43,0.85,21.98
16,3,1981,25.83,15.07,1.52,19.96
17,3,1981,26.74,15.79,5.64,22.74
18,3,1981,26.86,15.37,6.82,22.99
19,3,1981,26.62,14.85,1.04,21.81
20,3,1981,26.23,14.25,0.47,23.01
21,3,1981,25.27,15.58,15.16,20.72
22,3,1981,26.56,14.22,0,21.81
23,3,1981,26,15.09,7.53,21.62
24,3,1981,26.11,14.64,0,20.46
25,3,1981,24.64,15.2,2.3,17.43
26,3,1981,25.03,15.71,6.12,19.15
27,3,1981,23.6,15.2,4.18,17.47
28,3,1981,24.38,14,5.12,19.55
29,3,1981,23.36,14.86,4.04,17.23
30,3,1981,25.03,15,5.01,21.19
31,3,1981,25.09,15.95,4.78,20.52
1,4,1981,25.35,14.6,0.76,20.94
2,4,1981,25.39,14.93,6.63,22.23
3,4,1981,25.01,16.19,0,20.12
4,4,1981,25.18,16.18,0,21.31
5,4,1981,25.02,16.36,0,20.47
6,4,1981,25.66,16.44,3.02,21.71
7,4,1981,25.27,16.01,12.15,21.42
8,4,1981,25.56,15.24,0,21.69
9,4,1981,25.89,16.55,0,22.56
10,4,1981,26.17,15.54,0,21.11
11,4,1981,25.86,15.47,2.94,21.68
12,4,1981,25.34,15.91,0.16,20.56
13,4,1981,25.47,15.97,1.36,21.58
14,4,1981,25.55,16.45,4.12,21.81
15,4,1981,26.97,15.76,2.16,22.92
16,4,1981,27.57,16.19,0,23.89
17,4,1981,26.77,15.93,0,22.3
18,4,1981,26.3,16.44,12.85,21.93
19,4,1981,26.11,15.45,0,22.29
20,4,1981,26.47,15.62,0.86,22.06
21,4,1981,25.28,14.95,7.16,20.33
22,4,1981,24.25,15.08,0,18.91
23,4,1981,24.34,16.29,10.16,19.95
24,4,1981,24.27,15.47,2.37,21.09
25,4,1981,24.51,13.99,0,22.68
26,4,1981,25.13,15.36,0.59,21.78
27,4,1981,25.86,14.17,3.57,22.62
28,4,1981,27.31,14.17,0,25.91
29,4,1981,27.06,15.91,0,26.2
30,4,1981,27.25,15.79,0,25.01
1,5,1981,27.1,16.62,0,23.87
2,5,1981,27.06,15.33,0,23.41
3,5,1981,27.53,14.98,0.4,24.09
4,5,1981,27.72,16.74,0,25.27
5,5,1981,28.12,16.85,0,25.02
6,5,1981,28.2,15.42,0.36,24
7,5,1981,26.89,15.81,0,22.18
8,5,1981,25.74,15.49,0,21.38
9,5,1981,27.12,16.15,0,22.6
10,5,1981,27.26,17.19,0,22.89
11,5,1981,26.9,15.79,0,21.57
12,5,1981,25.47,16.19,6,18.94
13,5,1981,25.74,15.63,0.75,20.3
14,5,1981,25.69,15.97,0,20.96
15,5,1981,26.92,14.81,0.89,23.72
16,5,1981,25.97,14.96,1.78,22.84
17,5,1981,25.59,15.23,32.62,21.17
18,5,1981,25.75,15.59,0,20.7
19,5,1981,25.58,15.36,0,20.91
20,5,1981,25.63,14.89,0,21.73
21,5,1981,25.12,15.12,0,20.85
22,5,1981,25.06,15.35,0,20.5
23,5,1981,25.74,15.23,0,22.09
24,5,1981,24.13,16.85,8.34,18.05
25,5,1981,24.78,15.28,4.98,19.98
26,5,1981,25.87,15.34,0.91,22.06
27,5,1981,25.81,15.53,0,22.54
28,5,1981,26.19,15.28,0,22.36
29,5,1981,25.23,15.62,5.02,20.4
30,5,1981,24.87,15.48,0,18.49
31,5,1981,25.38,15.21,0,21.62
1,6,1981,26.25,15.25,0,22.36
2,6,1981,25.01,16.27,0,20.42
3,6,1981,23.66,16.35,3.76,18.12
4,6,1981,24.45,15.32,6.43,18.63
5,6,1981,23.66,16.72,0.71,17.96
6,6,1981,23.82,16.72,2.8,18.87
7,6,1981,23.76,15.76,0,18.28
8,6,1981,23.82,15.26,1.95,19.13
9,6,1981,23.98,14.95,0,19.5
10,6,1981,23.83,14.41,0,18.4
11,6,1981,24.58,15.54,0,20.62
12,6,1981,24.43,14.85,0.43,20.01
13,6,1981,23.07,15.6,3.83,17.51
14,6,1981,22.46,15.31,0,17.34
15,6,1981,23.34,13.81,0,19.48
16,6,1981,23.7,15.24,2.96,19.37
17,6,1981,23.22,15.1,1.61,18.22
18,6,1981,24.21,14.9,2.69,19.89
19,6,1981,24.59,15.65,4.16,20.32
20,6,1981,24.07,15.54,1.43,19.48
21,6,1981,22.61,16.49,1.11,17.3
22,6,1981,23.38,16.13,2.44,18.82
23,6,1981,23.81,14.32,6.17,19.66
24,6,1981,24.09,15.05,12.09,20.12
25,6,1981,23.35,16.19,10.97,18.67
26,6,1981,22.38,15.52,4.06,18.04
27,6,1981,22.9,15.78,7.2,18.85
28,6,1981,22.3,15.76,0.59,16.91
29,6,1981,22.92,14.92,4.02,19.07
30,6,1981,22.57,14.15,8.85,18.9
1,7,1981,22.47,14.68,6.77,17.55
2,7,1981,22.36,15.64,16.61,17.88
3,7,1981,22.24,15.91,0.89,16.64
4,7,1981,21.91,15.5,1.8,17.86
5,7,1981,22.39,14.56,0.16,18.41
6,7,1981,22.56,14.19,1.11,18.77
7,7,1981,22.55,14.88,1.25,18.15
8,7,1981,22.08,15.74,1.11,17.2
9,7,1981,22.24,14.51,35.6,17.87
10,7,1981,21.69,14.8,5.53,17.04
11,7,1981,21.02,15.65,5.07,15.85
12,7,1981,22.8,14.23,24.56,19.88
13,7,1981,22.27,14.78,5.77,18.05
14,7,1981,22.46,14.55,6.7,18.13
15,7,1981,21.46,15.66,8.19,15.28
16,7,1981,21.23,15.06,3.22,14.07
17,7,1981,21.38,14.75,1.07,15.83
18,7,1981,21.89,14.02,0.17,16.26
19,7,1981,21.45,15.45,8.93,16.37
20,7,1981,20.32,15.35,33.2,13.18
21,7,1981,22.47,14.42,10.07,18.56
22,7,1981,23.22,16.12,5.87,18.42
23,7,1981,23.06,16.33,7.91,18.29
24,7,1981,22.49,15.94,19.47,16.19
25,7,1981,21.37,15.16,5.22,16.61
26,7,1981,20.99,15.03,20.3,14.11
27,7,1981,21.61,14.67,1.05,16.89
28,7,1981,22.38,14.78,14.78,18.29
29,7,1981,22.93,15.58,4.1,19.36
30,7,1981,21.31,15.2,27.68,15.07
31,7,1981,22.11,15.18,0.31,16.56
1,8,1981,22.53,14.93,1.38,19.38
2,8,1981,21.77,15.17,10.78,13.93
3,8,1981,23.06,15.39,7.3,18.25
4,8,1981,22.45,15.54,1.28,17.44
5,8,1981,22.64,15.1,21.66,18.6
6,8,1981,22.24,15.85,26.1,17.11
7,8,1981,21.49,16.35,0.79,16
8,8,1981,21.96,15.27,2.31,16.35
9,8,1981,22.46,15.6,0.18,18.48
10,8,1981,23.12,15.03,1.04,18.57
11,8,1981,23.41,15.88,18.15,19.08
12,8,1981,22.4,16.04,12.54,17.89
13,8,1981,21.9,16.01,18.43,16.91
14,8,1981,22.71,16.08,7.39,18.69
15,8,1981,22.97,16.16,1.22,17.98
16,8,1981,22.54,14.73,2.02,18.97
17,8,1981,22.11,14.88,9.06,16.92
18,8,1981,22.51,14.26,1.44,18.71
19,8,1981,23.52,14.36,0,20.55
20,8,1981,22.3,14.79,0.95,19.58
21,8,1981,21.3,15.51,16.72,14.57
22,8,1981,21.58,14.67,6.47,17.07
23,8,1981,22.31,13.99,0,18.72
24,8,1981,22.11,14.13,0,18.73
25,8,1981,22.33,15.04,0,19.42
26,8,1981,23.21,14.72,8.22,19.62
27,8,1981,22.5,14.84,0.42,19.07
28,8,1981,23.24,14.03,1.55,20.43
29,8,1981,21.68,13.51,1.98,17.62
30,8,1981,23.34,13.64,1.86,21.02
31,8,1981,22.62,13.94,29.77,17.74
1,9,1981,21.96,13.97,19.03,18.53
2,9,1981,23.1,14.23,0,20.86
3,9,1981,23.08,13.38,0,21.1
4,9,1981,22.68,14.98,1.32,18.67
5,9,1981,21.83,15.54,8.78,17.02
6,9,1981,22.5,13.9,16.06,19.97
7,9,1981,22.58,14.22,0.73,19.09
8,9,1981,21.28,15.48,0,13.45
9,9,1981,22.69,13.74,0.81,20.18
10,9,1981,23.12,14.03,1.45,20.38
11,9,1981,23.53,14.45,20.22,21.41
12,9,1981,22.17,13.93,2.94,19.12
13,9,1981,22.98,13.9,0.99,20.72
14,9,1981,23.36,13.67,0.97,19.77
15,9,1981,22.46,14.45,0.54,18.62
16,9,1981,22.92,14.73,0.82,19.07
17,9,1981,23.2,14.33,1.18,19.08
18,9,1981,22.77,15.06,1.19,18.95
19,9,1981,22.79,13.85,7.35,19.09
20,9,1981,22.46,13.7,9.13,18.45
21,9,1981,23.99,14.04,0,21.97
22,9,1981,23.27,14.36,6.15,18.93
23,9,1981,24.16,14.55,0,21.11
24,9,1981,23.3,15.24,1.53,19.35
25,9,1981,22,14.78,13.59,16.13
26,9,1981,23.67,14.28,2.53,18.86
27,9,1981,23.42,13.97,8.56,20.41
28,9,1981,23.61,13.29,0,22.01
29,9,1981,23.81,14.3,0,20.42
30,9,1981,24.06,13.26,0,22.48
1,10,1981,24.09,13.57,0,20.3
2,10,1981,23.52,14.48,1.15,19.73
3,10,1981,23.72,14.7,0,20.41
4,10,1981,23.8,14.31,0,20.25
5,10,1981,23.78,14.57,3.71,20.53
6,10,1981,24.18,13.23,3.69,21.38
7,10,1981,24.5,14.51,0.28,21.98
8,10,1981,24.83,13.41,0,22.31
9,10,1981,24,13.73,12.53,21.3
10,10,1981,23.85,13.59,0,22.49
11,10,1981,24.38,14.11,0,23.56
12,10,1981,24.6,14.12,0,24.22
13,10,1981,25.11,13.89,0,26.34
14,10,1981,24.69,14.33,0,23.46
15,10,1981,24.86,14.27,0,23.41
16,10,1981,25,14.35,0,24.55
17,10,1981,24.75,14.27,0,24.04
18,10,1981,25.23,13.71,0,25.26
19,10,1981,25.31,12.77,0,26.53
20,10,1981,25.15,12.84,0,24.88
21,10,1981,24.83,14.12,0,23.67
22,10,1981,25.09,14.47,0,22.9
23,10,1981,25.76,14.39,0,24.55
24,10,1981,25.65,14.83,0,23.96
25,10,1981,26.12,12.32,0,25.85
26,10,1981,25.64,13.87,0,25.54
27,10,1981,25.51,12.98,0,26.04
28,10,1981,25.86,13.33,0,24.41
29,10,1981,26.47,14.36,0,25.12
30,10,1981,26.59,14.19,0,25.43
31,10,1981,26.4,14,0,24.1
1,11,1981,26.49,14.68,0,24.26
2,11,1981,26.01,14.5,0,23.13
3,11,1981,24.96,15.08,7.85,20.66
4,11,1981,25,14.48,1.65,20.95
5,11,1981,25.69,13.71,0,22.19
6,11,1981,26.49,14.92,0,24.06
7,11,1981,26.72,14.04,0,25.51
8,11,1981,26.49,13.51,0,25.52
9,11,1981,26.15,12.81,0,25.66
10,11,1981,26.26,13.06,0,24.41
11,11,1981,26.76,13.19,0,25.37
12,11,1981,26.8,13.33,0,25.03
13,11,1981,27.2,13.64,0,25.16
14,11,1981,26.89,13.43,0,25.49
15,11,1981,27.12,13.62,0,25.48
16,11,1981,27.04,13.51,0,25.28
17,11,1981,26.88,13.72,0,24.58
18,11,1981,27.16,14.94,0,24.2
19,11,1981,27.01,16.18,0,23.03
20,11,1981,26.77,15.92,0,22.24
21,11,1981,26.65,16.12,0,21.18
22,11,1981,25.75,14.48,0.44,19.84
23,11,1981,24.55,14.1,0.73,19.72
24,11,1981,25.39,13.3,0,21.34
25,11,1981,26.22,14.54,0,23.33
26,11,1981,26.53,14.76,0,23.73
27,11,1981,27.04,13.75,0,24.27
28,11,1981,26.99,13.67,0,24.1
29,11,1981,26.86,13.85,0,23.29
30,11,1981,26.95,13.4,0,24.7
1,12,1981,26.68,12.83,0,24.69
2,12,1981,26.94,13.03,0,24.03
3,12,1981,27.16,13.6,0,24.33
4,12,1981,27.02,12.92,0,24.6
5,12,1981,27.31,13.34,0,24.4
6,12,1981,27.19,13.77,0,23.24
7,12,1981,26.55,14.43,0,20.82
8,12,1981,27.57,13.91,0,23.55
9,12,1981,27.56,13.3,0,24.36
10,12,1981,27.34,12.62,0,24.53
11,12,1981,27.51,12.95,0,24.44
12,12,1981,27.53,13.03,0,24.33
13,12,1981,27.44,13.31,0,24.16
14,12,1981,27.73,13.63,0,23.76
15,12,1981,27.98,14.07,0,23.29
16,12,1981,26.63,14.83,0,19.75
17,12,1981,26.84,14.54,0,19.45
18,12,1981,27.16,14.92,0,19.85
19,12,1981,26.39,15.57,0,19.32
20,12,1981,26.66,16.07,0,19.06
21,12,1981,25.32,16.11,0,17.92
22,12,1981,27.42,15.27,0,21.03
23,12,1981,27.42,14.39,0,22.57
24,12,1981,27.59,14.43,0,22.73
25,12,1981,27.94,14.78,0,21.25
26,12,1981,27.68,15.57,0,20.7
27,12,1981,27.73,16.13,0,21.6
28,12,1981,27.67,15.86,0,21.03
29,12,1981,27.07,14.16,0,20.28
30,12,1981,27.68,15.5,0,20.97
31,12,1981,27.62,16.29,7.37,20.04
1,1,1982,26.18,15.69,1.51,18.46
2,1,1982,26.69,14.6,0,20.36
3,1,1982,25.22,14.33,7.08,18.71
4,1,1982,25.02,13.5,0,19.08
5,1,1982,25.01,15.55,0,19.46
6,1,1982,24.71,13.82,0,19.55
7,1,1982,26.3,12.8,0,22.29
8,1,1982,26.82,13.69,0,23.39
9,1,1982,26.51,13.65,0,21.79
10,1,1982,26.6,15.16,0,21.38
11,1,1982,26.88,14.71,13.28,22.63
12,1,1982,26.78,14.9,0,21.64
13,1,1982,26.53,14.7,4.41,20.9
14,1,1982,25.17,12.8,0,19.33
15,1,1982,25.69,13.17,0,21.41
16,1,1982,24.11,14.13,3.97,18.53
17,1,1982,25.46,13.42,0.64,20.5
18,1,1982,25.63,14.93,0,19.53
19,1,1982,25.74,14.44,0,19.65
20,1,1982,25.74,14.41,0,20.3
21,1,1982,26.4,14.07,0,21.99
22,1,1982,26.45,14.72,0,21.89
23,1,1982,26.99,13.88,0,23.5
24,1,1982,27.21,14.68,0,22.67
25,1,1982,27.36,15.05,0,22.22
26,1,1982,28.16,14.14,0,24.42
27,1,1982,27.6,14.55,0,22.86
28,1,1982,28.22,14.02,0,24.36
29,1,1982,28.91,13.62,0,24.86
30,1,1982,27.93,14.71,0,23.55
31,1,1982,27.74,14.75,0,23.56
1,2,1982,28.38,15.2,0,24.27
2,2,1982,27.33,15.46,0,21.77
3,2,1982,28.14,15.06,0.32,22.82
4,2,1982,27.75,16.18,0,22.15
5,2,1982,27.67,15.78,0.44,21.34
6,2,1982,25.53,14.76,0,19.66
7,2,1982,26.03,14.91,0,20.97
8,2,1982,25.84,13.46,1.84,21.17
9,2,1982,27.49,15.25,0.5,21.23
10,2,1982,27.07,16.11,0,21.76
11,2,1982,27.91,16.2,6.42,22.36
12,2,1982,26.39,15.43,0,19.35
13,2,1982,24.32,14.06,0,18.13
14,2,1982,25.46,13.65,0,21.46
15,2,1982,25.43,14.73,11.55,20.7
16,2,1982,24.56,14.75,0,19.65
17,2,1982,25.41,15.04,1.77,20.27
18,2,1982,25.61,14.27,0,20.83
19,2,1982,24.72,14.42,0,18.24
20,2,1982,25.95,13.88,0,22
21,2,1982,26.82,14.96,0,23.27
22,2,1982,26.88,14.87,0,23.37
23,2,1982,27.66,14.58,0,23.5
24,2,1982,27.73,15.38,0,23.67
25,2,1982,27.1,16.6,6.26,22.21
26,2,1982,27.83,13.64,3.59,22.57
27,2,1982,26.32,13.98,1.2,19.51
28,2,1982,26.81,14.9,4.29,21.99
1,3,1982,26.82,15.67,0.95,22.22
2,3,1982,25.42,14.39,0,20.12
3,3,1982,25.14,14.08,2.23,18.6
4,3,1982,25.57,15.33,0.66,22.31
5,3,1982,26.2,14.71,0,22.57
6,3,1982,25.89,13.99,0,22.71
7,3,1982,26.95,14.28,0,24.24
8,3,1982,27.11,14.62,0,24.92
9,3,1982,26.91,14.77,0,23.75
10,3,1982,27.69,14.73,0,25.54
11,3,1982,28.3,14.9,0,26.19
12,3,1982,28.53,14.45,0,27.03
13,3,1982,28.1,15.29,0,24.76
14,3,1982,28.33,15.89,0,25.02
15,3,1982,28.1,15.34,0,24.66
16,3,1982,27.62,15.39,0,23.85
17,3,1982,28.96,15.28,0,25.78
18,3,1982,28.77,16.31,0,25.27
19,3,1982,28.15,16.3,0,24.17
20,3,1982,28.77,17.53,0,25.12
21,3,1982,28.56,17.3,0,24.02
22,3,1982,28.65,16.64,0,25.11
23,3,1982,29,17.01,0,25.36
24,3,1982,29.28,16.99,0,25.82
25,3,1982,29.76,16.92,0,26.94
26,3,1982,29.55,16.84,0,25.16
27,3,1982,28.29,16.8,0,22.19
28,3,1982,26.49,15.14,4.98,21.29
29,3,1982,25.96,15.79,16.07,22.95
30,3,1982,25.25,15.7,38.77,21.41
31,3,1982,24.29,14.95,1.52,21.34
1,4,1982,23.63,14.83,0,18.87
2,4,1982,23.96,16.4,0.45,18.12
3,4,1982,25.3,15.99,0,22.56
4,4,1982,25.41,14.94,0.4,22.19
5,4,1982,25.33,15.05,9.52,22.36
6,4,1982,25.3,15.15,4.92,23.67
7,4,1982,26.13,15.75,0,23.3
8,4,1982,25.66,14.86,9.06,22.16
9,4,1982,25.81,15.74,0,22.75
10,4,1982,25.65,16.3,0,22.05
11,4,1982,25.28,14.86,1.85,20.53
12,4,1982,26.17,14.58,7.51,23.34
13,4,1982,25.83,14.51,0,22.89
14,4,1982,26.13,15.62,0,23.89
15,4,1982,25.29,15.41,3.13,23.33
16,4,1982,26.1,15.3,7.23,24.83
17,4,1982,26.83,14.22,0,25.81
18,4,1982,27.25,15.28,0,26.56
19,4,1982,27.01,15.65,0.39,24.16
20,4,1982,26.53,15.96,0,22.47
21,4,1982,26.86,14.79,0,23.72
22,4,1982,27.28,16.63,2.78,23.56
23,4,1982,27.84,14.64,0,24.72
24,4,1982,27.74,14.26,0,24.59
25,4,1982,26.03,15.46,1.17,21.78
26,4,1982,23.22,15.77,10.64,16.03
27,4,1982,24.33,15.4,0,19.04
28,4,1982,24.98,15.08,0,21.05
29,4,1982,26.66,14.18,0,24.58
30,4,1982,26.98,16.02,0,25.02
1,5,1982,28.01,15.77,0,26.25
2,5,1982,27.75,16.56,0,25.38
3,5,1982,27.08,16.45,0,24.5
4,5,1982,26.94,15.31,0,24.46
5,5,1982,26.25,14.93,2.28,23.03
6,5,1982,23.39,16.41,11.69,16.4
7,5,1982,23.46,15.5,0,18.33
8,5,1982,24.37,15.35,2.34,20.14
9,5,1982,23.89,15.19,0,19.96
10,5,1982,23.73,15.82,16.86,20.15
11,5,1982,23.21,15.59,0,16.25
12,5,1982,22.83,15.23,2.23,16.15
13,5,1982,23.66,15.53,5.87,19.8
14,5,1982,23.39,15.25,3.95,18.5
15,5,1982,23.21,15.57,6.68,17.15
16,5,1982,23.81,15.55,4.34,20.3
17,5,1982,25.24,14.37,0,23.83
18,5,1982,24.9,14.73,0,23.94
19,5,1982,26.04,13.62,0,25.19
20,5,1982,26.36,13.86,0,26.42
21,5,1982,25.76,15.31,0,24.89
22,5,1982,25.65,15.64,0,23.22
23,5,1982,24.7,14.91,0.96,21.13
24,5,1982,24.19,15.09,0,19.84
25,5,1982,25,14.32,0,21.7
26,5,1982,25.17,15.53,13.1,21.46
27,5,1982,24.82,15.19,0,20.31
28,5,1982,24.38,14.58,0,19.72
29,5,1982,23.38,15.61,0,20.18
30,5,1982,24.38,15.31,0,20.91
31,5,1982,25.12,14.86,0,22.07
1,6,1982,24.52,15.49,0,20.62
2,6,1982,23.25,15.15,5.74,17.03
3,6,1982,24.47,15.29,0,19.53
4,6,1982,24.71,15.32,0,20.8
5,6,1982,24.84,15.75,0.47,21.19
6,6,1982,24.4,15.48,9.24,19.55
7,6,1982,24.79,16.01,0,21.11
8,6,1982,24.97,15.2,0,21.36
9,6,1982,25.76,15.8,2.32,21.37
10,6,1982,24.61,14.79,0.38,19.14
11,6,1982,24.82,15.38,0.56,19.75
12,6,1982,23.37,16.55,0.69,14.95
13,6,1982,23.76,16.37,0,17.21
14,6,1982,23.29,15.16,3.65,18.04
15,6,1982,23.94,15.77,27.67,19.28
16,6,1982,22.37,15.36,0.99,17.12
17,6,1982,23.87,15.46,0.84,19.3
18,6,1982,22.95,16.08,0.73,17.56
19,6,1982,23.06,14.58,0.75,18.32
20,6,1982,21.71,15.96,28.84,14.57
21,6,1982,23.32,15.42,6.77,19.16
22,6,1982,22.4,14.68,0.81,17.13
23,6,1982,23.39,15.15,0.84,19.49
24,6,1982,23.43,14.97,27.05,19.36
25,6,1982,21.97,15.37,1.66,17.15
26,6,1982,22.43,15,1.49,18.71
27,6,1982,22.82,13.45,0,18.44
28,6,1982,22.5,15.57,8.28,18.17
29,6,1982,21.55,14.93,0,14.1
30,6,1982,22.58,14.82,0,18.47
1,7,1982,22.18,14.38,0.21,18.49
2,7,1982,21.92,14.33,5.76,17.39
3,7,1982,22.03,15.84,5.8,17.06
4,7,1982,22.52,14.53,8.81,18.91
5,7,1982,21.77,14.19,3.79,18
6,7,1982,22.04,14.71,0,17.04
7,7,1982,22.06,15.42,0,17.82
8,7,1982,21.86,15.56,0,18.03
9,7,1982,22.08,14.68,0,19.11
10,7,1982,22.09,15.32,35.93,18.87
11,7,1982,23.33,14.25,0,20.16
12,7,1982,23.1,15.26,3.09,18.96
13,7,1982,22.24,15.7,26.32,18.05
14,7,1982,21.58,15.37,2.95,17.29
15,7,1982,21.68,14.77,0,16.93
16,7,1982,21.67,14.66,0.47,18.17
17,7,1982,21.48,15.79,4.06,15.93
18,7,1982,21.57,14.86,1.03,17.5
19,7,1982,21.66,15.13,8.7,18.63
20,7,1982,21.43,14.57,1.18,17.3
21,7,1982,22.71,14.76,14.75,19.65
22,7,1982,21.62,16.03,9.68,16.12
23,7,1982,20.81,14.9,2.31,13.56
24,7,1982,22.15,14.44,1.21,18
25,7,1982,22.04,15.7,2.46,16.88
26,7,1982,21.2,14.82,0.14,14.47
27,7,1982,21.62,13.74,7,17.08
28,7,1982,21.97,15.03,10.82,18.83
29,7,1982,21.84,15.56,10.08,16.25
30,7,1982,22.15,14.91,1.57,18.46
31,7,1982,22.26,14.49,1.24,18.01
1,8,1982,22.36,14.59,3.94,18.46
2,8,1982,21.39,15.49,14.15,16.74
3,8,1982,21.66,15.57,1.39,17.83
4,8,1982,22.15,14.6,9.46,18.97
5,8,1982,22.68,14.52,20.52,20.46
6,8,1982,22.64,15.01,9.03,19.58
7,8,1982,22.27,15.3,1.26,18.54
8,8,1982,21.55,14.36,4.06,18.09
9,8,1982,22.15,14.49,10.75,19.42
10,8,1982,22.03,14.3,5.39,18.63
11,8,1982,22.1,15.6,12.82,18.91
12,8,1982,21.88,14.96,13.28,17.83
13,8,1982,19.77,14.51,10.02,12.26
14,8,1982,21.7,14.46,0,17.43
15,8,1982,21.76,15.4,0,17.53
16,8,1982,21.76,15.5,21.08,16.58
17,8,1982,20.89,14.79,0,14.19
18,8,1982,22.16,13.96,12.5,18.45
19,8,1982,20.26,15.75,0,12.52
20,8,1982,22.48,13.97,0,18.64
21,8,1982,22.3,15.38,0,17.86
22,8,1982,22.59,15.39,0,19.55
23,8,1982,22.84,15.02,0,19.35
24,8,1982,22.71,15.45,7.37,19.5
25,8,1982,22.1,15.67,0,17.16
26,8,1982,22.82,15.64,0,19.64
27,8,1982,22.99,15.14,5.92,19.03
28,8,1982,22.36,15.17,0,19.09
29,8,1982,22.48,14.56,0,18.9
30,8,1982,23.17,13.88,11.02,20.38
31,8,1982,22.99,14.21,0,19.58
1,9,1982,22.33,14.52,0.7,17.99
2,9,1982,23.6,14.01,0.64,20.62
3,9,1982,22.24,14.26,5.43,17.85
4,9,1982,24.02,13.47,11.16,21.45
5,9,1982,22.74,13.96,2.66,19.69
6,9,1982,23.09,13.72,2.48,19.9
7,9,1982,24.1,12.64,0,22.64
8,9,1982,24.05,13.81,0.24,22.31
9,9,1982,22.91,14.06,0,19.92
10,9,1982,23.58,12.9,8.39,21.08
11,9,1982,23.65,13.23,3.75,21.24
12,9,1982,23.81,13.59,14.21,21.05
13,9,1982,22.84,14.98,14.17,19.57
14,9,1982,22.07,14.35,13.04,17.71
15,9,1982,22.48,14.77,0.86,17.66
16,9,1982,22.88,14.15,10.73,19.65
17,9,1982,22.94,14.83,1.45,19.81
18,9,1982,23.58,13.04,1.59,20.36
19,9,1982,22.71,14.25,0,17.37
20,9,1982,22.96,12.85,0,19.78
21,9,1982,23.2,13.23,0,20.43
22,9,1982,22.35,14.36,0.41,17.44
23,9,1982,22.56,13.38,4.25,18.95
24,9,1982,22.98,14.28,14.28,20.28
25,9,1982,22.85,14.75,0,19.98
26,9,1982,23.61,13.52,0,21.84
27,9,1982,24.05,14.69,0,22.08
28,9,1982,23.22,13.21,0,20.29
29,9,1982,23.67,13.91,0,20.77
30,9,1982,22.48,14.04,0,17.75
