day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.18,6.42,0,20.45
2,1,1981,19.56,7.36,7.97,22.09
3,1,1981,20.59,7.63,0,21.76
4,1,1981,20.66,6.05,0.27,21.51
5,1,1981,21.16,5.95,0,22.96
6,1,1981,19.57,6.04,0,20
7,1,1981,20.65,5.74,0,23.85
8,1,1981,20.57,5.46,0,24.6
9,1,1981,20.74,5.11,0,24.81
10,1,1981,20.37,4.75,0,23.14
11,1,1981,20.85,5.17,0,23.45
12,1,1981,19.95,5.68,0,20.9
13,1,1981,20.93,7.29,0,22
14,1,1981,19.94,6.59,0,19.93
15,1,1981,20.27,6.68,0,21.53
16,1,1981,20.98,5.53,0,23.6
17,1,1981,21.34,4.99,0,24.37
18,1,1981,21.3,5.54,0,23.11
19,1,1981,21.8,5.6,0,25.59
20,1,1981,21.42,5.45,0,25.33
21,1,1981,21.05,6.33,0,22.54
22,1,1981,20.2,8.15,0,20.59
23,1,1981,21.08,7.75,0,20.82
24,1,1981,21.73,5.9,0,24.53
25,1,1981,22.08,5.86,0,25.63
26,1,1981,21.68,6.28,0,25.32
27,1,1981,22.16,5.18,0,26.35
28,1,1981,22.14,4.8,0,26.6
29,1,1981,21.6,5.2,0,24.94
30,1,1981,20.35,6.27,0,22.19
31,1,1981,21.74,5.41,0,25.35
1,2,1981,21.12,4.82,0,26.69
2,2,1981,21.65,5.08,0,25.71
3,2,1981,22.46,4.93,0,26.66
4,2,1981,21.84,5.02,0,26.06
5,2,1981,21.47,5.21,0,24.55
6,2,1981,22.32,5.58,0,25.69
7,2,1981,21.66,4.84,0,26.68
8,2,1981,22.09,5.35,0,26.24
9,2,1981,20.27,6.89,0,21.41
10,2,1981,21.07,8.24,0,22.65
11,2,1981,19.96,8.91,7.05,18.73
12,2,1981,19.21,9.11,8.06,19.49
13,2,1981,17.59,7.43,0,18.08
14,2,1981,19.08,5.98,0,20.34
15,2,1981,19.61,7.86,6.97,20.43
16,2,1981,16.93,7.47,0,16.44
17,2,1981,18.99,7.53,5.23,19.32
18,2,1981,19.07,7.39,3.58,19.94
19,2,1981,19.6,7.39,0,21.73
20,2,1981,20.74,7.06,0,23.98
21,2,1981,20.68,6.04,0,23.98
22,2,1981,21.11,6.01,0,24.89
23,2,1981,21.63,6.05,0,25.76
24,2,1981,22,5.93,1.44,25.74
25,2,1981,21.88,6.07,1.21,24.65
26,2,1981,21.52,6.04,0,25.23
27,2,1981,21.36,6.37,0.1,24.43
28,2,1981,20.71,8.69,0,22.93
1,3,1981,20.59,8.12,0,23.08
2,3,1981,19.91,8.44,8.67,21.1
3,3,1981,19.77,8.35,0,19.17
4,3,1981,18.71,8.94,4.53,19.73
5,3,1981,17.78,8.26,2.97,18.67
6,3,1981,18.66,8.37,3.89,19.35
7,3,1981,19.02,8.03,0,20.94
8,3,1981,19.98,6.27,0,27.23
9,3,1981,19.52,7.23,0,24.77
10,3,1981,18.59,7.31,0,21.51
11,3,1981,16.63,8.08,6.48,16.83
12,3,1981,18.87,6.43,1.5,21.49
13,3,1981,19.01,7.41,5.32,22.19
14,3,1981,18.82,6.47,0,18.9
15,3,1981,18.71,8.35,0,19.95
16,3,1981,17.98,9.19,0.13,16.08
17,3,1981,18.57,8.63,0,19.65
18,3,1981,18.17,7.86,0,19.27
19,3,1981,17.99,9.02,13.64,17.2
20,3,1981,18.07,7.83,27.51,18.26
21,3,1981,17.6,7.78,18.95,17.47
22,3,1981,17.72,7.17,11.53,17.91
23,3,1981,17.12,7.33,8.94,16.56
24,3,1981,18.16,7.04,6.64,19.74
25,3,1981,16.48,8.66,11.36,11.9
26,3,1981,17.6,8.64,3.61,17.62
27,3,1981,17.92,8.49,5.3,16.27
28,3,1981,18.18,8.22,3.59,18.49
29,3,1981,18.29,8.3,5.57,19.83
30,3,1981,19.08,7.8,16.52,20.89
31,3,1981,18.48,9.41,4.83,18.86
1,4,1981,18.27,8.81,0,16.65
2,4,1981,17.29,9.22,0,18.15
3,4,1981,18.07,8.61,0,20.03
4,4,1981,19.79,6.75,13.8,22.2
5,4,1981,18.3,8.05,0,17.93
6,4,1981,17.96,7.7,12.11,18.64
7,4,1981,19.79,6.41,0,24.11
8,4,1981,19.36,8.16,0,22.89
9,4,1981,19.58,8.39,0,21.18
10,4,1981,17.99,8.27,0,18.09
11,4,1981,17.62,8.01,0,17.27
12,4,1981,18.14,8.93,7.57,17.77
13,4,1981,17.48,8.27,4.51,16.68
14,4,1981,17.96,7.26,5.75,18.4
15,4,1981,19.71,9.23,2.22,19.61
16,4,1981,19.92,9.47,0,21.24
17,4,1981,19.13,9.51,0,21.03
18,4,1981,17.14,9.58,0,17.3
19,4,1981,17.58,8.52,0,17.93
20,4,1981,18.68,9.61,15.76,18.75
21,4,1981,16.1,9.41,8.68,14.53
22,4,1981,17.09,8.93,15.02,16.08
23,4,1981,16.68,8.94,14.33,16.63
24,4,1981,17.54,7.44,16.73,19.46
25,4,1981,17.89,7.71,0,19.22
26,4,1981,17.41,8.17,0.3,18.49
27,4,1981,18.29,7.06,7.33,17.42
28,4,1981,19.28,7.39,0.71,20.81
29,4,1981,19.31,8.31,0,22.05
30,4,1981,20.56,8.67,0,24.37
1,5,1981,19.9,7.83,0,23.25
2,5,1981,18.51,9.68,0,20.1
3,5,1981,19.35,9.02,14.28,22.81
4,5,1981,19.47,7.3,0,19.69
5,5,1981,19.37,7.15,0,20.47
6,5,1981,19.59,8.9,0,21.63
7,5,1981,19.17,9.53,0,18.31
8,5,1981,19.25,9.03,0,20.77
9,5,1981,19.86,9.45,11.26,20.4
10,5,1981,16.77,9.65,0,13.08
11,5,1981,19.75,8.04,2.64,20.69
12,5,1981,16.38,10.1,0,12.6
13,5,1981,18.52,8.28,0,18.15
14,5,1981,19.74,8.58,0,22.53
15,5,1981,19.26,9.41,16.06,21.13
16,5,1981,19.04,9.57,0,20.24
17,5,1981,19.65,9.89,0.3,21.06
18,5,1981,18.49,9.26,0,18.37
19,5,1981,19.4,8.52,0,20.02
20,5,1981,19.09,9.57,0,20.33
21,5,1981,18.99,9.48,0,20.23
22,5,1981,18.6,8.94,0,19.74
23,5,1981,18.05,9.57,0,18.74
24,5,1981,17.29,10.13,12.55,16.75
25,5,1981,17.24,8.86,0,16.74
26,5,1981,19.41,9.15,0,20.89
27,5,1981,19.17,6.73,0,21.18
28,5,1981,18.28,7.93,0,21.68
29,5,1981,18.44,8.26,0,19.93
30,5,1981,17.71,8.95,0,17.1
31,5,1981,19.59,7.71,0,19.55
1,6,1981,19.52,9.71,0,19.61
2,6,1981,19.13,9.42,0,18.12
3,6,1981,16.76,9.54,0,16.57
4,6,1981,17.7,9.03,0,16.58
5,6,1981,17.3,9.77,0,15.17
6,6,1981,17.79,9.73,5.32,17.55
7,6,1981,16.67,9.11,0,15.02
8,6,1981,16.79,9.13,0,15.96
9,6,1981,16.38,9.11,0,14.81
10,6,1981,17.2,8.95,0,15.78
11,6,1981,18.56,7.18,0,18.61
12,6,1981,16.95,9.41,0,16.46
13,6,1981,16.04,8.51,0,15.53
14,6,1981,16.87,7.77,0,16.76
15,6,1981,17.84,5.98,0,20.36
16,6,1981,17.72,7.9,0,18.51
17,6,1981,16.73,7.84,7.51,14.99
18,6,1981,18.74,8.84,0,18.2
19,6,1981,18.95,9.97,0,18.36
20,6,1981,17.62,10.24,0,17.22
21,6,1981,17.59,8.8,0,17.17
22,6,1981,17.59,7.71,0,18.54
23,6,1981,18.76,8.42,3.3,19.09
24,6,1981,19.02,8.07,5.37,18.77
25,6,1981,16.46,8.69,13.16,14.73
26,6,1981,17.03,9.25,4.69,16.66
27,6,1981,18.14,8.22,6.06,18.6
28,6,1981,16.59,8.73,4.67,14.69
29,6,1981,18.18,8.56,5.65,17.64
30,6,1981,16.58,8.24,7.77,15.96
1,7,1981,18.17,8.44,6.97,17.23
2,7,1981,16.83,9.8,5.53,15.34
3,7,1981,15.62,9.34,0,13.79
4,7,1981,15.57,8.91,0,14.51
5,7,1981,15.53,8.94,0,14.34
6,7,1981,16.23,9.18,0,15.7
7,7,1981,17.31,9.28,0,17.58
8,7,1981,17.27,8.96,0,16.03
9,7,1981,17.07,8.82,7.98,17.31
10,7,1981,16.9,8.62,0,15.58
11,7,1981,16.03,8.73,9,15.45
12,7,1981,17.62,8.04,10.12,18.72
13,7,1981,16.03,8.4,11.36,15.61
14,7,1981,17.18,7.66,12.05,16.78
15,7,1981,16.13,9.37,0,13.58
16,7,1981,15.88,8.58,0,13.9
17,7,1981,16.35,8.54,0,15.43
18,7,1981,15.79,8.66,0,14.88
19,7,1981,17.11,9.47,0,16.09
20,7,1981,15.04,8.8,17.44,13.59
21,7,1981,16.47,8.79,0,14.39
22,7,1981,16.34,9.86,16.79,13.08
23,7,1981,16.67,9.79,0,14.4
24,7,1981,16.74,9.22,0,15.55
25,7,1981,16.81,8.27,0,17.62
26,7,1981,14.69,8.95,4.26,10.05
27,7,1981,16.86,8.33,6.27,16.8
28,7,1981,17,9.01,0,16.98
29,7,1981,17.33,9.07,6.72,18
30,7,1981,15.12,8.52,7.48,14.14
31,7,1981,16.39,7.67,13.13,16.07
1,8,1981,17.51,8.71,9.23,17.64
2,8,1981,18.16,9.02,8.5,18.64
3,8,1981,16.87,9.65,11.8,15.03
4,8,1981,17.01,9.99,0,16.08
5,8,1981,17.22,10,0,16.93
6,8,1981,16.51,9.91,25.99,13.5
7,8,1981,14.82,9.59,0,10.69
8,8,1981,16.75,9.04,0,16.69
9,8,1981,18.14,9.01,0,18.32
10,8,1981,17.44,9.54,0,17.11
11,8,1981,18.17,9.69,13.05,18.39
12,8,1981,17.45,9.66,29.5,14.06
13,8,1981,14.76,9.08,0,10.2
14,8,1981,17.75,8.76,11.17,18.07
15,8,1981,17.62,8.6,0,15.78
16,8,1981,17,8.58,0,17.45
17,8,1981,16.1,8.64,0,15.77
18,8,1981,18.44,8.01,0,22.92
19,8,1981,17.86,7.37,0,22.36
20,8,1981,16.27,8.27,0,18.36
21,8,1981,14.84,8.5,0,15.12
22,8,1981,16.51,7.88,3.23,18.62
23,8,1981,15.68,7.66,0,16.41
24,8,1981,15.08,8.56,0,14.94
25,8,1981,17.52,8.25,0,17.96
26,8,1981,17.14,7.82,6.39,17.37
27,8,1981,17.62,6.4,0,19.22
28,8,1981,18.32,5.89,0,20.26
29,8,1981,17.48,5.36,16.84,19.66
30,8,1981,18.68,5.77,0.34,21.79
31,8,1981,16.46,6.55,10.82,15.39
1,9,1981,17.16,6.49,0,19.28
2,9,1981,17.31,6.77,0,19.55
3,9,1981,16.12,7.67,0,16.55
4,9,1981,16.3,8.12,23.28,17.16
5,9,1981,16.07,7.73,0,15.88
6,9,1981,16.43,7.71,0,18.42
7,9,1981,16.64,8.45,0,17.89
8,9,1981,16.73,8.29,0,16.75
9,9,1981,17.88,8.17,0,20.07
10,9,1981,18.32,6.28,0,19.95
11,9,1981,18.07,5.82,19.11,19.87
12,9,1981,16.81,6.19,0,18.77
13,9,1981,17.35,6.17,0,20.7
14,9,1981,16.91,7.54,9.2,17.42
15,9,1981,16.53,7.76,0,16.91
16,9,1981,16.92,8.11,0,16.58
17,9,1981,16.45,8.35,0,17.77
18,9,1981,16.84,7.82,12.36,17.88
19,9,1981,17.39,7.45,30.45,18.61
20,9,1981,16.41,7.41,0,14.38
21,9,1981,19.02,7.35,0,21.98
22,9,1981,17.07,7.74,0,17.3
23,9,1981,18.8,8.22,0,19.96
24,9,1981,18.18,7.91,13.55,19.58
25,9,1981,16.63,8.74,20.26,15.72
26,9,1981,17.95,8.46,16.4,17.94
27,9,1981,17.22,7.46,16.86,17.05
28,9,1981,18.89,6.57,0,21.3
29,9,1981,18.24,6.67,0,21.08
30,9,1981,18,6.4,6.77,20.53
1,10,1981,17.24,7.12,0,17.78
2,10,1981,15.26,8.25,1.81,12.41
3,10,1981,17.65,8,7.23,17.19
4,10,1981,17.74,8.27,0,20.77
5,10,1981,18.73,7.93,6.3,22.96
6,10,1981,18.39,7.29,10.97,22.35
7,10,1981,17.62,6.21,0,20.1
8,10,1981,17.53,7.63,3.17,20.74
9,10,1981,17.41,7.51,14.94,19.22
10,10,1981,16.81,8.1,0,16.61
11,10,1981,18.29,7.96,0,19.92
12,10,1981,17.76,8.09,0,19.42
13,10,1981,15.57,8.11,0,12.66
14,10,1981,17.39,6.65,3.88,18.42
15,10,1981,17.41,5.7,11.58,20.11
16,10,1981,17.52,6.34,0.54,21.41
17,10,1981,17.65,7.34,0,19.09
18,10,1981,18,6.18,0,20.2
19,10,1981,18.22,7.08,0,21.61
20,10,1981,16.31,7.76,0,15.55
21,10,1981,17.73,6.98,0,21.86
22,10,1981,17.14,6.41,0,20.09
23,10,1981,17.98,7.61,0,20.88
24,10,1981,17.47,7.02,0,21.08
25,10,1981,17.69,8.3,0,19.13
26,10,1981,18.83,8.4,0,21.56
27,10,1981,16.7,6.93,0,17.87
28,10,1981,18.72,4.88,0,22.37
29,10,1981,19.37,5.77,0,23.65
30,10,1981,18.67,5.58,0,23.02
31,10,1981,18.11,7.03,0,21.93
1,11,1981,17.62,6.72,0,20.23
2,11,1981,17.32,7.74,10.09,18.85
3,11,1981,18.03,7.17,6.07,21.01
4,11,1981,17.39,8.06,0,19.14
5,11,1981,18.54,7.16,0,21.99
6,11,1981,18.81,7.86,0,20.79
7,11,1981,18.74,5.68,0,21.49
8,11,1981,18.13,7.31,0,19.88
9,11,1981,19.08,4.45,0,24.39
10,11,1981,18.89,4.55,0,23.09
11,11,1981,19.85,5.31,0,24.24
12,11,1981,19.64,5.3,0,23.56
13,11,1981,18.99,6.06,0,21.71
14,11,1981,18.95,5.84,0,20.19
15,11,1981,19.68,5.61,0,23.88
16,11,1981,18.84,5.37,0,21.64
17,11,1981,19.03,5.39,0,22.18
18,11,1981,19.6,5.76,0,22.88
19,11,1981,18.73,7.36,0,19.72
20,11,1981,18.95,6.73,0,20.6
21,11,1981,18.56,7.33,0,20.88
22,11,1981,17.59,7.9,1.12,18.29
23,11,1981,17.73,8.1,0,18.11
24,11,1981,17.02,6.92,0,17.21
25,11,1981,17.87,6.2,0,18.77
26,11,1981,18.51,7.48,0,20.31
27,11,1981,19.53,5.39,0,21.89
28,11,1981,19.14,4.35,0,22.13
29,11,1981,19.63,4.61,0,24.25
30,11,1981,19.52,4.41,0,22.68
1,12,1981,19.46,4.14,0,24.71
2,12,1981,19.82,4.42,0,23.21
3,12,1981,19.72,4.5,0,22.4
4,12,1981,20.03,5.68,0,24.75
5,12,1981,19.73,4.97,0,24.18
6,12,1981,18.8,5.75,0,21.27
7,12,1981,17.62,7.57,1.6,17.75
8,12,1981,19.13,5.88,0,18.84
9,12,1981,19.93,5.41,0,21.69
10,12,1981,20.01,4.38,0,24.84
11,12,1981,20.37,4.28,0,25.07
12,12,1981,20.2,4.48,0,24.52
13,12,1981,20.55,4.46,0,24.92
14,12,1981,20.3,5.05,0,23.28
15,12,1981,20.59,5.29,0,22.64
16,12,1981,19.7,6.5,0,20.87
17,12,1981,20.29,6.74,0,21.52
18,12,1981,19.07,6.98,2.19,19.18
19,12,1981,18.71,7.15,0,18.22
20,12,1981,18.63,7.68,0,17.98
21,12,1981,18.22,7.81,0,18.01
22,12,1981,19.24,6.75,0,20.32
23,12,1981,19.82,5.07,1.09,21.9
24,12,1981,20.13,4.89,0,23.13
25,12,1981,20.38,5.53,0,21.06
26,12,1981,20.23,6.56,0,19.48
27,12,1981,19.23,7.63,0,20.39
28,12,1981,19.68,7.28,0,22.2
29,12,1981,19.36,6.64,0,20.81
30,12,1981,20.28,6.45,9.67,20.93
31,12,1981,20.07,8,6.78,19.37
1,1,1982,18.28,8.46,1.21,17.92
2,1,1982,18.81,8.38,0,17.32
3,1,1982,18.31,7.88,0,19.34
4,1,1982,18.22,7.1,0,19.33
5,1,1982,18.41,7.27,20.4,20.87
6,1,1982,18.56,8.01,0,20.55
7,1,1982,19.84,5.42,0,23.57
8,1,1982,20.37,5.34,0,24.19
9,1,1982,19.78,5.49,9.05,22.94
10,1,1982,19.1,7.41,0,22.27
11,1,1982,20.05,5.7,10.21,22.78
12,1,1982,18.74,7.09,0,20.92
13,1,1982,18.36,6.97,0,20.88
14,1,1982,17.84,6.52,0,18.45
15,1,1982,17.82,5.78,0,19.73
16,1,1982,15.14,7.78,0,12.91
17,1,1982,17.23,7.55,0,16.73
18,1,1982,18.15,6.6,0,18.86
19,1,1982,17.72,4.74,0,19.59
20,1,1982,18.74,5.19,0,20.58
21,1,1982,19.28,4.94,0,22.23
22,1,1982,18.79,4.92,0,21.8
23,1,1982,19.8,4.5,0,24.36
24,1,1982,19.8,4.95,0,23.01
25,1,1982,20.02,5.33,0,22.66
26,1,1982,20.29,5.89,0,24.34
27,1,1982,20.27,5.65,0,23.64
28,1,1982,20.98,4.63,0,25.58
29,1,1982,22.12,5.31,0,25.04
30,1,1982,20.08,5.45,2,23.8
31,1,1982,20.38,5.29,0,24.66
1,2,1982,20.88,5.43,0,23.87
2,2,1982,18.42,6.32,0,20.71
3,2,1982,20.63,6.73,0,23.39
4,2,1982,19.34,7.36,0,19.99
5,2,1982,20.51,6.4,0.79,21.84
6,2,1982,19.05,7.94,0,19.61
7,2,1982,20.2,5.54,0,25.21
8,2,1982,20.85,7.29,0,25.28
9,2,1982,20.99,7.14,4.82,24
10,2,1982,20.15,6.71,0,22.32
11,2,1982,19.85,8.37,0,21.97
12,2,1982,18.65,8.05,0,18.87
13,2,1982,17.41,7.33,0,17.75
14,2,1982,17.76,6.11,0,20.37
15,2,1982,17.15,7.6,23.06,18.25
16,2,1982,17.82,5.33,15.43,20.43
17,2,1982,18.12,6.37,0,20.02
18,2,1982,18.15,7.95,0,18.22
19,2,1982,19.61,6.39,0,25.16
20,2,1982,20.24,7.14,0,26.03
21,2,1982,19.97,5.7,0,25.22
22,2,1982,20.39,5.34,0,26.42
23,2,1982,21.03,5.62,0,25.35
24,2,1982,20.06,6.02,0,23.51
25,2,1982,19.89,7.88,1.88,22.68
26,2,1982,19.68,7.95,6.78,21.26
27,2,1982,18.36,7.85,5.93,21.01
28,2,1982,19.04,6.78,0.52,22.21
1,3,1982,19.27,8.12,0,23.4
2,3,1982,19.51,8.21,0,23.38
3,3,1982,20.65,6.02,18.12,24.61
4,3,1982,18.35,7.55,0,20.33
5,3,1982,19.17,7.06,0,22.91
6,3,1982,18.71,7.26,8.02,21.69
7,3,1982,19.96,6.39,0,22.54
8,3,1982,18.71,6.4,0,22.05
9,3,1982,18.76,5.59,0,21.44
10,3,1982,20.59,6.53,0,25.05
11,3,1982,20.01,6.42,0,24.23
12,3,1982,20.69,6.55,0,27.66
13,3,1982,20.72,7.2,0,25.55
14,3,1982,21.3,6.79,2.3,25.13
15,3,1982,20.55,6.45,0,24.55
16,3,1982,20.46,6.77,0,23.53
17,3,1982,21.08,6.22,0,24.25
18,3,1982,21.19,6.18,0,24.49
19,3,1982,20.54,8.46,0,22.71
20,3,1982,21.55,7.22,0,24.95
21,3,1982,21.07,7.37,0.39,23.08
22,3,1982,20.15,6.62,0,23.07
23,3,1982,21.98,7.22,0,25.48
24,3,1982,22.83,8.19,0,27.07
25,3,1982,22.62,6.63,0,27.87
26,3,1982,22.81,6.59,0,26.98
27,3,1982,21.24,9.3,0,22.9
28,3,1982,18.99,8.32,2.61,20.02
29,3,1982,17.88,7.54,3.9,18.79
30,3,1982,18.16,8.26,15.77,19.04
31,3,1982,18.76,9.28,15.65,20.35
1,4,1982,17.23,8.79,0,14.54
2,4,1982,17.22,8.7,21.1,17.37
3,4,1982,17.14,7.95,0,20.29
4,4,1982,17.43,8.35,0,19.84
5,4,1982,19.58,8.87,0,21.77
6,4,1982,18.03,8.66,13.71,19.44
7,4,1982,18.16,9.09,2.24,18.57
8,4,1982,19,8.5,4.37,21.74
9,4,1982,19.42,8.48,0,24.37
10,4,1982,19.35,9.21,0,24.39
11,4,1982,19.11,9.06,0,22.8
12,4,1982,18.88,9.41,6.7,19.76
13,4,1982,17.39,7.38,12.64,20.03
14,4,1982,18.54,6.57,15.98,20.16
15,4,1982,18.16,6.98,8.24,20.12
16,4,1982,19.68,6.87,8.83,22.02
17,4,1982,18.19,7.75,6.92,20.02
18,4,1982,19.24,7.27,2.78,21.88
19,4,1982,19.78,6.45,4.46,21.8
20,4,1982,19.26,7.15,5.16,20.73
21,4,1982,19.79,7.15,0.7,21.09
22,4,1982,19.03,7.64,16.09,21.38
23,4,1982,19.92,7.74,0,23.46
24,4,1982,19.29,9.64,0,22.1
25,4,1982,17.69,9.18,0,18.79
26,4,1982,18.39,8.63,0,18.32
27,4,1982,17.74,7.74,8.51,20.62
28,4,1982,20.01,8.06,10.56,22.16
29,4,1982,20.47,9.77,0,21.1
30,4,1982,20.28,9.84,0,21.89
1,5,1982,19.27,9.11,0,18.1
2,5,1982,19.96,8.52,0,21.88
3,5,1982,19.27,9.74,0,22.11
4,5,1982,20.19,9.52,0,22.84
5,5,1982,19.08,9.73,0,21.7
6,5,1982,18.62,9.86,0,18.97
7,5,1982,17.84,9.46,0,18.54
8,5,1982,17.7,9.01,4.21,20.36
9,5,1982,18.16,8.27,11.39,18.7
10,5,1982,17.88,8.49,10.35,19.81
11,5,1982,16.85,6.99,5.94,17.91
12,5,1982,16.3,8.71,0,15.51
13,5,1982,17.89,8.67,0,17.87
14,5,1982,18.26,8.52,24.31,19.49
15,5,1982,17.42,8.77,18.12,18.05
16,5,1982,18.07,7.64,0,17.69
17,5,1982,18.96,8.04,0,20.47
18,5,1982,18.45,9.01,0,19.24
19,5,1982,18.85,9,0,19.81
20,5,1982,19.31,8.01,0,20.58
21,5,1982,17.88,9,0,15.17
22,5,1982,19.32,9.34,0,21.51
23,5,1982,18.65,8.1,0,20.62
24,5,1982,18.11,8.66,6,17.98
25,5,1982,19.49,8.21,5.56,20.44
26,5,1982,17.82,9.95,8.63,16.1
27,5,1982,17.31,8.15,6.77,16.19
28,5,1982,17.12,10.04,0,16.99
29,5,1982,16.29,9.41,0,14.26
30,5,1982,19.09,9.25,0,19.49
31,5,1982,18.67,9.53,0,16.67
1,6,1982,19.33,9.77,0,18.34
2,6,1982,17.23,9.53,0,16.2
3,6,1982,17.87,9.16,0,16.63
4,6,1982,17.92,8.4,0,17.7
5,6,1982,19.4,8.67,2.65,20.55
6,6,1982,17.96,8.25,0,17.05
7,6,1982,18.84,8.03,0,19.06
8,6,1982,19.02,8.26,7.14,20.33
9,6,1982,18.56,8.15,2.32,18.44
10,6,1982,18.04,8.54,0,16.88
11,6,1982,17.62,10.11,0,15.36
12,6,1982,17.56,9.76,0,14.79
13,6,1982,16.78,9.6,0,13.78
14,6,1982,15.74,8.95,3.69,14.23
15,6,1982,18.02,8.63,16.2,17.14
16,6,1982,16.6,8.57,0,15.37
17,6,1982,18.11,8.4,0,18.58
18,6,1982,16.98,8.39,0,15.07
19,6,1982,17.18,9.75,0,15.4
20,6,1982,16.21,8.68,0,15.23
21,6,1982,17.74,8.97,8.42,16.3
22,6,1982,16.59,8.57,1.5,15.64
23,6,1982,17.47,8.39,5.09,16.87
24,6,1982,17,9.21,0.12,16.44
25,6,1982,15.61,8.48,0,14.02
26,6,1982,16.4,8.74,2.95,16.42
27,6,1982,16.51,7.79,36.94,16.87
28,6,1982,15.96,8.78,0,14.43
29,6,1982,15.43,9.26,0,14.31
30,6,1982,16.61,7.21,0,17.66
1,7,1982,16.74,8.4,0,16.67
2,7,1982,16.59,7.07,11.49,17.99
3,7,1982,15.47,7.98,7.53,13.4
4,7,1982,14.69,7.2,7.4,12.74
5,7,1982,15.03,8.08,0,13.04
6,7,1982,16.48,7.75,0,16.03
7,7,1982,16.22,7.56,0,15.74
8,7,1982,16.9,7.95,0,17.46
9,7,1982,17.22,8.41,0,18
10,7,1982,15.25,8.28,0,14.1
11,7,1982,17.7,8.47,0,16.76
12,7,1982,17.24,9.58,0,17.96
13,7,1982,16.76,9.45,0,16.4
14,7,1982,15.33,8.26,0,13.19
15,7,1982,15.5,8.13,0,15.23
16,7,1982,16.64,8.8,0,16.42
17,7,1982,16.66,9.45,0,15.92
18,7,1982,16.17,9.04,14.79,14.43
19,7,1982,16.71,8.2,0,16.84
20,7,1982,15.72,7.72,0,14.39
21,7,1982,17.18,8.09,23.66,17.6
22,7,1982,15.68,9.04,17.14,11.72
23,7,1982,13.95,8.65,9.61,10.38
24,7,1982,16.57,8.81,14.22,16.86
25,7,1982,16.23,9.33,0,14.81
26,7,1982,15.84,8.76,0,15.19
27,7,1982,16.47,8.7,0,16.37
28,7,1982,16.85,8.01,11.23,16.96
29,7,1982,15.98,9.19,23.22,15.25
30,7,1982,16.94,7.91,6.25,18.86
31,7,1982,17.49,8.44,16.67,18.86
1,8,1982,16.83,7.68,0,18.24
2,8,1982,14.98,8.66,0,13.11
3,8,1982,16.38,8.93,13.33,16.63
4,8,1982,17.35,8.29,0,19.45
5,8,1982,17.25,6.69,9.82,19.39
6,8,1982,16.93,6.83,18.01,18.14
7,8,1982,16.21,8.42,0,16.21
8,8,1982,16.19,7.22,0,16.25
9,8,1982,16.42,7.3,0,16.89
10,8,1982,16.12,8.78,0,16.75
11,8,1982,16.75,9.48,12.96,15.89
12,8,1982,15.86,8.56,12.96,15.27
13,8,1982,13.93,8.42,6.16,11.14
14,8,1982,15.28,8.1,8.55,14.54
15,8,1982,14.76,8.67,2.97,13.98
16,8,1982,16.33,9.05,10.78,14.64
17,8,1982,15.64,8.9,18.17,15.02
18,8,1982,15.75,8.65,0,16.6
19,8,1982,13.92,8.66,0,11.94
20,8,1982,16.04,8.61,0,15.99
21,8,1982,16.65,9.15,0.65,16.22
22,8,1982,17.47,9.33,27.55,18.7
23,8,1982,17.15,8.67,4.78,17.27
24,8,1982,17.15,9.35,16.74,16.04
25,8,1982,16.64,9.3,0,15.28
26,8,1982,16.56,8.58,0.72,17.37
27,8,1982,17.55,9.01,0.72,18.58
28,8,1982,16.88,8.57,0,17.42
29,8,1982,16.97,8.42,0,17.78
30,8,1982,17.39,7.58,0,20.35
31,8,1982,17.64,8.37,0,20.36
1,9,1982,16.97,8.66,0,17.62
2,9,1982,17.95,5.8,0,18.88
3,9,1982,18.3,5.9,8.78,19.2
4,9,1982,17.61,6.98,21.7,17.91
5,9,1982,17.13,7.68,12.46,17.45
6,9,1982,18.12,7.44,0,21.72
7,9,1982,17.67,6.52,0,21.47
8,9,1982,18.24,6.5,0,21.52
9,9,1982,18.18,7.81,23.15,22.51
10,9,1982,17.89,6.91,0,22.71
11,9,1982,17.4,7.73,0,20.45
12,9,1982,16.8,8.08,0,19.08
13,9,1982,16.19,8.54,26.83,14.89
14,9,1982,16.36,8.61,24.6,15.5
15,9,1982,16.03,8.47,0,15.7
16,9,1982,16.86,8.58,0,17.79
17,9,1982,17.06,8.52,10.64,17.68
18,9,1982,17.54,7.6,7.6,21.54
19,9,1982,17.81,5.82,0,18.98
20,9,1982,16.9,6.99,0,17.62
21,9,1982,17.11,7.59,0,18.32
22,9,1982,17.09,8.17,0,17.1
23,9,1982,16.34,8.01,0,15.94
24,9,1982,16.8,8.01,0,19.16
25,9,1982,17.37,8.17,0,22.06
26,9,1982,18.25,5.92,0,24.92
27,9,1982,17.93,6.37,0,21.72
28,9,1982,17.5,7.28,3.82,17.52
29,9,1982,17.03,8.13,0,19.65
30,9,1982,15.91,7.77,0,16.61
1,10,1982,16.29,7.29,0,19.35
2,10,1982,16.12,8.32,0,13.97
3,10,1982,14.8,8.53,0,12.58
4,10,1982,15.87,8.22,0,18.24
5,10,1982,17.48,7.72,0,22.14
6,10,1982,17.11,6.8,0,20.28
7,10,1982,16.61,6.56,26.54,19.03
8,10,1982,16.76,7.89,7.88,18.46
9,10,1982,17.52,8.3,6.68,18.64
