day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,31.85,17.14,0,21
2,1,1981,32.45,18.51,0,20.51
3,1,1981,33.01,18.46,0,20.38
4,1,1981,31.79,20.27,0,18.77
5,1,1981,32.41,19.16,0,19.87
6,1,1981,31.08,19.87,0,18.32
7,1,1981,30.31,19.98,0,18.85
8,1,1981,31.82,18.72,0,21.12
9,1,1981,33.03,18.48,0,21.75
10,1,1981,33.54,18.2,0,21.67
11,1,1981,32.93,17.77,0,21.6
12,1,1981,32.57,17.9,0,21.19
13,1,1981,32.44,18.19,0,21.42
14,1,1981,32.32,18.63,0,21.36
15,1,1981,33.1,17.88,0,21.69
16,1,1981,33.03,18.85,0,20.84
17,1,1981,33.22,18.69,0,19.84
18,1,1981,32,20.1,0,20.29
19,1,1981,31.86,19.54,0,20.15
20,1,1981,33.05,19.29,0,20.58
21,1,1981,30.8,20.11,0,19.86
22,1,1981,31.88,20.12,0,18.54
23,1,1981,32.73,20.9,0,19.45
24,1,1981,32.78,20.14,0,20.45
25,1,1981,34.23,19.87,0,22.32
26,1,1981,33.35,19,0,22.15
27,1,1981,31.66,19.26,0,21.57
28,1,1981,31.59,19.14,0,21.33
29,1,1981,31.2,19.47,1.16,19.99
30,1,1981,31.99,20.57,0,20.18
31,1,1981,32.7,19.19,0,21.69
1,2,1981,32.98,17.57,0,23.02
2,2,1981,33.24,17.72,0,23.05
3,2,1981,33.55,16.92,0,23.25
4,2,1981,33.28,17.43,0,23.15
5,2,1981,33.21,17.97,0,22.81
6,2,1981,33.88,17.72,0,22.91
7,2,1981,33.93,19.03,0,21.7
8,2,1981,33.33,19.82,0,20.66
9,2,1981,31.33,20.1,0,18.63
10,2,1981,28.07,18.77,0,21.75
11,2,1981,30.04,16.01,0,23.12
12,2,1981,31.2,16.02,0,23.53
13,2,1981,31.87,15.62,0,24.03
14,2,1981,32.6,14.78,0,24.36
15,2,1981,32.93,15.69,0,24.06
16,2,1981,33.88,15.73,0,24.33
17,2,1981,33.95,16.26,0,24.15
18,2,1981,34.96,17.56,0,23.92
19,2,1981,35.65,17.98,0,23.96
20,2,1981,36.71,19.06,0,23.87
21,2,1981,37.41,19.37,0,23.98
22,2,1981,37.59,20.09,0,23.77
23,2,1981,37.44,20.98,0,22.95
24,2,1981,37.12,21.73,0,23.15
25,2,1981,37.29,20.55,0,23.47
26,2,1981,36.33,20.57,0,23.26
27,2,1981,35.25,23.05,0,22
28,2,1981,35.3,21.98,0,23.29
1,3,1981,36.33,20.1,0,24.38
2,3,1981,35.88,19.53,0,24.55
3,3,1981,34.45,18.97,0,24.92
4,3,1981,34.66,18.07,0,25.13
5,3,1981,34.15,18.18,0,25.02
6,3,1981,34.22,17.7,0,25.16
7,3,1981,35.26,17.99,0,25.12
8,3,1981,35.69,19.24,0,24.9
9,3,1981,35.41,22.69,0,23.19
10,3,1981,36.6,22.16,0,24.59
11,3,1981,36.35,21.97,0,23.44
12,3,1981,36.23,23.74,0,23.61
13,3,1981,34.51,24.55,0,22.9
14,3,1981,34.44,21.67,0,23.77
15,3,1981,34.69,20.7,0,25.31
16,3,1981,35.18,18.95,0,25.8
17,3,1981,35.27,18.92,0,25.76
18,3,1981,35.89,19.69,0,25.43
19,3,1981,35.86,21.03,0,24.14
20,3,1981,34.21,23.43,0,22.69
21,3,1981,34.77,22.89,0,24
22,3,1981,34.84,22.78,0,23.43
23,3,1981,35.83,21.66,0,24.89
24,3,1981,36.4,21.01,0,25.96
25,3,1981,33.26,22.26,2.36,20.24
26,3,1981,29.24,20.97,4.47,18.29
27,3,1981,31.23,20.56,0,23.32
28,3,1981,32.49,18.26,0,25.95
29,3,1981,33.29,18.46,0,25.73
30,3,1981,33.86,18.41,0,22.9
31,3,1981,34.11,19.4,0,25.99
1,4,1981,34,17.97,0,26.64
2,4,1981,34.64,17.72,0,26.72
3,4,1981,35.58,17.94,0,26.87
4,4,1981,36.07,18.72,0,25.89
5,4,1981,36.06,20.04,0,24.9
6,4,1981,35.87,21.89,0,24.55
7,4,1981,34.85,22.13,0,21.2
8,4,1981,35.38,23.76,0,19.19
9,4,1981,35.71,21.6,1.23,24.25
10,4,1981,36.49,21.47,0,26.15
11,4,1981,35.88,20.98,0,26.78
12,4,1981,35.66,20.36,0,26.01
13,4,1981,36.03,19.99,3.27,25.49
14,4,1981,36.79,20.4,0,26.58
15,4,1981,37.19,21.06,0,26.48
16,4,1981,37.42,20.91,0,27.1
17,4,1981,38.26,20.22,0,27.32
18,4,1981,37.76,22.11,0,24.73
19,4,1981,35.57,23.57,0,20.8
20,4,1981,36.14,23.36,0,22.23
21,4,1981,35.78,23.41,3.61,20.39
22,4,1981,34.03,22.35,10.93,21.91
23,4,1981,34.33,22.15,0,24.37
24,4,1981,33.78,21.51,0,23.76
25,4,1981,34.68,21.02,0,24.37
26,4,1981,36.16,21.09,0,25.72
27,4,1981,36.69,21.74,0,25.99
28,4,1981,38.14,22.19,0,26.71
29,4,1981,38.8,22.81,0,26.79
30,4,1981,36.43,23.65,0.35,23.51
1,5,1981,35.97,23.03,0,24.83
2,5,1981,36.93,23.31,0,24.46
3,5,1981,36.09,24.67,0,23.62
4,5,1981,36.82,23.91,0,23.38
5,5,1981,36.32,22.77,1.46,24.4
6,5,1981,36.36,22.64,0,24.33
7,5,1981,34.51,22.37,11.49,23.38
8,5,1981,29.96,22.46,12.32,17.55
9,5,1981,32.9,21.84,0,19.72
10,5,1981,34.36,21.84,0,21.31
11,5,1981,33.52,22.17,0.83,21.66
12,5,1981,32.21,21.41,0,19.96
13,5,1981,32,21.78,31.43,21.94
14,5,1981,33.49,22.55,10.87,21.79
15,5,1981,34.17,22.38,0,20.72
16,5,1981,32.29,21.81,1.48,22.82
17,5,1981,31.34,21.98,0,21.37
18,5,1981,30.31,21.33,12.82,21.17
19,5,1981,31.29,20.59,0,23.17
20,5,1981,29.47,21.17,1.2,20.06
21,5,1981,30.96,20.49,6.13,21.72
22,5,1981,31.69,20.83,1.04,21.91
23,5,1981,31.03,20.55,0,22.43
24,5,1981,30.03,21.29,16.92,20.56
25,5,1981,31.55,21.29,0,21.8
26,5,1981,31.89,21.72,1.14,21.54
27,5,1981,32.39,20.83,0,23.22
28,5,1981,32.99,20.7,0,23.31
29,5,1981,33.17,20.97,0,22.44
30,5,1981,33.18,22.02,0,21.09
31,5,1981,34.07,22.67,0,20.33
1,6,1981,34.26,21.66,0,22.35
2,6,1981,33.58,21.68,0,22.7
3,6,1981,30.37,21.93,0.17,18.56
4,6,1981,32.24,20.93,8.7,22.02
5,6,1981,31.08,21.17,16.02,20.58
6,6,1981,28.9,21.28,6.79,17.63
7,6,1981,30.38,20.78,0,20.77
8,6,1981,31.58,20.64,0,21.11
9,6,1981,31.93,20.35,0,22.47
10,6,1981,31.07,21.22,3.65,20.52
11,6,1981,30.6,21.91,0,20.69
12,6,1981,32.7,20.66,0,22.34
13,6,1981,30.45,21.73,18.25,19.12
14,6,1981,29.27,20.22,0,20.03
15,6,1981,28.36,20.51,9.42,19.07
16,6,1981,29.74,20.13,0,20.01
17,6,1981,30.95,20.3,0,20.39
18,6,1981,31.26,20.74,12.23,21.1
19,6,1981,31.87,21.28,2.75,20.83
20,6,1981,30.21,21.56,21.57,19.41
21,6,1981,29.85,22.03,6.92,18.58
22,6,1981,29.21,21.6,4.07,18.88
23,6,1981,30.95,20.38,8.72,20.54
24,6,1981,30.85,20.86,29.37,20.93
25,6,1981,30.85,21.31,0,21.35
26,6,1981,28.99,20.46,1.76,18.21
27,6,1981,29.25,20.11,15.85,20.42
28,6,1981,29.81,20.35,9.87,20.48
29,6,1981,28.96,20.38,4.57,19.83
30,6,1981,28.85,20.27,10.97,19.76
1,7,1981,29.21,20.29,2.55,20.05
2,7,1981,26.14,20.25,15.97,13.53
3,7,1981,27.13,20.7,15.49,16.47
4,7,1981,26.85,20.79,19.84,15.75
5,7,1981,26.85,19.61,8.12,19.2
6,7,1981,26.95,19.91,10.54,18.91
7,7,1981,25.91,20.08,5.91,14.89
8,7,1981,26.14,19.48,13.24,16.83
9,7,1981,26.82,19.63,14.94,18.5
10,7,1981,24.98,20.47,15.38,15.57
11,7,1981,25.32,19.34,13.23,15.48
12,7,1981,26.35,19.03,1.54,14.61
13,7,1981,26.06,19.44,0.73,14.33
14,7,1981,27.72,18.53,12.31,19.75
15,7,1981,27.1,19.34,10.3,18.63
16,7,1981,24.67,19.73,13.67,13.35
17,7,1981,25.5,19.97,14.81,12.66
18,7,1981,25.89,20.54,10.95,16.68
19,7,1981,25.5,20.21,12.42,14.46
20,7,1981,27.07,19.94,22.31,17.72
21,7,1981,26.86,20.03,10.54,18.63
22,7,1981,28.45,19.48,9.58,20.09
23,7,1981,26.69,19.72,15.43,17.41
24,7,1981,26.87,19.19,46.06,19.26
25,7,1981,26.19,20.08,16.34,16.56
26,7,1981,25.31,19.22,15.56,15.71
27,7,1981,26.64,18.82,5.77,19.47
28,7,1981,26.68,19.88,5.2,17.83
29,7,1981,26.44,19.12,2.23,17.36
30,7,1981,26.87,19.7,7.8,16.78
31,7,1981,27.32,20.09,7.85,18.81
1,8,1981,26.17,19.44,0.42,18.61
2,8,1981,27.43,18.96,8.01,20.42
3,8,1981,28.29,18.68,0.4,21.27
4,8,1981,28.34,19.5,10.77,22.14
5,8,1981,26.42,19.98,13.72,17.83
6,8,1981,27.12,19.7,3.87,18.08
7,8,1981,28.28,19.43,53.61,19.87
8,8,1981,26.55,20.23,7.49,17.52
9,8,1981,26.59,20.15,3.73,19.07
10,8,1981,27.48,19.02,0.6,20.28
11,8,1981,28.15,19.31,23.92,19.74
12,8,1981,28.22,19.38,20.69,20.39
13,8,1981,27.93,19.52,16.88,20.32
14,8,1981,26.69,20.04,0,18.27
15,8,1981,28.05,19.75,6.27,20.09
16,8,1981,28.41,19.71,13.94,20.66
17,8,1981,27.59,19.3,8.01,19.32
18,8,1981,26.22,19.65,5.43,16.99
19,8,1981,27.03,19.78,16.2,16.83
20,8,1981,26.84,19.05,45.64,17.66
21,8,1981,25.74,20.13,38.93,15.61
22,8,1981,26.24,19.63,65.44,18.3
23,8,1981,27.27,18.85,1.2,20.89
24,8,1981,27.15,18.82,0.88,17.98
25,8,1981,26.07,20.5,3.47,17.19
26,8,1981,27.63,18.88,6.3,20.61
27,8,1981,28.36,20.16,9.61,20.7
28,8,1981,28.26,19.18,15.44,21.01
29,8,1981,27.84,18.8,3.72,21.93
30,8,1981,28.14,19.26,10.66,21.99
31,8,1981,26.98,19.34,15.35,18.99
1,9,1981,27.26,19.67,33.88,18.49
2,9,1981,27.91,19.44,8.77,20.88
3,9,1981,27.97,18.97,1.04,20.68
4,9,1981,27.23,19.37,0,19.84
5,9,1981,26.31,19.34,4.3,17.78
6,9,1981,28.25,18.91,7.63,21.37
7,9,1981,26.37,19.44,5.54,19.43
8,9,1981,25.64,19.52,14.31,17.85
9,9,1981,27.66,18.87,5.15,19.54
10,9,1981,27.58,18.96,7.41,21.01
11,9,1981,27.99,18.86,13.25,21.72
12,9,1981,26.96,20.1,14.46,18.47
13,9,1981,27.47,19.25,7.39,19.55
14,9,1981,28.53,18.9,6.94,21.81
15,9,1981,28.81,19.01,14.88,22.9
16,9,1981,27.83,19.99,6.56,20.58
17,9,1981,27.82,19.66,7.92,19.36
18,9,1981,27.27,19.95,8.1,17.8
19,9,1981,26.98,19.54,15.15,17.6
20,9,1981,26.81,19.3,10.45,18.68
21,9,1981,28.58,18.31,16.84,21.8
22,9,1981,29.23,19.79,1.38,21.23
23,9,1981,29.01,19.27,16.38,21.79
24,9,1981,28.03,19.99,16.9,19.49
25,9,1981,27.56,20.19,15.08,18.04
26,9,1981,27.51,19.71,6.73,18.79
27,9,1981,28.73,18.68,6.02,21.75
28,9,1981,28.78,18.73,1.11,21.72
29,9,1981,29.08,18.65,0,21.67
30,9,1981,29.17,18.88,0,22.71
1,10,1981,29.5,18.36,0,21.57
2,10,1981,28.28,19.78,0,19.82
3,10,1981,28.74,19.73,2.96,20.33
4,10,1981,28.24,20.37,12.66,18.25
5,10,1981,26.83,20.24,12.67,15.97
6,10,1981,28.3,19.87,20.81,19.16
7,10,1981,28.72,18.94,5.93,19.97
8,10,1981,30.36,19.3,2.89,20.37
9,10,1981,25.58,19.78,5.97,12.6
10,10,1981,28.29,19.08,1.21,20.14
11,10,1981,28.46,19.72,0,20.74
12,10,1981,28.7,19.43,0,21.01
13,10,1981,28.81,19.15,0,21.47
14,10,1981,28.92,19.3,0,20.4
15,10,1981,29.83,18.71,0,21.11
16,10,1981,30.21,18.41,0,21.96
17,10,1981,30.62,18.86,0,22.49
18,10,1981,30.51,18.48,0,22.52
19,10,1981,30.71,17.94,0,23.11
20,10,1981,30.04,17.68,0,22.29
21,10,1981,29.29,17.56,0,22.23
22,10,1981,29.29,17.9,0,21.33
23,10,1981,30.07,18.32,0,21.29
24,10,1981,30.2,18.8,0,20.84
25,10,1981,30.79,18.16,0,19.75
26,10,1981,29.63,19.87,0,21.15
27,10,1981,30.37,18.37,0,22.23
28,10,1981,30.56,18.22,0,21.87
29,10,1981,30.55,18.28,0,21.4
30,10,1981,31.1,18.77,0,21.61
31,10,1981,30.95,18.67,0,21.49
1,11,1981,29.85,18.84,0,21.13
2,11,1981,29.16,19.23,7.15,19.35
3,11,1981,28.16,18.91,2.05,19.67
4,11,1981,28.02,19.32,0,19.6
5,11,1981,29.21,17.99,0,21.35
6,11,1981,30.2,18.58,0,21.15
7,11,1981,31.29,18.93,0,22.21
8,11,1981,31.07,19.44,0,21.17
9,11,1981,31.57,18.73,0,22.13
10,11,1981,31.04,19.1,0,21.25
11,11,1981,31.46,18.75,0,22.03
12,11,1981,31.71,18.58,0,21.92
13,11,1981,32.32,18.19,0,22.23
14,11,1981,32.53,17.44,0,22.54
15,11,1981,32.36,17.74,0,22.36
16,11,1981,31.98,17.72,0,22.25
17,11,1981,31.93,17.4,0,22.16
18,11,1981,31.56,17.51,0,21.63
19,11,1981,31.76,18.27,0,21.59
20,11,1981,31.2,18.1,0,21.04
21,11,1981,30.73,17.79,0,20.7
22,11,1981,30.07,18.75,0,20.07
23,11,1981,29.89,19.96,0,18.75
24,11,1981,29.27,20.21,0,18.48
25,11,1981,30.28,19.54,0,19.49
26,11,1981,30.65,19.26,0,19.8
27,11,1981,29.96,19.71,0,18.6
28,11,1981,29.5,19.16,0,18.82
29,11,1981,29.22,19.19,0,18.54
30,11,1981,30.98,18.21,0,21.41
1,12,1981,32.16,16.85,0,21.59
2,12,1981,32.45,17.69,0,21.62
3,12,1981,32.45,16.82,0,21.63
4,12,1981,32.18,16.73,0,21.48
5,12,1981,32.33,16.98,0,21.39
6,12,1981,32.42,16.57,0,21.46
7,12,1981,33.17,17.14,0,21.41
8,12,1981,33.77,18.17,0,21.45
9,12,1981,33.3,17.48,0,21.36
10,12,1981,32.77,17.91,0,21.29
11,12,1981,31.88,16.96,0,21.21
12,12,1981,31.69,16.45,0,21.2
13,12,1981,32.17,16.47,0,21.29
14,12,1981,32.49,16.25,0,21.19
15,12,1981,31.64,16,0,21.07
16,12,1981,31.63,16.85,0,21.01
17,12,1981,31.52,16.89,0,21
18,12,1981,31.94,16.67,0,20.4
19,12,1981,31.76,17.07,0,20.47
20,12,1981,31.16,18.2,0,20.26
21,12,1981,31.4,18.64,0,20.01
22,12,1981,32.11,18.1,0,20.28
23,12,1981,32.61,18.64,0,19.56
24,12,1981,33.17,19.85,0,20.64
25,12,1981,32.51,18.45,0,20.43
26,12,1981,32.7,18.75,0,20.25
27,12,1981,32.12,18.78,0,19.67
28,12,1981,32.29,18.96,0,19.37
29,12,1981,31.85,19.14,0,19.61
30,12,1981,32.4,17.99,0,21.08
31,12,1981,32.1,17.57,0,21.29
1,1,1982,32.09,17.54,0,20.85
2,1,1982,31.69,18.24,0,19.87
3,1,1982,31.74,18.47,0,19.57
4,1,1982,31.19,19.58,0,20.33
5,1,1982,30.72,17.72,0,20.9
6,1,1982,31.6,17.67,0,19.81
7,1,1982,32.16,18.07,0,19.78
8,1,1982,31.78,19.62,0,19.43
9,1,1982,31.93,19.17,0,19.46
10,1,1982,31.35,19.05,0.18,19.43
11,1,1982,31.49,19.16,0,19.53
12,1,1982,31.5,18.56,0,21.42
13,1,1982,31.1,17.21,0,21.87
14,1,1982,30.75,15.87,0,21.97
15,1,1982,31.81,15.6,0,22.18
16,1,1982,31.93,16.11,0,21.99
17,1,1982,32.11,16.73,0,22.03
18,1,1982,32.37,17.11,0,22
19,1,1982,33.68,17.42,0,22.26
20,1,1982,33.95,16.93,0,22.23
21,1,1982,33.88,17.3,0,22.25
22,1,1982,33.86,17.23,0,22.3
23,1,1982,34.64,17.64,0,22.3
24,1,1982,35.19,18.79,0,22.15
25,1,1982,34.97,19.91,0,20.52
26,1,1982,35.77,20.02,0,22.22
27,1,1982,35.34,20.12,0,21.92
28,1,1982,34.88,20.09,0,21.72
29,1,1982,35.43,19.91,0,21.9
30,1,1982,35.25,20.08,0,20.81
31,1,1982,32.6,20.14,0,21.27
1,2,1982,32.08,19.76,0,20.42
2,2,1982,31.73,19.56,0,21
3,2,1982,31.83,19.13,0,21.05
4,2,1982,32.76,18.92,0,22.54
5,2,1982,31.39,17.49,0,21.49
6,2,1982,31.34,20.2,0,20.98
7,2,1982,30.77,19.64,0.13,20.45
8,2,1982,27.08,17.42,0,18.76
9,2,1982,27.9,14.91,0,22.68
10,2,1982,30.75,15.45,0,22.86
11,2,1982,31.22,16.61,0,22.89
12,2,1982,30.79,17.59,0,22.31
13,2,1982,29.52,18.9,0,23.2
14,2,1982,30.56,15.7,0,23.44
15,2,1982,30.92,15.65,0,23.54
16,2,1982,30.94,15.94,0,23.46
17,2,1982,32.02,16.09,0,23.76
18,2,1982,33.45,16.47,0,23.9
19,2,1982,34.32,17.06,0,23.57
20,2,1982,34.21,17.84,0,23.75
21,2,1982,34.59,18.35,0,22.97
22,2,1982,34.38,21.01,0.49,21.2
23,2,1982,35.5,20.24,0,22.13
24,2,1982,35.79,20.69,0,22.53
25,2,1982,35.56,20.07,0,24.05
26,2,1982,35.87,19.37,0,24.23
27,2,1982,36.58,20.49,0,24.32
28,2,1982,37.48,20.98,0,24.32
1,3,1982,35.45,21.57,0,23.73
2,3,1982,29.8,21.43,0.33,17.8
3,3,1982,31.16,20.4,0.93,21.02
4,3,1982,32.78,21.17,0,22.24
5,3,1982,31.22,21.49,0,18.83
6,3,1982,31.91,21.13,0,19.84
7,3,1982,33.07,20.1,0,22.12
8,3,1982,33.78,20.3,0,22.57
9,3,1982,34.22,19.44,0,21.98
10,3,1982,35.09,21.14,0,23.11
11,3,1982,35.69,20.52,0,23.1
12,3,1982,34.53,20.83,0,21.27
13,3,1982,34.65,20.96,0.52,22.49
14,3,1982,34.67,20.61,0,22.81
15,3,1982,34.92,20.19,0.84,22.95
16,3,1982,35.62,21.45,0,22.99
17,3,1982,36.66,20.86,0,24.27
18,3,1982,36.9,21.16,0,25.1
19,3,1982,37.1,20.97,0,25.01
20,3,1982,37.14,21.05,0,25.15
21,3,1982,37.47,21.89,0,25.71
22,3,1982,37.05,21.28,0,24.42
23,3,1982,37.3,22.15,0,23.62
24,3,1982,38.42,22.5,0,25.25
25,3,1982,38.31,23.91,0,23.32
26,3,1982,37.97,23.67,0,24.53
27,3,1982,36.16,22.36,0,25.52
28,3,1982,33.56,20.61,0,25.94
29,3,1982,32.73,18.69,0,26.21
30,3,1982,32.39,18.32,0,26.28
31,3,1982,33.76,18.04,0,26.7
1,4,1982,34.2,17.35,0,26.89
2,4,1982,34.79,17.34,0,26.86
3,4,1982,35.98,18.5,0,26.51
4,4,1982,36.2,20.52,0,25.2
5,4,1982,36.32,23.31,0,25.45
6,4,1982,36.1,21.07,0,26.6
7,4,1982,36.63,20.2,0,26.32
8,4,1982,36.14,21.7,0,24.02
9,4,1982,36.09,22.93,1.43,22.17
10,4,1982,35.56,23.33,0,21.69
11,4,1982,34.77,23.3,0,22.35
12,4,1982,35.74,22.91,0,24.8
13,4,1982,36.11,19.89,0,27.21
14,4,1982,36.25,18.96,0,27.3
15,4,1982,35.77,19.35,0,27.24
16,4,1982,35.56,18.46,0,27.44
17,4,1982,35.89,17.39,0,27.71
18,4,1982,36.61,18.63,0,27.4
19,4,1982,37.58,21.01,0,27.02
20,4,1982,37.4,21.11,0,26.93
21,4,1982,36.91,22.04,0,25.98
22,4,1982,37.86,22.66,0,26.1
23,4,1982,37.14,22.68,0,24.55
24,4,1982,38.35,22.68,0,25.83
25,4,1982,33.98,22.61,7.4,22.58
26,4,1982,32.06,21.56,12.79,22.46
27,4,1982,33.16,21.69,15.4,22.98
28,4,1982,33.58,20.86,0,23.69
29,4,1982,35.32,21.81,0,24.32
30,4,1982,34.29,22.49,0,21.92
1,5,1982,37.5,22.01,0,25.22
2,5,1982,38.11,22.74,0,25.21
3,5,1982,36.57,22.94,0,23.19
4,5,1982,32.83,22.69,25.27,22.25
5,5,1982,32.06,22.14,8.38,21.2
6,5,1982,30.02,22.36,0,17.53
7,5,1982,27.19,21.27,4.39,14.37
8,5,1982,29.44,20.59,0,19.3
9,5,1982,30.75,21.35,0,22.23
10,5,1982,31.75,18.53,0,25.46
11,5,1982,32.57,17.6,0,26.63
12,5,1982,32.87,17.74,0,26.19
13,5,1982,34,18.69,0.75,26.12
14,5,1982,35.03,18.54,0,25.88
15,5,1982,34.95,19.23,0,23.85
16,5,1982,34.56,23.01,0,21.06
17,5,1982,34.79,21.89,0,21.56
18,5,1982,36.01,22.39,0,22.59
19,5,1982,35.7,22.64,0,23.55
20,5,1982,36.03,22.66,0,22.57
21,5,1982,35.57,22.53,0,22.35
22,5,1982,34.39,23.58,0.38,21.35
23,5,1982,34.7,23.72,0,22.29
24,5,1982,34.47,22.65,8.99,21.77
25,5,1982,35.17,23.82,2.13,23.11
26,5,1982,34.26,23.11,0,22.19
27,5,1982,32.79,22.62,0,20.87
28,5,1982,29.96,21.74,2.99,17.98
29,5,1982,28.92,20.72,43.87,20.66
30,5,1982,28.86,20.56,1.83,19.82
31,5,1982,30.33,21.12,0,20.47
1,6,1982,31.18,21.27,0.71,20.99
2,6,1982,28.17,20.98,2.54,17.23
3,6,1982,29.28,19.95,10.41,19.2
4,6,1982,30.72,19.64,0,22.57
5,6,1982,30.01,20.51,0,21.16
6,6,1982,29.92,20.08,0,20.65
7,6,1982,30,20.04,0,21.53
8,6,1982,31,19.49,5.98,22.43
9,6,1982,31.74,19.23,0,23.02
10,6,1982,31.7,20.1,0,22.31
11,6,1982,31.98,20.02,0,21.61
12,6,1982,30.99,20.88,0,20.56
13,6,1982,31.31,20.81,23.5,20.4
14,6,1982,31.36,20.44,1.67,21.16
15,6,1982,30.5,20.51,1.37,20.67
16,6,1982,29.42,20.74,0.1,18.94
17,6,1982,29.97,20.54,7.22,19.92
18,6,1982,30.86,21.42,27.64,18.47
19,6,1982,30.52,20.93,10.02,19.29
20,6,1982,28.67,21.13,0,17.18
21,6,1982,29.62,20.3,0,19.74
22,6,1982,29.82,20.25,0,20.5
23,6,1982,29.3,19.81,0,21.08
24,6,1982,29.55,20.1,0,21.06
25,6,1982,29.9,21.49,14.02,20.64
26,6,1982,28.74,21.25,0,17.63
27,6,1982,29.05,19.98,0,19.38
28,6,1982,28.2,20.15,6.29,18.31
29,6,1982,28.84,20.96,4.78,18.87
30,6,1982,26.52,20.39,7.19,16.62
1,7,1982,27.99,20.02,7.83,18.77
2,7,1982,27.24,20.69,4.75,17.03
3,7,1982,27.28,19.77,8.67,18.54
4,7,1982,28.64,20.51,1.44,20.27
5,7,1982,27.1,20.25,7.29,19.12
6,7,1982,27.5,19.86,0,18.82
7,7,1982,27.3,19.47,0,18.55
8,7,1982,28.64,19.22,0,20.63
9,7,1982,28.65,20.17,0,20.73
10,7,1982,28.1,20.02,0,17.28
11,7,1982,29.2,19.15,0,21.01
12,7,1982,29.38,19.34,0,20.58
13,7,1982,28.23,19.51,12.35,19.81
14,7,1982,26.88,19.34,9.11,17.57
15,7,1982,27.15,19.04,4.85,19.3
16,7,1982,25.97,19.61,12.64,16.24
17,7,1982,26.55,20.1,12.39,17.32
18,7,1982,27.78,19.29,27.92,19.66
19,7,1982,27.37,20.28,4.01,19.33
20,7,1982,27.51,18.99,12.64,19.18
21,7,1982,27.35,19.09,11.75,19.42
22,7,1982,26.93,19.78,18.98,15.83
23,7,1982,26.51,19.49,0,17.97
24,7,1982,26.28,19.81,7.72,18.56
25,7,1982,27.84,19.85,29.42,18.9
26,7,1982,26.08,19.83,5.32,15.05
27,7,1982,26.22,19.95,15.66,15.43
28,7,1982,25.3,19.66,7.14,15.38
29,7,1982,25.39,19.4,10.68,12.72
30,7,1982,23.89,20.24,8.12,10.26
31,7,1982,25.58,19.42,3.83,15.9
1,8,1982,26.22,18.79,10.82,18.65
2,8,1982,26.56,18.14,5.76,17.85
3,8,1982,25.17,19.41,1.55,13.45
4,8,1982,25.19,19.38,14.69,15.67
5,8,1982,26.38,19.46,4.18,18.68
6,8,1982,27.05,19.32,0,19.39
7,8,1982,26.85,18.73,3.51,18.66
8,8,1982,25.81,19.74,17.66,14.54
9,8,1982,26.51,18.63,14.73,19.74
10,8,1982,26.84,19.53,19.4,20.21
11,8,1982,26.1,19.85,14.61,18.03
12,8,1982,26.27,19.97,25.2,17.22
13,8,1982,26.6,19.92,2.37,17.49
14,8,1982,25.24,19.73,14.07,15.11
15,8,1982,25.84,19.22,15.5,17.55
16,8,1982,25.29,20.56,12.02,14.93
17,8,1982,25.33,19.69,6.28,15.85
18,8,1982,26.96,18.75,18.19,18.98
19,8,1982,26.18,19.17,0,16.37
20,8,1982,26.43,19.62,18.49,18.68
21,8,1982,25.71,18.91,12.5,18.04
22,8,1982,27.36,18.99,12.98,20.49
23,8,1982,28.26,19.68,2.48,20.04
24,8,1982,27.04,20.01,18.79,18.48
25,8,1982,27.86,18.93,20.74,20.14
26,8,1982,27.01,19.16,0,18.65
27,8,1982,27.58,19.03,16,19.83
28,8,1982,27.88,18.79,11.24,20.88
29,8,1982,29,19.09,1.59,21.48
30,8,1982,29.04,18.75,0,22.09
31,8,1982,26.63,19.84,8.38,17.75
1,9,1982,27.55,19.73,30.86,19.19
2,9,1982,28.71,19.05,21.77,20.88
3,9,1982,28.58,19.56,9.23,19.11
4,9,1982,29.13,19.28,16.22,21.41
5,9,1982,28.29,20.09,0,18.99
6,9,1982,26.37,20.17,15.32,13.44
7,9,1982,27.66,19.38,26.64,19.94
8,9,1982,27.01,19.67,13.93,18.95
9,9,1982,25.65,19.39,0,15.38
10,9,1982,28.45,17.89,6.66,20.75
11,9,1982,28.97,18.4,6.48,21.99
12,9,1982,28.79,18.76,6.02,20.97
13,9,1982,28.04,19.15,5.68,21.04
14,9,1982,27.94,18.83,1.13,19.32
15,9,1982,26.75,19.96,9.89,18.45
16,9,1982,27.81,19.64,1.3,20.71
17,9,1982,27.47,19.68,5.88,19.68
18,9,1982,27.83,19.26,2.95,19
19,9,1982,28.08,19.56,5.13,20.67
20,9,1982,27.77,18.65,1.42,21.02
21,9,1982,27.86,18.29,3.01,20.34
22,9,1982,27.59,18.84,8.5,19.7
23,9,1982,27.42,19.28,18.67,16.31
24,9,1982,27.1,19.69,18.43,17.52
25,9,1982,27.47,19.47,2.74,17.53
26,9,1982,27.31,19.36,6.75,19.06
27,9,1982,28.05,18.64,0,20
28,9,1982,28.94,18.07,0.73,21.72
29,9,1982,28.85,18.69,0,21.1
30,9,1982,27.74,19.17,8,19.35
1,10,1982,27.73,19.61,1.53,18.57
2,10,1982,26.65,18.87,0,17.85
3,10,1982,27.59,19.7,10.84,19.51
4,10,1982,25.51,19.71,9.65,13.84
5,10,1982,27.38,19.11,11.49,18.53
