day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,33.94,21.22,0,20.4
2,1,1981,34.7,21.99,0,20.96
3,1,1981,34.57,22.94,0,19.89
4,1,1981,34.17,23.37,0,20.53
5,1,1981,33.78,21.54,0,20.6
6,1,1981,33.39,21.86,0,20.43
7,1,1981,33.06,22.09,0,20.57
8,1,1981,34,21.82,0,21.13
9,1,1981,34.55,22.97,0,19.39
10,1,1981,34.83,22.64,0,20.42
11,1,1981,34.59,22.43,0,21.34
12,1,1981,33.96,22.11,0,21.79
13,1,1981,34.19,22.67,0,21.52
14,1,1981,34.17,22.35,0,21.59
15,1,1981,34.89,21.84,0,21.6
16,1,1981,35.1,22.52,0,21.86
17,1,1981,35.43,22.76,0,21.65
18,1,1981,34.62,22.76,0,21.9
19,1,1981,34.15,22.08,0,22.09
20,1,1981,34.59,22.16,0,21.43
21,1,1981,32.99,22.04,0,19.49
22,1,1981,34.83,22.71,0,20.28
23,1,1981,35.28,22.56,0,19.23
24,1,1981,35.22,22.82,0,20.07
25,1,1981,34.53,23.19,0,18.24
26,1,1981,34.73,22.85,0,21.17
27,1,1981,33.37,22.18,0,21.88
28,1,1981,33.59,21.06,0,22.09
29,1,1981,33.7,21.81,0.01,21.5
30,1,1981,34.09,22.62,0.03,21.28
31,1,1981,34.07,22.28,0,22.15
1,2,1981,33.98,22.45,0,21.55
2,2,1981,34.44,22.23,0,22.47
3,2,1981,34.89,22.2,0,22.94
4,2,1981,34.72,21.74,0,23.07
5,2,1981,35.17,21.51,0,22.98
6,2,1981,35.42,21.75,0,22.98
7,2,1981,35.63,21.9,0,22.65
8,2,1981,35.46,22.82,0,22.01
9,2,1981,34.19,23.08,0,21.63
10,2,1981,30.95,20.45,0,23.05
11,2,1981,32.2,19.49,0,23.05
12,2,1981,33.7,19.74,0,23.36
13,2,1981,34.45,20.57,0,23.46
14,2,1981,35.09,20.55,0,23.67
15,2,1981,35.23,21.14,0,23.48
16,2,1981,35.44,21.11,0,23.64
17,2,1981,35.72,21.39,0,23.6
18,2,1981,35.95,22.33,0,23.53
19,2,1981,36.76,22.35,0,23.59
20,2,1981,36.99,21.97,0,23.55
21,2,1981,37.58,22.63,0,23.65
22,2,1981,37.46,22.96,0,23.3
23,2,1981,38,24.71,0,22.7
24,2,1981,37.95,24.78,0,23
25,2,1981,37.28,24.71,0,22.36
26,2,1981,36.34,23.66,0,23
27,2,1981,36,22.91,0,22.54
28,2,1981,36.93,23.3,0,22.85
1,3,1981,37.2,24.37,0,23.42
2,3,1981,36.95,24.26,0,23.8
3,3,1981,35.81,23.13,0,24.19
4,3,1981,36.08,22.49,0,24.25
5,3,1981,36.01,22.96,0,24.28
6,3,1981,36.11,23.57,0,24.34
7,3,1981,36.46,23.07,0,24.5
8,3,1981,36.74,22.48,0,24.44
9,3,1981,35.42,23.75,0,18.78
10,3,1981,36.15,23.9,0,20.43
11,3,1981,36.86,23.37,0,24.25
12,3,1981,34.08,25.14,0,21.08
13,3,1981,35.5,23.7,0.86,23.91
14,3,1981,35.2,22.94,0,22.92
15,3,1981,35.86,22.76,0,24.55
16,3,1981,35.75,21.38,0,24.79
17,3,1981,35.55,22.13,0,24.25
18,3,1981,36.45,22.78,0,24.42
19,3,1981,34.58,24,0,21.05
20,3,1981,34.33,24.28,0,20.06
21,3,1981,34.11,23.62,0,20.23
22,3,1981,34.85,24.27,0,20.26
23,3,1981,33.87,23.49,0,20.08
24,3,1981,34.03,23.31,0,20.92
25,3,1981,30.57,23.44,2.67,18.37
26,3,1981,28.29,21.88,8.26,13.71
27,3,1981,32.03,20.61,2.79,24.26
28,3,1981,32.78,20.11,0,24.08
29,3,1981,33.74,21.27,0,24.16
30,3,1981,35.05,22.53,0,24.49
31,3,1981,35,23.31,0,24.34
1,4,1981,35.13,22.43,0,24.47
2,4,1981,35.63,22.37,0,25.43
3,4,1981,36.09,22.75,0,25.5
4,4,1981,36.36,22.4,0,25.58
5,4,1981,36.34,21.17,0,25.66
6,4,1981,35.67,21.41,0,24.95
7,4,1981,35.92,22.72,0,25
8,4,1981,36.43,22.44,0,25.59
9,4,1981,36.25,22,0,25.54
10,4,1981,36.27,22.14,0,25.37
11,4,1981,35.96,22.25,0,25.53
12,4,1981,35.42,21.32,0,24.74
13,4,1981,35.72,21.31,0,25.71
14,4,1981,36.17,21.85,0,25.45
15,4,1981,36.59,22.38,0,25.53
16,4,1981,36.97,23.22,0,25.71
17,4,1981,37.14,22.59,0,25.78
18,4,1981,36.53,22.86,0,24.73
19,4,1981,34.8,24.7,0,23.01
20,4,1981,36.18,23.91,0,22.86
21,4,1981,34.68,23.6,0,21.54
22,4,1981,32.48,23.29,6.95,21.24
23,4,1981,32.51,22.68,0,22.11
24,4,1981,31.67,21.77,3.06,22.6
25,4,1981,32.84,23.04,3.25,23.24
26,4,1981,32.94,22.74,0,21.64
27,4,1981,33.81,23.4,0,23.46
28,4,1981,35.05,24.15,0,22.52
29,4,1981,34.82,24.3,0,22.26
30,4,1981,33.76,23.94,3.88,21.65
1,5,1981,32.14,23.31,0,21.79
2,5,1981,34,23.59,0,21.91
3,5,1981,34.62,23.94,0,22.15
4,5,1981,33.38,23.9,0,20.85
5,5,1981,32.04,23.62,2.37,21.06
6,5,1981,34.42,23.26,8.24,22.19
7,5,1981,31.13,22.18,13.14,20.79
8,5,1981,30.01,22.4,0,20.31
9,5,1981,31.93,21.93,0,22.09
10,5,1981,29.84,22.16,0,15.31
11,5,1981,30.53,21.29,0,20.59
12,5,1981,28.94,22.98,0,18.97
13,5,1981,30.94,21.88,0,22.34
14,5,1981,30.51,22.91,0,19.16
15,5,1981,29.81,22.32,17.78,17.56
16,5,1981,30.74,22.34,7.26,20.97
17,5,1981,30.23,22.16,19.57,20.11
18,5,1981,30.56,22.13,0,19.8
19,5,1981,30.92,21.88,3.4,21.05
20,5,1981,29.48,21.76,12.07,18.02
21,5,1981,31.07,21.51,0,20.97
22,5,1981,30.31,22.39,16.35,20.7
23,5,1981,29.74,21.91,2.31,19.57
24,5,1981,30.33,22.07,17.06,20.27
25,5,1981,30.56,22.05,1.47,21.02
26,5,1981,30.93,22.24,7.72,21.06
27,5,1981,31.71,21.42,0,22.31
28,5,1981,32.62,22.26,0,22.47
29,5,1981,32.58,23.18,0,22.42
30,5,1981,32.75,23.88,0,21.56
31,5,1981,31.4,23.55,0,19.4
1,6,1981,31.67,22.62,0,21.11
2,6,1981,32.48,22.45,0,21.16
3,6,1981,27.94,21.75,18.51,16.98
4,6,1981,30.68,21.31,4.6,21.21
5,6,1981,29.99,21.88,0,19.57
6,6,1981,30.05,21.77,0,19.13
7,6,1981,30.94,21.84,10.74,21.07
8,6,1981,31.66,21.95,0,20.62
9,6,1981,29.66,21.59,5.02,17.55
10,6,1981,28.51,21.95,0,18.13
11,6,1981,29.41,20.9,0,21.09
12,6,1981,29.69,21.91,19.65,19.77
13,6,1981,28.53,21.26,0.83,18.26
14,6,1981,29.93,20.63,11.59,20.5
15,6,1981,30.37,21.33,14.08,19.32
16,6,1981,29.88,21.35,15.93,20.2
17,6,1981,30.12,21.9,0,18.53
18,6,1981,31.43,21.43,3.95,20.67
19,6,1981,29.72,22.16,2.04,19.24
20,6,1981,30.07,21.58,0,19.67
21,6,1981,28.45,21.51,0,18.07
22,6,1981,29.19,20.66,1.17,20.59
23,6,1981,30.88,20.96,1.93,21.05
24,6,1981,30.47,21.85,3.83,19.68
25,6,1981,27.11,20.94,15.81,18.1
26,6,1981,27.35,20.47,0,17.64
27,6,1981,27.94,20.03,7.76,20.89
28,6,1981,28.12,20.61,0.61,19.01
29,6,1981,27.14,21.2,0,14.52
30,6,1981,29.22,20.15,8.95,20.87
1,7,1981,28.08,20.41,0,18
2,7,1981,28.36,20.44,4.95,19.66
3,7,1981,28.13,20.66,0,20.45
4,7,1981,25.73,20.87,7.4,12.41
5,7,1981,27.55,20.62,0,18.44
6,7,1981,29.08,20.47,0,19.73
7,7,1981,26.37,20.57,0,14.34
8,7,1981,27.88,19.75,1.42,18.63
9,7,1981,28.19,19.85,6.34,20.08
10,7,1981,26.43,20.54,0,15.55
11,7,1981,25.39,19.94,0,15.44
12,7,1981,27.99,18.93,7.89,20.71
13,7,1981,28.87,19.92,29.16,20.78
14,7,1981,28.88,20.6,3.71,19.63
15,7,1981,27.6,20.48,8.76,20.64
16,7,1981,26.87,20.43,3.91,18.04
17,7,1981,24.35,19.83,19.68,12.25
18,7,1981,26.21,19.72,20.3,18.48
19,7,1981,26.26,20.17,3.08,16.99
20,7,1981,27.15,19.87,10.1,19.38
21,7,1981,26.76,20.19,16.73,19.19
22,7,1981,27.23,19.75,10.8,20.11
23,7,1981,26.26,20.81,15.22,17.45
24,7,1981,26.58,20,18.03,17.1
25,7,1981,26.2,20.1,13.78,17.12
26,7,1981,26.75,19.25,7.64,21.44
27,7,1981,26.84,19.9,6.33,19.59
28,7,1981,26.11,20.29,6.25,18.6
29,7,1981,27.26,19.72,0,21.92
30,7,1981,27.41,19.91,0.63,20
31,7,1981,25.98,19.88,53.9,18.44
1,8,1981,27.01,19.75,3.38,20.7
2,8,1981,28.22,19.72,6.65,21.5
3,8,1981,28.33,20.53,9.97,20.07
4,8,1981,27.35,20.88,23.66,17.37
5,8,1981,26.95,20.46,0.39,20.35
6,8,1981,27.06,20.37,4.3,19.28
7,8,1981,27.48,20.66,16.54,19.94
8,8,1981,24.05,19.88,4.3,11.44
9,8,1981,26.76,19.07,7.28,18.49
10,8,1981,27.77,19.76,8.34,20.87
11,8,1981,28.58,20.63,7.38,21.25
12,8,1981,27.79,20.59,2.82,19.79
13,8,1981,27.53,19.78,5.54,20.52
14,8,1981,26.36,19.93,7.96,15.59
15,8,1981,27.13,19.4,0,16.68
16,8,1981,28.01,20.42,12.12,18.77
17,8,1981,26.83,20.52,11.07,18.07
18,8,1981,27.22,20.25,12.36,19.42
19,8,1981,27.51,20.06,3.33,18.26
20,8,1981,27.16,19.92,8.56,19.62
21,8,1981,26.28,20,11.11,16.87
22,8,1981,28.04,19.66,6.33,19.73
23,8,1981,29,19.35,1.57,21.54
24,8,1981,27.52,20.2,8,18.62
25,8,1981,27.26,19.99,15.43,19.39
26,8,1981,27.26,19.66,35.86,19.92
27,8,1981,28.34,19.57,14.21,22.04
28,8,1981,28.29,20.99,18.02,21.17
29,8,1981,27.9,20.33,6.63,20.14
30,8,1981,27.38,19.21,6.93,20.6
31,8,1981,27.1,19.91,6.68,19.43
1,9,1981,27.33,19.46,9.12,20.19
2,9,1981,27.94,19.26,11.55,21.97
3,9,1981,27.04,20.2,9.29,19.19
4,9,1981,26.73,19.88,7.33,20.09
5,9,1981,27.31,20,5.5,20.92
6,9,1981,28.01,19.65,5.66,21.12
7,9,1981,27.1,19.79,6.07,18.55
8,9,1981,26.72,19.04,8.77,20.42
9,9,1981,26.58,19.76,0.34,18.77
10,9,1981,28.05,19.82,4.19,21.75
11,9,1981,27.43,19.66,8.78,19.42
12,9,1981,27.13,19.53,25.04,20.04
13,9,1981,28.14,18.78,4.89,21.51
14,9,1981,28,20.2,0,19.87
15,9,1981,27.73,20.12,1.91,20.51
16,9,1981,28.49,19.76,7.26,20.75
17,9,1981,28.92,19.63,5.01,21.26
18,9,1981,27.72,20.23,3.71,19.41
19,9,1981,28.43,19.8,9.17,20.64
20,9,1981,26.84,20.03,5.58,16.84
21,9,1981,27.91,19.32,7.46,21.17
22,9,1981,27.52,20.1,0,19.15
23,9,1981,29.05,20.22,0,21.67
24,9,1981,29.02,21.23,7.47,20.98
25,9,1981,27.94,20.64,13.32,18.27
26,9,1981,28.39,19.86,13.25,21.09
27,9,1981,28.28,20.19,0,20.01
28,9,1981,27.91,19.69,5.19,20.76
29,9,1981,28.48,20.01,0,21.28
30,9,1981,28.81,20.11,4.7,21.48
1,10,1981,28.53,20.21,1.75,20.69
2,10,1981,27.98,20.91,7.36,20.53
3,10,1981,28.29,20.17,6.11,20.58
4,10,1981,27.83,20.34,22.35,19.37
5,10,1981,27.61,20.79,5.18,18.29
6,10,1981,28.68,20.01,2.95,21.56
7,10,1981,28.81,20.21,0,21.22
8,10,1981,29.12,20.31,4.2,20.32
9,10,1981,27.47,20.37,3.45,16.99
10,10,1981,28.41,19.65,2.4,20.64
11,10,1981,28.58,19.97,2.13,20.65
12,10,1981,29.07,20.41,1.8,21.14
13,10,1981,29,20.29,0,19.99
14,10,1981,28.92,20.02,0,21.28
15,10,1981,29.7,19.43,0,21.79
16,10,1981,29.51,20.31,0,21.59
17,10,1981,29.91,20.47,0.76,21.57
18,10,1981,29.8,20.88,0,21.26
19,10,1981,29.7,20.21,0.31,21.8
20,10,1981,29.17,20.81,0,20.53
21,10,1981,29.15,19.97,0,22.02
22,10,1981,29.59,20.25,0,21.21
23,10,1981,29.01,20.93,0,19.84
24,10,1981,30.73,21.03,0,20.74
25,10,1981,29.13,20.87,3.58,18.28
26,10,1981,29.36,20.3,2.92,20.11
27,10,1981,29.94,20.23,0,20.97
28,10,1981,30.54,20.55,0,20.96
29,10,1981,30.87,21.3,0,21.11
30,10,1981,31.38,21.19,0,20.49
31,10,1981,31.01,20.82,0,20.63
1,11,1981,29.36,20.84,0,18.53
2,11,1981,28.67,21.1,4.24,18.66
3,11,1981,28.94,20.25,11.51,20.12
4,11,1981,29.56,20.54,2.42,20.8
5,11,1981,30,19.87,0,22.17
6,11,1981,30.96,20.07,0,22.14
7,11,1981,31.8,20.8,0.22,21.55
8,11,1981,31.01,21.25,0,20.21
9,11,1981,30.93,20.4,0,20.04
10,11,1981,30.58,20.43,0,19.97
11,11,1981,31.43,20.34,0,20.09
12,11,1981,32.02,20.45,0,20.19
13,11,1981,33.22,21.59,0,21.12
14,11,1981,33.03,20.85,0,21.28
15,11,1981,33.09,21.08,0,21.18
16,11,1981,33.4,21.17,0,21.21
17,11,1981,33.59,21.59,0,22.07
18,11,1981,32.72,20.94,0,21.68
19,11,1981,32.48,21.22,0,20.96
20,11,1981,32.72,21.26,0,21.11
21,11,1981,32.05,21.17,0,20.74
22,11,1981,31.51,22.22,0,19.93
23,11,1981,31.03,21.83,0,18.3
24,11,1981,31.68,21.6,0,20.83
25,11,1981,31.89,21.32,0.34,21.01
26,11,1981,32.35,21.9,0,20.94
27,11,1981,32.49,22,0,20.78
28,11,1981,32.28,21.23,0,21.44
29,11,1981,31.82,20.71,0,21.24
30,11,1981,32.51,20.65,0,21.32
1,12,1981,33.27,21.37,0,20.64
2,12,1981,33.94,21.52,0,21.17
3,12,1981,33.76,20.92,0,21.49
4,12,1981,33.98,21.32,0,21.46
5,12,1981,34.1,21.11,0,21.37
6,12,1981,34.35,21.61,0,21.23
7,12,1981,33.06,21.26,0,20.61
8,12,1981,33.76,21.78,0,20.79
9,12,1981,33.93,21.36,0,20.85
10,12,1981,34.15,21.74,0,21.29
11,12,1981,33.62,21.24,0,21.28
12,12,1981,33.25,21.7,0,21.28
13,12,1981,33.79,21.64,0,21.28
14,12,1981,33.8,21.62,0,21.36
15,12,1981,33.53,21.15,0,21.26
16,12,1981,33.39,21.04,0,21.13
17,12,1981,33.36,22,0,20.94
18,12,1981,33.49,21.74,0,20.91
19,12,1981,33.51,21.74,0,20.63
20,12,1981,33.05,21.07,0,20.8
21,12,1981,33.58,21.82,0,20.99
22,12,1981,33.88,21.62,0,20.96
23,12,1981,33.95,23.02,0,19.95
24,12,1981,34.48,23.21,0,20.64
25,12,1981,34.09,22.49,0,21.21
26,12,1981,34.22,22.17,0,20.29
27,12,1981,33.68,21.92,0,20.06
28,12,1981,33.88,22.62,0,20.54
29,12,1981,33.89,23.06,0,20.24
30,12,1981,34.09,22.23,0,21.13
31,12,1981,33.88,22.17,0,21.2
1,1,1982,33.57,21.69,0,21.04
2,1,1982,33.49,21.61,0,20.81
3,1,1982,33.9,22.09,0,20.7
4,1,1982,33.77,23.09,0,21.1
5,1,1982,32.97,22.07,0.01,19.07
6,1,1982,33,22.05,0,18.3
7,1,1982,34.17,21.53,0,20.72
8,1,1982,33.7,22.39,0,20.82
9,1,1982,33.86,22.37,0,20.61
10,1,1982,33.5,22.78,0,20.94
11,1,1982,33.68,22.16,0,20.95
12,1,1982,33.54,22.38,0,21.66
13,1,1982,33.43,21.7,0,21.79
14,1,1982,33.33,20.54,0,22.06
15,1,1982,34.22,21.05,0,22.08
16,1,1982,34.16,21.33,0,21.99
17,1,1982,34.03,21.66,0,22.15
18,1,1982,33.95,21.82,0,22
19,1,1982,34.55,21.88,0,22.1
20,1,1982,34.77,21.83,0,21.82
21,1,1982,35.07,22.13,0,22.02
22,1,1982,35.12,21.88,0,21.86
23,1,1982,35.64,23,0,21.65
24,1,1982,36.05,22.47,0,21.57
25,1,1982,35.02,24.67,0,19.23
26,1,1982,36.25,23.63,0,21.83
27,1,1982,35.74,24.14,0.02,19.95
28,1,1982,35.84,24.38,0,20.9
29,1,1982,36.04,24.17,0,22.07
30,1,1982,35.47,24.55,0,20.65
31,1,1982,34.43,23.38,0,21.91
1,2,1982,33.81,22.16,0,22.62
2,2,1982,33.33,21.18,0,21.66
3,2,1982,33.85,21.4,0,22.46
4,2,1982,34.13,21.38,0,22.79
5,2,1982,33.18,20.99,0,22.59
6,2,1982,32.82,21.24,0,21.58
7,2,1982,32.15,21,0,20.47
8,2,1982,30,18.62,0,22.66
9,2,1982,30.08,17.54,0,22.41
10,2,1982,32.36,18.23,0,22.5
11,2,1982,32.81,19.39,0,22.99
12,2,1982,33.02,20.11,0,22.25
13,2,1982,32.02,20.2,0,22.9
14,2,1982,32.77,19.54,0,23.32
15,2,1982,33.26,19.92,0,23.4
16,2,1982,32.8,19.72,0,23.02
17,2,1982,33.3,20.19,0,23.42
18,2,1982,34.88,20.65,0,23.37
19,2,1982,35.13,21.89,0,23.34
20,2,1982,35.49,22.62,0,22.79
21,2,1982,35.03,23.04,0,20.73
22,2,1982,35.49,23.32,0,20.23
23,2,1982,36.42,24.38,0,20.59
24,2,1982,36.87,24.49,0.7,22.7
25,2,1982,36.76,23.81,0,22.98
26,2,1982,37.23,23.91,0,23.95
27,2,1982,37.27,23.59,0,23.38
28,2,1982,36.87,24.42,0,21.73
1,3,1982,33.97,23.84,0,19.03
2,3,1982,28.6,22.41,5.28,13.5
3,3,1982,32.27,21.79,0,22.23
4,3,1982,33.54,23.2,0,22.42
5,3,1982,32.04,23.24,0,19.05
6,3,1982,33.05,22.74,0.68,21.4
7,3,1982,34.38,22.86,0,23.26
8,3,1982,34.56,22.69,0,22.98
9,3,1982,33.82,22.8,0,20.88
10,3,1982,35.17,23.73,0,22.14
11,3,1982,35.59,23.22,0,23.31
12,3,1982,35.17,23.17,0,21.06
13,3,1982,35.68,23.67,0,23.68
14,3,1982,35.69,23.53,0,24.06
15,3,1982,36.12,23.5,0,23.27
16,3,1982,36.23,24.3,0,21.81
17,3,1982,36.87,24.23,0,22.91
18,3,1982,36.77,25.85,0,23.01
19,3,1982,37.25,25.04,0,23.84
20,3,1982,36.99,24.9,0,24.05
21,3,1982,36.8,25.15,0,23.14
22,3,1982,36.12,23.92,0,22.93
23,3,1982,35.62,24.36,0,20.65
24,3,1982,36.86,24.98,0,22.33
25,3,1982,36.54,25.88,0,21.55
26,3,1982,37.04,24.32,0.41,23.15
27,3,1982,35.98,24.67,0,24.62
28,3,1982,34.94,23.35,0,24.6
29,3,1982,34.17,21.69,0,25.29
30,3,1982,33.93,21.03,0,25.22
31,3,1982,34.66,21.67,0,25.28
1,4,1982,34.87,21.82,0,25.51
2,4,1982,34.93,19.88,0,25.58
3,4,1982,35.98,22.47,0,25.66
4,4,1982,35.85,22.14,0,24.95
5,4,1982,33.91,23.42,0,22.16
6,4,1982,34.02,22.7,0,21.6
7,4,1982,35.74,23.09,0,25.03
8,4,1982,35.4,22.46,0,23.1
9,4,1982,35.1,23.81,0,22.22
10,4,1982,33.49,25.4,0.4,18.91
11,4,1982,33.91,24.27,2.85,21.18
12,4,1982,34.7,22.48,2.16,22.39
13,4,1982,34.47,22.93,0,23.02
14,4,1982,34.89,22.29,0,24.1
15,4,1982,34.93,22.44,0,24.59
16,4,1982,35.46,21.75,0,25.87
17,4,1982,35.53,21.89,0,26.01
18,4,1982,35.58,21.45,0,25.35
19,4,1982,36.14,22.69,0,25.19
20,4,1982,34.31,24.65,0,22.82
21,4,1982,35.15,24.81,0,23.01
22,4,1982,35.56,24.9,0,21.56
23,4,1982,34.13,24.84,0,21.65
24,4,1982,33.8,23.34,0,20.96
25,4,1982,30.51,23.1,2.72,19.53
26,4,1982,33.24,22.52,0,23.05
27,4,1982,32.92,22.58,10.05,21.67
28,4,1982,33.09,22.35,0,21.19
29,4,1982,34,22.65,0,21.21
30,4,1982,33.18,23.35,0,19.8
1,5,1982,33.18,23.11,0,21.54
2,5,1982,34.05,24.02,2.71,21.43
3,5,1982,33.62,23.64,12.82,21.11
4,5,1982,29.71,21.67,5.01,16.08
5,5,1982,30.86,21.23,0,21.61
6,5,1982,26.52,21.6,19.51,12.67
7,5,1982,29.54,21.87,10.6,17.42
8,5,1982,28.93,21.81,0,19.27
9,5,1982,29.77,21.49,0,21.52
10,5,1982,30.11,19.25,0,23.93
11,5,1982,30.72,18.73,0,24.88
12,5,1982,31.18,19.33,0,23.81
13,5,1982,31.72,20.25,0,23.69
14,5,1982,31.91,20.8,0,23.43
15,5,1982,32.3,20.79,0,23.19
16,5,1982,30.58,21.56,0,20.43
17,5,1982,32.21,22.33,0,21.37
18,5,1982,30.5,22.62,0,19.13
19,5,1982,32.36,23.14,0,21.67
20,5,1982,32.22,23.32,2.81,20.93
21,5,1982,31.72,23.34,0,20.98
22,5,1982,31.35,21.93,0,20.03
23,5,1982,29.04,22.53,1.67,17.74
24,5,1982,31.23,22.25,7.2,20.48
25,5,1982,31.25,22.1,0,20.37
26,5,1982,29.33,22.8,15.44,17.22
27,5,1982,29.89,22.33,10.49,18.01
28,5,1982,27.54,21.56,8.89,16.35
29,5,1982,28.16,21.33,5.92,18.33
30,5,1982,29.78,21.08,0,21
31,5,1982,29.73,21.49,5.72,20.03
1,6,1982,29.03,21.92,0,18.67
2,6,1982,28.15,21.58,2.93,18.17
3,6,1982,29.27,21.24,0,19.08
4,6,1982,29.16,20.89,5.49,19.94
5,6,1982,28.69,21.37,0,18.36
6,6,1982,28.18,20.98,0,19.07
7,6,1982,28.1,20.82,16.36,18.83
8,6,1982,28.77,20.66,0.22,20.66
9,6,1982,29.15,21.41,0,20.4
10,6,1982,29.41,21.68,4.61,20.25
11,6,1982,29.88,21.39,5.1,20.32
12,6,1982,28.97,22.44,28.57,19.34
13,6,1982,28.62,21.32,5.86,19.87
14,6,1982,29.06,21.68,6.74,18.44
15,6,1982,29.8,21.28,0,17.74
16,6,1982,28.15,21.29,0.95,18.46
17,6,1982,28.82,20.98,0,19.78
18,6,1982,30.03,21.39,17.28,20.17
19,6,1982,29.5,21.71,0,18.37
20,6,1982,29.19,21.3,0,18.04
21,6,1982,29.25,20.73,0,18.75
22,6,1982,26.85,21.23,4.37,16.03
23,6,1982,29.52,20,6.19,20.36
24,6,1982,29.01,21.48,0,19.16
25,6,1982,28.01,21.41,13.98,17.86
26,6,1982,29.45,20.31,3.3,19.85
27,6,1982,29.04,21.22,0,19.55
28,6,1982,29.58,20.88,0,19.18
29,6,1982,29.28,20.9,0,17.53
30,6,1982,27.24,20.56,0,15.61
1,7,1982,29.67,20.2,0,19.39
2,7,1982,29.25,20.79,0,18.33
3,7,1982,28.02,20.87,4.63,15.9
4,7,1982,30.41,20.31,4.1,20.98
5,7,1982,28.89,20.5,6.75,20.33
6,7,1982,28.8,20.6,0,19.46
7,7,1982,28.96,20.75,10.1,20.24
8,7,1982,28.47,20.5,13.93,19.67
9,7,1982,28.4,20.48,0,19.96
10,7,1982,28.47,20.5,6.26,20.39
11,7,1982,29.13,21.19,2.85,20.47
12,7,1982,28.59,21.18,0,20.48
13,7,1982,28.29,21.57,13.17,20.22
14,7,1982,26.37,20.58,5.96,16.16
15,7,1982,27.17,20.14,3.02,18.21
16,7,1982,26.54,19.8,0,17.91
17,7,1982,27.22,20.7,8.1,19.14
18,7,1982,27.65,20.77,0,17.98
19,7,1982,28.32,20.61,7.08,20.08
20,7,1982,28.86,20.32,8.1,19.96
21,7,1982,29.89,20.58,6.45,20.79
22,7,1982,27.86,20.87,14.1,18.04
23,7,1982,27.83,21.04,0,18.04
24,7,1982,28.76,20.46,0,18.6
25,7,1982,30.21,20.42,7.58,19.84
26,7,1982,26.69,20.49,18.3,16.5
27,7,1982,28.14,20.71,3.9,16.37
28,7,1982,28.24,20.45,26.48,17.84
29,7,1982,28.47,20.67,0,18.57
30,7,1982,27.81,20.61,0,15.89
31,7,1982,29.3,20.79,0,19.79
1,8,1982,29.33,20.27,3.39,19.38
2,8,1982,26.86,19.71,4.09,18.39
3,8,1982,27.06,19.61,3.63,18.08
4,8,1982,27.49,19.87,1.82,18.01
5,8,1982,29.25,19.77,1.63,19.77
6,8,1982,28.23,20.3,10.45,18.9
7,8,1982,28.51,20.63,13.84,19.58
8,8,1982,26.71,20.15,3.43,17.41
9,8,1982,28.55,19.46,13.32,20.74
10,8,1982,28.79,20.45,4.77,20.12
11,8,1982,29.18,20.6,12.13,20.01
12,8,1982,28.73,20.5,0,19.49
13,8,1982,28.09,20.27,0,18.49
14,8,1982,26.75,20.32,3.58,15.92
15,8,1982,28.54,20.21,4.21,19.19
16,8,1982,26.97,20.2,10.44,15.82
17,8,1982,27.22,20.3,0,18.96
18,8,1982,29.43,19.75,8.04,20.96
19,8,1982,27.57,20.51,0,15.56
20,8,1982,29.66,20.58,13.9,19.92
21,8,1982,27.49,20.94,9.91,17.61
22,8,1982,29.23,20.46,1.53,18.66
23,8,1982,29.34,20.17,7.6,20.32
24,8,1982,29.36,20.21,4.6,21.08
25,8,1982,29.91,20.47,8.58,19.56
26,8,1982,29.72,20.24,0,19.62
27,8,1982,28.76,20.89,9.8,18.95
28,8,1982,29.73,20.93,9.8,20.08
29,8,1982,29.49,20.7,0,19.87
30,8,1982,30.51,20.09,5.93,21.07
31,8,1982,29.98,20.84,15.22,19.36
1,9,1982,28.71,20.94,5.41,17.3
2,9,1982,30.3,20.52,5.9,20.93
3,9,1982,28.48,20.92,2.57,17.97
4,9,1982,30.02,19.78,0,21.53
5,9,1982,28.18,20.23,0,19.15
6,9,1982,28.7,20.51,3.43,17.22
7,9,1982,30.34,19.9,9.25,21.99
8,9,1982,30.58,21.09,2.43,20.14
9,9,1982,26.34,20.84,0,14.13
10,9,1982,29.23,19.56,0,21.83
11,9,1982,29.38,20.41,2.84,21.12
12,9,1982,30.4,20.42,0,21.07
13,9,1982,29.99,20.78,0,20.75
14,9,1982,30,20.66,5.41,20.49
15,9,1982,29.21,21.19,2.29,18.77
16,9,1982,29.47,20.43,3.14,17.96
17,9,1982,30.32,20.5,9.31,20.2
18,9,1982,29.75,20.78,3.14,19.49
19,9,1982,29.65,20.88,1.09,19.78
20,9,1982,28.88,21.03,4.18,18.84
21,9,1982,27.99,20.15,1.48,19.56
22,9,1982,27.67,20.5,1.68,20.14
23,9,1982,28.13,20.17,13.58,20.31
24,9,1982,28.79,20.4,4.83,19.64
25,9,1982,27.27,20.77,2.51,16.68
26,9,1982,28.28,20.32,9.14,20.49
27,9,1982,28.72,20.51,0,20.67
28,9,1982,28.46,20.45,0,19.91
29,9,1982,29.05,20.49,0,20.62
30,9,1982,27.63,19.93,9.31,17.98
1,10,1982,28.36,19.85,0,20.48
2,10,1982,28.2,20.43,1.38,18.64
3,10,1982,28.67,20.06,7.44,20.97
4,10,1982,27.96,20.24,3.71,17.74
5,10,1982,29.25,20.07,3.72,20.74
6,10,1982,29.16,20.41,7.05,20.13
