day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,16.64,6.91,0,21.5
2,1,1981,17.45,7.79,0,20.79
3,1,1981,18.45,7.67,0,21.92
4,1,1981,17.79,7.42,0,22.57
5,1,1981,17.53,7.31,0.52,22.93
6,1,1981,17.03,7.34,0,22.4
7,1,1981,16.75,6.58,0,23.48
8,1,1981,16.49,6.17,0,23.52
9,1,1981,16.31,6.65,0,22.72
10,1,1981,17.65,6.89,0,22.8
11,1,1981,17.51,7.56,0,22.39
12,1,1981,16.5,8.46,0,17.5
13,1,1981,16.21,7.19,0,20.9
14,1,1981,16.04,8.22,0,19.27
15,1,1981,16.21,8.19,0,20.3
16,1,1981,16.71,7.11,3.46,23.04
17,1,1981,17.41,6.89,0,23.29
18,1,1981,18.22,7.42,0,23.26
19,1,1981,17.33,7.32,0,21.92
20,1,1981,17.77,7.49,0,22.91
21,1,1981,18.32,7.11,0,23.41
22,1,1981,17.65,8.37,0,21.07
23,1,1981,18.72,8.33,0,22.98
24,1,1981,18.66,8.11,0,23.48
25,1,1981,19.36,7.85,0,24.24
26,1,1981,19.31,7.99,0,24.03
27,1,1981,18.19,8.12,0,23.76
28,1,1981,17.46,7.65,0,23.04
29,1,1981,16.58,7.4,0,22.95
30,1,1981,17.23,6.84,0,24.85
31,1,1981,17.23,6.45,0,25.23
1,2,1981,17.38,6.84,0,25.12
2,2,1981,16.91,6.82,0,24.44
3,2,1981,16.99,6.97,0,23.79
4,2,1981,16.24,7.13,0,21.68
5,2,1981,16.84,7.47,0,23.07
6,2,1981,17.98,7.39,0,24.92
7,2,1981,17.43,7.3,0,23.58
8,2,1981,18.09,7.36,0,24.67
9,2,1981,18.47,7.65,0,24.32
10,2,1981,17.68,8.8,0,20.62
11,2,1981,13.23,8.79,13.94,10.33
12,2,1981,13.65,8.25,10.05,12.26
13,2,1981,13.87,8.8,0,14.25
14,2,1981,14.33,8.48,0,13.69
15,2,1981,14.56,8.57,0,15.48
16,2,1981,15.47,8.21,0,17.79
17,2,1981,16.43,8.46,2.27,20.98
18,2,1981,15.85,8.87,0,16.86
19,2,1981,17.33,8.49,0,22.34
20,2,1981,17.71,8.73,0,24.1
21,2,1981,18.31,8.29,0,24.7
22,2,1981,18.94,8.09,0,25.97
23,2,1981,19.52,8.1,0,25.84
24,2,1981,20.49,8.57,0,25.76
25,2,1981,19.73,8.9,0,25.85
26,2,1981,19.02,8.71,0,25.28
27,2,1981,19.15,8.37,0,24.78
28,2,1981,19.87,8.7,0,24.5
1,3,1981,19.91,8.91,0,24.48
2,3,1981,18.9,10.31,20.22,20.86
3,3,1981,15.21,9.51,30.04,16.98
4,3,1981,15.94,9.33,8.53,17.13
5,3,1981,13.48,9.42,16.15,13.3
6,3,1981,15.04,9.15,8.88,19.55
7,3,1981,14.78,9.26,0,17.41
8,3,1981,16.05,8.49,0,22.14
9,3,1981,17.73,7.66,0,26.27
10,3,1981,17.89,8.76,0,23.31
11,3,1981,17.63,9.9,0,21.58
12,3,1981,19.04,9.53,0,22.72
13,3,1981,18.11,9.91,0,19.24
14,3,1981,17.09,10.38,2.05,18.78
15,3,1981,15.74,9.79,16.68,17.29
16,3,1981,15.82,9.74,6.91,17.75
17,3,1981,16.48,9.56,0,20.81
18,3,1981,15.78,9.28,6.48,20.24
19,3,1981,14.14,9.54,13.29,13.6
20,3,1981,15.75,9.24,12.56,20.04
21,3,1981,16.7,9.81,25.17,20.78
22,3,1981,16.23,9.93,0.7,21.06
23,3,1981,16.47,9.8,10.88,19.02
24,3,1981,16.06,9.44,3.47,21.1
25,3,1981,17.5,9.76,0,24.75
26,3,1981,17.52,9.77,0,22.48
27,3,1981,15.39,9.94,0,17.94
28,3,1981,15.31,9.92,0,15.11
29,3,1981,14.96,9.67,49.44,15.62
30,3,1981,15.9,9.86,0,19.91
31,3,1981,15.54,10.17,0,20.5
1,4,1981,15.35,9.86,14.85,19.23
2,4,1981,15.01,10.15,0,16.6
3,4,1981,16.3,9.93,0,24
4,4,1981,16.24,9.45,0,22.06
5,4,1981,16.46,10.15,0,22.3
6,4,1981,16,9.98,0,22.76
7,4,1981,17.72,9.76,0,25.56
8,4,1981,17.57,9.73,0,23.66
9,4,1981,17.58,9.91,0,24.3
10,4,1981,17.01,10.44,0,21.75
11,4,1981,17.55,11.28,0,19.38
12,4,1981,16.58,10.93,0,19.81
13,4,1981,16.93,10.41,0,20.73
14,4,1981,17.48,10.2,0,23.45
15,4,1981,18.04,10.71,0,21
16,4,1981,18.51,10.82,0,23.76
17,4,1981,17.11,10.27,0,22.13
18,4,1981,16.47,9.98,0,20.24
19,4,1981,16.68,9.75,6.99,23
20,4,1981,16.99,10.12,0,23.71
21,4,1981,17.13,9.71,0,23.3
22,4,1981,17.18,10.08,0,19.68
23,4,1981,18.06,10.6,0,23.64
24,4,1981,14.76,10.63,27.33,11.34
25,4,1981,17.19,9.72,0,25.56
26,4,1981,17.96,10,0.8,25.09
27,4,1981,17.63,10.64,0,22.75
28,4,1981,18.52,10.32,0,25.55
29,4,1981,19.68,10.53,0,27.38
30,4,1981,20.1,10.57,0,26.25
1,5,1981,18.96,11.5,0,24.23
2,5,1981,19.42,11.07,0,24.9
3,5,1981,19.75,11.23,0,25.97
4,5,1981,19.71,11.62,0,25.85
5,5,1981,20.11,11.53,0,25.68
6,5,1981,20.53,11.11,0,26.87
7,5,1981,20.47,11.74,0.57,26.36
8,5,1981,20.21,11.98,0,25.31
9,5,1981,19.5,11.82,0,25.2
10,5,1981,19.42,11.75,0,24.66
11,5,1981,19.87,11.24,0.44,24.77
12,5,1981,19.38,11.65,0,23.46
13,5,1981,20.18,11.53,0,25.49
14,5,1981,20,11.88,0,23.91
15,5,1981,20.89,10.98,0,27.46
16,5,1981,21.03,11.51,0,26.5
17,5,1981,21.21,11.99,0,25.45
18,5,1981,21.17,12.18,0,25.03
19,5,1981,20.89,12.1,0,23.65
20,5,1981,21.13,11.51,0,25.25
21,5,1981,20.88,12.14,0,23.14
22,5,1981,20.2,12.1,0,23
23,5,1981,20.77,11.56,0,24.52
24,5,1981,20.68,11.48,0,23.32
25,5,1981,21.31,11.38,0,25.45
26,5,1981,21.85,11.23,0,25.27
27,5,1981,21.69,12.3,0,25.22
28,5,1981,21.41,11.79,0,24.37
29,5,1981,21.12,11.26,0.98,22.5
30,5,1981,20.62,12.2,2.15,19.71
31,5,1981,20.11,11.99,8.32,19.63
1,6,1981,21.7,12.09,0,23.78
2,6,1981,21.58,12.47,0,22.46
3,6,1981,21.77,11.53,0,23.25
4,6,1981,22.08,11.47,0,22.77
5,6,1981,21.63,11.6,0,22.75
6,6,1981,21.87,11.48,0,22.44
7,6,1981,21.15,12.23,0,21.77
8,6,1981,21.04,12.04,0,21.59
9,6,1981,20.95,11.56,0,22.22
10,6,1981,21.52,11.89,0,21.46
11,6,1981,21.79,11.9,0,21.26
12,6,1981,21.8,12.11,0,21.61
13,6,1981,21.72,11.25,0,21.79
14,6,1981,21.97,10.79,0,21.85
15,6,1981,22.57,11.01,0,22.4
16,6,1981,22.47,12.07,0,21.6
17,6,1981,21.87,12.26,0,20.98
18,6,1981,21.89,11.83,0,21.84
19,6,1981,21.9,11.82,0,21.79
20,6,1981,22.39,11.88,0,21.92
21,6,1981,21.83,11.81,0,20.71
22,6,1981,22.02,11.86,0,20.54
23,6,1981,21.91,11.7,0,21.03
24,6,1981,22.18,11.65,4.87,21.39
25,6,1981,22.46,12.03,1.6,21.71
26,6,1981,22.54,11.77,0,20.98
27,6,1981,21.78,11.54,0,21.52
28,6,1981,22,13.31,0,20.25
29,6,1981,22.08,12.42,1.01,20.7
30,6,1981,22.19,12.1,0,21.41
1,7,1981,22.48,12.16,5.59,22.12
2,7,1981,22.41,12.71,5.59,19.56
3,7,1981,21.64,12.63,5.59,18.5
4,7,1981,20.31,12.37,5.59,17.68
5,7,1981,20.46,12.15,5.59,20.18
6,7,1981,20.8,11.57,0,20.79
7,7,1981,21.14,11.89,0,20.09
8,7,1981,21.03,12.48,0,20.17
9,7,1981,21.43,12.08,27,19.97
10,7,1981,20.87,12.24,19.22,19.46
11,7,1981,19.48,12.23,37.56,17.63
12,7,1981,20.01,11.96,10.16,18.53
13,7,1981,20.48,11.78,0,20.29
14,7,1981,21.15,11.88,0,20.93
15,7,1981,21.5,11.55,0,21.48
16,7,1981,20.41,11.83,0,15.97
17,7,1981,20.29,12.05,0,17.2
18,7,1981,20.75,11.89,0,20.44
19,7,1981,20.63,12.21,0,18.89
20,7,1981,19.81,12.32,60.84,11.63
21,7,1981,21.23,11.68,0,21.47
22,7,1981,21.46,12.01,37.71,20.7
23,7,1981,21.51,11.32,0,21.3
24,7,1981,22,12.02,5.59,20.76
25,7,1981,21.01,11.59,6.93,19.11
26,7,1981,20.33,11.6,27.33,17.24
27,7,1981,20.79,12.05,2.94,21.85
28,7,1981,21.14,11.57,0,22.29
29,7,1981,22.03,11.93,4.36,21.48
30,7,1981,21.27,11.79,3.97,20.08
31,7,1981,21.88,12.23,32.63,21.12
1,8,1981,21.81,12.31,22.2,21.26
2,8,1981,21.58,11.72,14.08,21.86
3,8,1981,22,11.99,0,22.86
4,8,1981,21.58,12.01,0,21.1
5,8,1981,21.78,11.98,1.45,20.32
6,8,1981,18.43,11.91,56.46,17.05
7,8,1981,19.33,10.97,0,20.37
8,8,1981,19.3,11.51,6.95,21.07
9,8,1981,20.5,11.61,0,21.9
10,8,1981,20.91,11.62,0,22.03
11,8,1981,22.39,11.22,0,22.92
12,8,1981,21.64,11.5,0,22.1
13,8,1981,18.46,11.47,19.48,19.87
14,8,1981,20.11,11.3,7.79,23.12
15,8,1981,19,11.69,0,18.79
16,8,1981,19.39,11.16,15.87,21.86
17,8,1981,19.83,10.78,16.04,22.86
18,8,1981,19.63,10.99,0,21.33
19,8,1981,18.58,11.05,0,20.76
20,8,1981,18.63,10.74,19.26,21.19
21,8,1981,18.94,10.73,29.53,18.88
22,8,1981,18.33,10.86,73.15,20.64
23,8,1981,18.24,9.96,0,21.7
24,8,1981,18.46,10.23,0,20.98
25,8,1981,19.79,10.64,0,21.51
26,8,1981,20.28,9.68,0,23.31
27,8,1981,20.86,10.63,0,23.11
28,8,1981,21.04,10.36,48.21,23.36
29,8,1981,20.62,10.14,0,23.83
30,8,1981,20.12,11.14,3.57,22.85
31,8,1981,18.77,10.73,9.17,21.33
1,9,1981,18.23,10.61,7.91,21.56
2,9,1981,18.55,10.11,0,22.4
3,9,1981,18.96,10.32,0,21.87
4,9,1981,20.04,10.01,0,21.34
5,9,1981,19.71,10.8,0,18.73
6,9,1981,19.28,10.43,0,22.18
7,9,1981,19.23,10.56,7.24,22.36
8,9,1981,18.4,10.44,6.74,21.31
9,9,1981,18.72,9.9,0,21.68
10,9,1981,19.12,10.62,6.74,21.53
11,9,1981,19.64,10.3,0,22.37
12,9,1981,18.55,10.97,0,20.59
13,9,1981,18.61,10.7,0,20.98
14,9,1981,18.21,10.57,0,19.02
15,9,1981,17.89,10.48,44.49,18.48
16,9,1981,18.66,10.61,8.04,19.39
17,9,1981,19.04,10.77,0,21.09
18,9,1981,17.96,10.63,27.67,18.38
19,9,1981,16.96,10.16,0,17.78
20,9,1981,18.7,9.81,0,21.94
21,9,1981,19.42,10.13,0,22.37
22,9,1981,19.22,10.71,0,20.26
23,9,1981,20.7,10.46,0,21.34
24,9,1981,20.27,10.55,0,19.66
25,9,1981,19.85,11.23,0,17.77
26,9,1981,18.92,10.06,0,20.65
27,9,1981,18.82,10.3,0,22.12
28,9,1981,19.08,10.64,0,21.43
29,9,1981,19.5,10.45,0,22.42
30,9,1981,18.31,10.84,0,19.82
1,10,1981,19.33,10.07,0,22.75
2,10,1981,19.15,10.72,22.75,21.97
3,10,1981,18.21,10.13,0,21.26
4,10,1981,16.93,10.01,0,19.99
5,10,1981,17.59,9.92,0,20.45
6,10,1981,18.9,9.73,0,22.91
7,10,1981,19.25,10.14,0,24.14
8,10,1981,18.8,9.96,0,22.22
9,10,1981,18.93,9.99,0,23.36
10,10,1981,18.96,9.23,0,25.67
11,10,1981,19.04,8.93,0,26.1
12,10,1981,19.54,8.59,0,26.85
13,10,1981,19.64,8.76,0,26.17
14,10,1981,19.09,9.59,0,24.55
15,10,1981,18.45,9.49,0,24.02
16,10,1981,18.82,9.27,0,25.55
17,10,1981,18.72,9.07,0,25.97
18,10,1981,18.7,8.99,0,26.23
19,10,1981,19.09,8.67,0,26.66
20,10,1981,18.58,8.79,0,24.2
21,10,1981,19,9.15,0,25.69
22,10,1981,18.07,9.1,0,23.13
23,10,1981,18.36,8.81,0,24.46
24,10,1981,17.91,8.36,0,25.15
25,10,1981,17.72,7.83,0,26.07
26,10,1981,16.48,7.48,0,23.99
27,10,1981,16.59,7.5,0,24.99
28,10,1981,17.17,7.57,0,25.4
29,10,1981,17.71,7.35,0,25.29
30,10,1981,17.93,7.73,0,25.2
31,10,1981,18.18,7.87,0,24.26
1,11,1981,18.82,7.94,0,25.09
2,11,1981,18.6,8.09,0,24.18
3,11,1981,18.43,8.72,0,23.37
4,11,1981,18.73,8.78,0,22.42
5,11,1981,18.38,8.87,0,23.91
6,11,1981,17.53,8.79,0,21.43
7,11,1981,17.15,8.67,0,21.46
8,11,1981,17.19,7.75,0,24.85
9,11,1981,17.05,7.12,0,24.56
10,11,1981,17.35,7.69,0,24.65
11,11,1981,18.07,7.82,0,24.4
12,11,1981,17.75,7.83,0,24.36
13,11,1981,17.69,7.33,0,24.56
14,11,1981,17.32,7.07,0,24.79
15,11,1981,16.65,6.76,0,24.43
16,11,1981,16.45,6.91,0,24.11
17,11,1981,16.69,7.23,0,23.13
18,11,1981,16.4,6.98,0,23.29
19,11,1981,16.31,7.13,0,23.43
20,11,1981,16.48,7.32,0.18,22.74
21,11,1981,16.78,7.32,0,22.32
22,11,1981,16.62,7.36,0,22.35
23,11,1981,16.92,7.95,2.55,21.64
24,11,1981,16.04,8,1.95,20.06
25,11,1981,16.15,7.17,1.95,22.92
26,11,1981,16.68,7.27,0,22.77
27,11,1981,16.5,7.06,0,23.15
28,11,1981,16.7,6.66,0,23.33
29,11,1981,16.48,6.47,0,23.37
30,11,1981,15.49,6.28,0,22.89
1,12,1981,14.38,6.39,0,19.04
2,12,1981,16.04,7.26,0,22.88
3,12,1981,16.1,6.44,0,23.26
4,12,1981,16.49,5.98,0,23.58
5,12,1981,16.36,6.21,0,22.97
6,12,1981,16.89,6.74,0,22.32
7,12,1981,16.85,7.07,0,22.53
8,12,1981,16.17,6.53,0,22.8
9,12,1981,16.24,6,0,23.29
10,12,1981,16.07,5.56,0,23.4
11,12,1981,16.15,5.52,0,22.97
12,12,1981,16.12,5.62,0,22.82
13,12,1981,16.13,5.71,0,22.77
14,12,1981,15.67,5.82,0,22.54
15,12,1981,16.41,6.53,0,22.28
16,12,1981,16.31,6.7,0,21.43
17,12,1981,16.35,6.78,0,21.57
18,12,1981,15.91,7.5,0,20.08
19,12,1981,14.23,7.96,0,17
20,12,1981,15.27,7.2,0,20.23
21,12,1981,15.5,7.44,0,18.71
22,12,1981,14.85,7.34,0,16.16
23,12,1981,15.47,6.9,0,21.56
24,12,1981,15.89,6.28,0,22.23
25,12,1981,16.94,6.99,0,21.46
26,12,1981,16.7,8,0,19.91
27,12,1981,16.71,6.75,0,22.55
28,12,1981,17.37,6.96,0,22.23
29,12,1981,17.11,7.24,0,21.17
30,12,1981,17.08,7.94,7.76,19.39
31,12,1981,14.54,8.75,0.88,14.45
1,1,1982,13.39,8.53,0,10.58
2,1,1982,13.79,8.29,0,13.15
3,1,1982,14.17,7.98,0,14.96
4,1,1982,14.67,7.2,0,18.73
5,1,1982,14.95,6.92,0,19.91
6,1,1982,13.92,7.47,0,17.78
7,1,1982,14.92,7.36,0,18.16
8,1,1982,16.09,6.91,0,21.97
9,1,1982,16.17,6.84,0,21.47
10,1,1982,16.32,6.67,0,21.41
11,1,1982,16.19,6.96,0,22.86
12,1,1982,16.6,7.25,0,21.19
13,1,1982,14.58,8.04,0,17.68
14,1,1982,13.16,8.61,22.19,11.7
15,1,1982,12.04,8.13,3.37,8.87
16,1,1982,14.06,8.19,4.74,13.29
17,1,1982,13.42,7.91,0,15.53
18,1,1982,14,7.89,0,17.46
19,1,1982,13.64,8.04,0,16.73
20,1,1982,14.76,7.38,0,20.18
21,1,1982,14.5,7.36,0,19.63
22,1,1982,14.07,8.09,0,18.55
23,1,1982,14.12,7.51,0,18.27
24,1,1982,14.44,6.81,0,18.91
25,1,1982,15.49,6.77,0,22.94
26,1,1982,15.4,6.07,0,24.19
27,1,1982,16.68,6.12,0,24.16
28,1,1982,17.43,6.53,0,23.96
29,1,1982,16.64,6.93,0,24.21
30,1,1982,17.03,6.99,0,24
31,1,1982,18.22,7.1,0,24.3
1,2,1982,16.48,7.61,0,22.24
2,2,1982,15.62,7.48,0,20.68
3,2,1982,15.35,8.45,0,17.31
4,2,1982,15.55,8.23,0,18.59
5,2,1982,14.87,8.57,0,17
6,2,1982,15.08,8.48,0,16.92
7,2,1982,15.13,7.78,0,20.15
8,2,1982,16.33,7.89,0,21.23
9,2,1982,12.23,8.29,11.9,11.07
10,2,1982,12.68,7.75,0,11.96
11,2,1982,14.34,7.9,0,15.59
12,2,1982,15.23,7.89,0,18.39
13,2,1982,15.38,8.64,0,14.91
14,2,1982,13.23,8.39,10.22,14.64
15,2,1982,13.9,8.81,13.49,13.62
16,2,1982,13.17,8.85,7.62,12.3
17,2,1982,13.39,8.7,0,12.51
18,2,1982,13.93,8.95,0,17.28
19,2,1982,15.48,8.23,2.01,18.69
20,2,1982,16.42,8.21,0,22.78
21,2,1982,16.29,7.59,0,23.37
22,2,1982,16.75,7.43,0,24.1
23,2,1982,17.13,7.57,0,24.14
24,2,1982,17.67,8.15,0,23.47
25,2,1982,16.92,9.39,24.99,20.96
26,2,1982,16.91,9.91,0,21.67
27,2,1982,15.26,9.34,7.43,16.33
28,2,1982,17.61,9.32,0,22.56
1,3,1982,18.35,8.97,0,24.86
2,3,1982,18.23,8.8,0,24.19
3,3,1982,15.41,9.42,0,18.79
4,3,1982,14.83,9.58,7.99,19.28
5,3,1982,14.65,9.17,0,19.78
6,3,1982,15.78,8.5,0,23.09
7,3,1982,16.95,7.79,0,26.62
8,3,1982,17.12,8.13,0,26.33
9,3,1982,17.81,8.79,0,26
10,3,1982,17.98,8.99,0,24.6
11,3,1982,17.62,9.52,0,23.16
12,3,1982,19.59,8.68,0,27.04
13,3,1982,18.08,8.92,0,25.14
14,3,1982,18.51,9.05,0,25
15,3,1982,16.22,10.24,0,20.4
16,3,1982,18,9,0,24.63
17,3,1982,19.02,8.42,0,27.28
18,3,1982,18.77,8.93,0,26.79
19,3,1982,18.58,9.39,0,25.86
20,3,1982,18.76,9.84,0,25.58
21,3,1982,19.12,9.79,0,25.44
22,3,1982,20.58,9.43,0,26.69
23,3,1982,20.23,10.19,0,24.8
24,3,1982,20.65,10.24,0,27.21
25,3,1982,21.3,10.06,0,27.58
26,3,1982,21.38,10.18,0,27.2
27,3,1982,19.85,10.65,0,25.34
28,3,1982,18.15,10.6,0,20.03
29,3,1982,14.41,10.08,27.49,15.53
30,3,1982,13.79,9.66,25.92,11.41
31,3,1982,12.01,8.87,30.26,4.74
1,4,1982,13.76,8.8,1.77,16.82
2,4,1982,13.73,9.13,0,13.81
3,4,1982,14.92,8.87,0,22.35
4,4,1982,15.51,9.62,0,22.01
5,4,1982,15.52,9.38,43.59,21.74
6,4,1982,16.51,9.76,15.68,21.52
7,4,1982,16.33,9.69,6.04,23.64
8,4,1982,15.92,9.71,7.85,22.69
9,4,1982,16.02,9.26,0,24.77
10,4,1982,16.85,9.77,0,25.74
11,4,1982,16.6,9.63,0,21.29
12,4,1982,16.11,9.76,0,23.23
13,4,1982,16.42,9.41,25.36,24.65
14,4,1982,16.31,9.21,0,24.29
15,4,1982,16.28,8.87,9.98,25.03
16,4,1982,16.5,9.38,11.22,24.9
17,4,1982,16.83,8.97,0,23.69
18,4,1982,17.16,9.2,0,25.55
19,4,1982,17.89,9.7,0,24.3
20,4,1982,17.43,10.05,0,23.99
21,4,1982,18.31,9.74,0,25.28
22,4,1982,18.07,10.69,0,24.6
23,4,1982,18.42,9.79,0,26.2
24,4,1982,18.66,10.01,0,26.72
25,4,1982,18.52,10.03,0,26.57
26,4,1982,18.92,9.89,0,25.33
27,4,1982,19.41,10.04,0,25.38
28,4,1982,19.53,11.39,0,25.66
29,4,1982,18.01,10.77,0,24.47
30,4,1982,19.29,10.91,0,26.56
1,5,1982,19.39,10.52,0,26.8
2,5,1982,19.63,10.9,0,25.26
3,5,1982,19.89,10.5,0,27.6
4,5,1982,20.22,10.31,0,27.08
5,5,1982,19.13,10.85,4.94,24.46
6,5,1982,18.2,11.36,7.21,22.36
7,5,1982,17.9,11,1.7,20.05
8,5,1982,18.04,10.48,10.76,21.97
9,5,1982,14.56,10.87,2.95,10.13
10,5,1982,14.78,10.77,34.6,9.21
11,5,1982,16.86,9.85,3.1,20.61
12,5,1982,17.02,9.88,3.1,22
13,5,1982,16.76,10.08,3.1,21.54
14,5,1982,17.5,10.03,3.1,23.08
15,5,1982,17.25,10.19,3.1,20.6
16,5,1982,17.42,9.87,0,23.01
17,5,1982,18.4,10.09,0,26.31
18,5,1982,18.25,10.57,0,25.16
19,5,1982,18.98,10.43,0,26.35
20,5,1982,18.94,10.56,0,26.38
21,5,1982,19.48,10.74,0,25.75
22,5,1982,19.03,10.79,0,22.63
23,5,1982,19.74,10.74,0,21.34
24,5,1982,18.96,11.17,4.42,21.61
25,5,1982,19.55,11.14,0,21.95
26,5,1982,18.74,11.62,0,20.01
27,5,1982,18.65,11.39,0,21.45
28,5,1982,19.99,11,0,24.09
29,5,1982,20.44,11.22,0,24.29
30,5,1982,21.06,11.51,0.09,24.51
31,5,1982,20.87,12.03,0.49,22.91
1,6,1982,20.13,12.34,0,21.05
2,6,1982,21.29,12,0,21.21
3,6,1982,21.13,11.53,0,22.86
4,6,1982,20.94,11.2,0,23.8
5,6,1982,20.95,11.34,0,22.8
6,6,1982,20.81,11.25,0,22.8
7,6,1982,21.43,10.82,0,23.58
8,6,1982,21.99,10.58,0,23.05
9,6,1982,22.15,11.11,0,22.14
10,6,1982,22.08,11.29,0,22.21
11,6,1982,22.42,11.75,0,21.99
12,6,1982,22.59,11.79,1.16,18.17
13,6,1982,23.03,10.98,0,20.95
14,6,1982,22.26,11.03,0,20.61
15,6,1982,22.01,11.41,0,19.46
16,6,1982,21.14,11.93,0,19.63
17,6,1982,21.81,11.76,0,19.64
18,6,1982,21.62,12.22,0,20.59
19,6,1982,21.36,11.48,0,19.52
20,6,1982,21.36,11.53,0.28,19.7
21,6,1982,21.43,11.34,0,20.8
22,6,1982,21.33,11.31,0,21.09
23,6,1982,21.46,11.25,0,20.62
24,6,1982,21.72,11.1,0,21.15
25,6,1982,21.38,11.49,0,20.14
26,6,1982,21.7,11.03,0,20.66
27,6,1982,21.36,11.47,0,20.7
28,6,1982,21.08,12.06,0,19.39
29,6,1982,20.95,12.2,9.64,20.02
30,6,1982,20.87,11.8,0,19.9
1,7,1982,21.42,12.36,0,18.56
2,7,1982,21.61,12.82,0,18.35
3,7,1982,21.98,12.49,0,19.39
4,7,1982,21.27,12.47,0,19.63
5,7,1982,20.44,11.62,20.88,19.51
6,7,1982,20.47,12.26,0,18.72
7,7,1982,20.81,12.22,0,19.1
8,7,1982,20.5,11.35,0,19.84
9,7,1982,20.91,11.16,0,19.81
10,7,1982,20.63,11.25,0,19.73
11,7,1982,21.64,11.44,0,21.34
12,7,1982,21.8,11.22,0,21.1
13,7,1982,22.09,11.25,0,20.85
14,7,1982,21.34,11.49,0,19.1
15,7,1982,20.59,11.76,0,17.95
16,7,1982,20.21,11.81,0,18.72
17,7,1982,20.72,11.54,0,19.02
18,7,1982,20.36,12.2,0,19.07
19,7,1982,20.31,11.91,0,20.35
20,7,1982,21.32,11.64,0,21.14
21,7,1982,22.28,11.55,0,21.01
22,7,1982,21.61,11.52,0.63,19.47
23,7,1982,20.57,11.53,2.18,18.45
24,7,1982,20.72,12.02,35.01,20.71
25,7,1982,20.13,11.8,22.14,15.81
26,7,1982,19.08,11.77,0,14.42
27,7,1982,20.33,12.18,0,16.94
28,7,1982,20.26,12.03,5.77,19.88
29,7,1982,20.02,11.85,0,19.46
30,7,1982,20.7,11.72,0,19.2
31,7,1982,18.63,11.16,23.19,15.71
1,8,1982,15.29,10.92,14.53,12.6
2,8,1982,16.88,10.86,0,17.29
3,8,1982,17.28,10.55,23.83,20.36
4,8,1982,17.61,10.5,0,17.9
5,8,1982,18.08,10.75,0,20.95
6,8,1982,18.15,10.8,0,22.15
7,8,1982,18.51,10.4,0,21.12
8,8,1982,19.55,10.38,5.86,20.64
9,8,1982,19.73,11.07,34.46,21.77
10,8,1982,19.68,11.25,0,21.97
11,8,1982,19.68,11.12,0,21.49
12,8,1982,20.2,11.62,8.47,19.39
13,8,1982,17.53,11.29,26.53,13.13
14,8,1982,17.72,11.23,0,13.96
15,8,1982,19.01,11.2,1.11,20.19
16,8,1982,19.83,11.2,0,20.52
17,8,1982,19.39,11.4,15.57,20.02
18,8,1982,19.75,11.08,19.74,20.51
19,8,1982,18.06,11.27,0,18.59
20,8,1982,18.38,11.09,0,21.06
21,8,1982,19.18,10.64,0,22.59
22,8,1982,19.73,11.24,0,22.54
23,8,1982,19.92,11.13,13.23,22.15
24,8,1982,20.14,11.38,4.94,21.22
25,8,1982,19.68,11.23,26.47,22.19
26,8,1982,19.5,10.84,20.08,21.45
27,8,1982,19.44,10.83,42.12,22.05
28,8,1982,18.95,10.69,0,22.4
29,8,1982,18.43,10.83,0,21
30,8,1982,19.32,10.3,0,22.93
31,8,1982,19.71,10.8,0,21.71
1,9,1982,20.15,10.89,13.37,22.34
2,9,1982,20.28,10.95,0.44,22.91
3,9,1982,18.88,10.43,0.44,20.33
4,9,1982,19.11,10.68,0.44,20.71
5,9,1982,18.52,10.89,0.44,21.32
6,9,1982,19.05,10.79,0,22.25
7,9,1982,18.59,10.76,0,22.64
8,9,1982,19.24,10.68,0,22.9
9,9,1982,19.78,10.42,0,23.4
10,9,1982,20.26,10.31,0,22.3
11,9,1982,19.73,10.49,14.69,21.72
12,9,1982,19.6,10.63,14.69,21.56
13,9,1982,19.14,10.77,14.69,20.71
14,9,1982,18.52,10.6,14.69,19.25
15,9,1982,19.02,10.89,14.69,20.15
16,9,1982,18.82,10.55,0,20.92
17,9,1982,18.75,10.3,0,20.63
18,9,1982,19.21,10.56,5.29,20.55
19,9,1982,19.22,10.87,0,20.67
20,9,1982,19.15,11.03,2.83,20.22
21,9,1982,19.84,10.36,0,21.84
22,9,1982,20,11.07,0,22.04
23,9,1982,19.89,10.49,0,21.59
24,9,1982,19.19,10.56,22.16,20.98
25,9,1982,18.42,10.02,0,20.64
26,9,1982,18.22,10.4,0,20.44
27,9,1982,17.82,9.98,0,21.45
28,9,1982,18.47,9.88,0,21.24
29,9,1982,19.51,10,0,23.48
30,9,1982,18.58,10.4,0,21.08
1,10,1982,18.39,10.18,0,19.35
2,10,1982,18.19,9.89,1.54,19.41
3,10,1982,17.51,10.25,8.22,20.26
4,10,1982,16.5,9.99,46.3,17.23
5,10,1982,16.67,9.82,1.54,18.94
6,10,1982,15.38,9.48,15.35,17.51
7,10,1982,15.81,8.98,0,20.72
8,10,1982,15.96,8.83,0,21.73
9,10,1982,17.49,7.74,0,25.67
10,10,1982,17.6,8.25,0,24.36
11,10,1982,17.76,9.06,13.14,23.35
12,10,1982,16.9,9.38,0.95,20.97
13,10,1982,15.95,9.14,12.07,17.96
14,10,1982,15.63,9.26,0,17.52
15,10,1982,15.49,9.06,0,20.6
