day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.1,9.4,0,22
2,1,1981,21.23,9.43,0,20.49
3,1,1981,22.07,8.96,0,21.76
4,1,1981,21.88,9.07,0.13,21.25
5,1,1981,22.04,7.94,0.13,23.64
6,1,1981,21.46,7.61,0,21.76
7,1,1981,21.13,7.08,0,23.66
8,1,1981,20.93,6.11,0,24.21
9,1,1981,20.59,6.76,0,23.64
10,1,1981,22.01,7.08,0,23.66
11,1,1981,22.5,8.17,0,22.32
12,1,1981,20.63,9.64,0,17.74
13,1,1981,21.4,7.9,0,22.29
14,1,1981,21.31,8.31,0,21.05
15,1,1981,20.8,8.69,0,20.22
16,1,1981,21.68,7.99,0,22.41
17,1,1981,22.25,8.32,0,23.83
18,1,1981,22.8,8.61,0,24.14
19,1,1981,22.72,8.61,0,23.9
20,1,1981,22.36,7.81,0,24.47
21,1,1981,23,8.36,0,23.96
22,1,1981,22.19,10.09,0,20.81
23,1,1981,22.63,9.66,0,23.32
24,1,1981,21.98,8.81,0,21.97
25,1,1981,23.06,8.43,0,24.53
26,1,1981,23.29,8.38,0,24.01
27,1,1981,22.58,8.5,0,23.66
28,1,1981,22.38,7.84,0,24.93
29,1,1981,21.71,7.56,0,24.21
30,1,1981,21.99,7.36,0,24.81
31,1,1981,21.83,6.22,0,25.65
1,2,1981,21.36,5.69,0,25.63
2,2,1981,21.6,6.6,0,25.42
3,2,1981,22.07,6.46,0,25.59
4,2,1981,22.06,6.81,0,25.43
5,2,1981,22,7.52,0,24.21
6,2,1981,22.63,8.09,0,25.37
7,2,1981,22.47,7.4,0,25.25
8,2,1981,23.28,7.75,0,24.75
9,2,1981,22.75,8.93,0,22.78
10,2,1981,21.81,12.17,0,19.3
11,2,1981,20.56,11.1,0,18.18
12,2,1981,20.38,11.66,26.4,17.98
13,2,1981,20.68,10.76,0,19.75
14,2,1981,21.54,10.31,0,20.3
15,2,1981,21.77,10.35,0,22.06
16,2,1981,20.95,9.83,3.62,20.62
17,2,1981,21.7,10.08,0,20.63
18,2,1981,21.14,10.22,0,21.5
19,2,1981,22.1,9.97,0,21.81
20,2,1981,22.21,9.65,0,23.72
21,2,1981,23.42,8.92,0,25.08
22,2,1981,23.7,8.47,0,25.91
23,2,1981,24.48,8.74,0,25.33
24,2,1981,24.82,9.24,0,24.67
25,2,1981,24.49,9.48,0,25.11
26,2,1981,23.55,9.2,0,24.8
27,2,1981,23.4,9.26,0,22.72
28,2,1981,22.72,10.88,0,22.16
1,3,1981,23.45,10.18,9.71,23.32
2,3,1981,22.96,12.18,27.25,22.59
3,3,1981,21.52,11.55,16.51,20.44
4,3,1981,21.02,11.35,0,19.43
5,3,1981,20.18,12.12,22.79,16.81
6,3,1981,20.45,11.71,4.7,20.57
7,3,1981,20.51,10.92,0,21.56
8,3,1981,20.8,9.48,0,24.7
9,3,1981,21.84,8.63,0,25.64
10,3,1981,21.27,10.13,0,23.13
11,3,1981,21.3,9.64,3.29,22.8
12,3,1981,21.84,10.09,0,21.62
13,3,1981,21.85,10.87,1.3,19.88
14,3,1981,21.55,11.62,2.58,21.34
15,3,1981,22.26,11.73,0,19.97
16,3,1981,20.76,12.15,1.6,19.3
17,3,1981,21.65,10.89,1.83,22.65
18,3,1981,21.89,10.65,6.58,22.6
19,3,1981,20.9,11.48,3.63,19.36
20,3,1981,21.18,10.76,1.93,21.12
21,3,1981,21.96,11.46,7.1,21.78
22,3,1981,21.25,10.4,1.72,21.73
23,3,1981,21,10.56,8.23,22.28
24,3,1981,20.81,10.37,4.57,20.98
25,3,1981,21.08,10.7,5.32,22.01
26,3,1981,21.29,11.43,0,21.41
27,3,1981,18.44,12.19,0,15.03
28,3,1981,19.69,10.81,0,18.74
29,3,1981,19.57,11.47,0,16.93
30,3,1981,21.02,11.55,30.49,21.51
31,3,1981,20.69,12.32,0,19.6
1,4,1981,19.31,11.65,0,17.36
2,4,1981,19.21,12.44,0,18.29
3,4,1981,19.92,11.57,0,19.65
4,4,1981,20.58,9.98,1.43,21.32
5,4,1981,20.45,11.8,0.25,20
6,4,1981,20.31,10.85,0.48,21.68
7,4,1981,21.23,10.57,0,22.93
8,4,1981,20.7,10.72,0,21.5
9,4,1981,21.08,10.53,0,21.57
10,4,1981,20.61,10.68,0,21.61
11,4,1981,20.67,10.89,0,21.19
12,4,1981,20.65,11.13,0,20.27
13,4,1981,20.55,11.77,0,21.16
14,4,1981,20.39,10.27,0.78,21.64
15,4,1981,22.37,11.62,0,22.67
16,4,1981,22.44,11.46,0,23.02
17,4,1981,21.02,11.14,0,20.93
18,4,1981,21.1,11.72,2.63,22.34
19,4,1981,20.88,11.44,0,22.7
20,4,1981,20.51,11.99,4.74,21.92
21,4,1981,20.1,11.41,37.11,20.42
22,4,1981,19.97,11.34,0,18.9
23,4,1981,19.77,11.46,0,20.04
24,4,1981,19.06,11.21,0,17.46
25,4,1981,19.3,10.76,0,20.39
26,4,1981,20.54,8.9,0,23.64
27,4,1981,20.06,9.55,6.61,22.85
28,4,1981,20.77,8.82,0,24.83
29,4,1981,21.93,8.08,0,26.54
30,4,1981,21.99,7.85,0,25.64
1,5,1981,21.51,8.76,0,23.45
2,5,1981,21.59,10.44,0,22.58
3,5,1981,22.39,8.86,0,24.45
4,5,1981,22,8.95,0,24.6
5,5,1981,22.53,8.92,0.2,25.16
6,5,1981,22.8,8.91,0,25.62
7,5,1981,22.95,9.19,0,25.04
8,5,1981,21.3,8.91,0,22
9,5,1981,21.81,9.81,0,23.24
10,5,1981,20.6,8.43,0,21.74
11,5,1981,21.69,9.21,0,22.19
12,5,1981,22.25,9.5,0,23.59
13,5,1981,22.27,9.97,0,22.58
14,5,1981,22.54,9.55,0,23.74
15,5,1981,22.85,9.03,0,25.6
16,5,1981,22.95,8.79,0,24.98
17,5,1981,22.89,9.84,8.13,23.59
18,5,1981,21.64,10.42,0,21.22
19,5,1981,22.85,10.61,0,21.69
20,5,1981,23.27,9.73,0,23.99
21,5,1981,22.6,10.75,0,21.34
22,5,1981,21.97,10.25,0,20.15
23,5,1981,23.24,9.67,0,22.5
24,5,1981,22.49,12.02,0,20.05
25,5,1981,23.06,10.01,0,20.79
26,5,1981,23.42,9.47,0,21.15
27,5,1981,23.78,9.46,0,22.35
28,5,1981,23.36,10.15,0,21.83
29,5,1981,22.55,10.94,5.31,19.04
30,5,1981,21.95,10.38,0,18.63
31,5,1981,23.04,9.85,0,19.99
1,6,1981,24.24,10.13,0,23.55
2,6,1981,23.23,11.23,0,19.95
3,6,1981,21.98,11.28,3.13,18.79
4,6,1981,22.1,10.21,0,19.34
5,6,1981,22.44,10.17,0,19.02
6,6,1981,22.11,9.84,0,19.53
7,6,1981,22.07,10.85,0,19.09
8,6,1981,22.49,10.87,0,19.67
9,6,1981,22.65,10.6,0,19.32
10,6,1981,23.26,9.53,0,20.21
11,6,1981,23.45,9.08,0,19.44
12,6,1981,23.2,11.14,0,20.03
13,6,1981,22.09,10.65,0,19.55
14,6,1981,20.97,9.51,0,19.15
15,6,1981,21.69,9.03,0,19.58
16,6,1981,22.09,9.46,0,19.44
17,6,1981,21.04,9.65,0,18.66
18,6,1981,21.98,8.98,0,19.9
19,6,1981,21.61,10.51,0,19.44
20,6,1981,22.69,8.91,0.2,20.4
21,6,1981,20.91,10.03,0,17.74
22,6,1981,21.14,10.1,7.84,19.22
23,6,1981,20.83,9.79,0,18.86
24,6,1981,21.09,9.65,11.59,19.44
25,6,1981,20.43,9.38,0,18.55
26,6,1981,20.19,9.95,0,18.68
27,6,1981,20.3,9.13,0,18.99
28,6,1981,20.09,9.69,0,18.82
29,6,1981,19.95,9.91,0,17.75
30,6,1981,20.08,9.43,15.82,17.84
1,7,1981,20.29,9.57,0,18.33
2,7,1981,20.01,10.5,0,17.37
3,7,1981,19.47,10.83,5.62,15.8
4,7,1981,19.02,10.15,18.61,16.2
5,7,1981,19.39,10.06,0,18.13
6,7,1981,20.1,10.31,1.84,18.54
7,7,1981,19.84,9.99,4.05,17.61
8,7,1981,19.78,9.42,4.66,17.71
9,7,1981,19.79,9.74,7.42,17.59
10,7,1981,18.95,10.1,15.24,15.42
11,7,1981,18.1,10.24,8.36,12.8
12,7,1981,19.36,9.65,16.91,17.63
13,7,1981,19.66,9.89,3.42,18.62
14,7,1981,20.1,9.23,4.54,19.1
15,7,1981,19.74,9.56,3.38,18.76
16,7,1981,18.38,10,6.98,14.33
17,7,1981,18.92,10.15,5.38,15.95
18,7,1981,19.11,10.5,7.18,17.54
19,7,1981,19.57,10.55,8.13,16.91
20,7,1981,18.79,10.86,12.78,14.11
21,7,1981,19.92,9.36,7.26,17.82
22,7,1981,20.31,10.17,6.94,18.09
23,7,1981,20.22,9.74,10.02,19.72
24,7,1981,20.33,10.59,15.69,17.98
25,7,1981,19.01,10.02,20.1,13.86
26,7,1981,18.88,10.49,21.21,16.73
27,7,1981,19.17,10.04,4.71,18.09
28,7,1981,19.5,9.67,7.62,17.16
29,7,1981,20.13,9.91,8.17,18.89
30,7,1981,18.61,10.25,26.48,14.23
31,7,1981,19.61,10.21,7.09,17.57
1,8,1981,19.9,10.07,7.79,19.63
2,8,1981,20.29,10.57,24.58,19.85
3,8,1981,20.34,9.77,4.69,18.76
4,8,1981,19.72,10.17,4.5,17.58
5,8,1981,19.98,10.16,10.56,17.6
6,8,1981,19.57,10.51,18.23,15.41
7,8,1981,19.53,10.12,0,17.52
8,8,1981,19.35,10.5,0,17.96
9,8,1981,19.78,9.56,4.85,18.58
10,8,1981,20.17,10.3,12.96,18.93
11,8,1981,20.68,10.36,10.06,19.97
12,8,1981,20.36,10.16,11.83,18.67
13,8,1981,18.63,10.56,4.65,14.24
14,8,1981,20.1,9.71,4.68,19.45
15,8,1981,19.8,10.2,4.13,17.88
16,8,1981,19.82,8.94,5.43,20.62
17,8,1981,19.22,9.2,7.67,19.51
18,8,1981,19.34,9.52,8.22,19.48
19,8,1981,19.29,10.04,5.36,18.78
20,8,1981,19.24,9.64,11.13,19.85
21,8,1981,19.03,10.15,7.57,17.9
22,8,1981,17.94,9.8,18.79,14.33
23,8,1981,18.82,8.88,0,17.6
24,8,1981,18.75,9.27,1.16,17.85
25,8,1981,19.39,9.03,0,19.6
26,8,1981,19.95,8.53,7.37,21.1
27,8,1981,19.38,9.81,6.7,19.48
28,8,1981,20.33,8.91,10.67,22.19
29,8,1981,19.72,8.98,11.17,19.58
30,8,1981,19.63,9.6,12.12,20.88
31,8,1981,18.84,9.37,11.17,18.91
1,9,1981,18.76,9.37,8.16,18.62
2,9,1981,18.99,9.13,0,21.09
3,9,1981,19.22,8.5,0,20.32
4,9,1981,19.51,8.68,8.75,19.31
5,9,1981,19.37,9.18,9.78,19.02
6,9,1981,19.35,9.3,14.38,20.67
7,9,1981,19.63,9.18,0,20.15
8,9,1981,18.91,9.92,0,16.06
9,9,1981,18.85,8.82,6.44,18.94
10,9,1981,19.42,8.8,6.44,20.47
11,9,1981,19.7,8.39,8.21,20.22
12,9,1981,18.55,9.42,0,17.56
13,9,1981,19.05,9.63,6.15,19.44
14,9,1981,19.06,9.5,4.63,19.96
15,9,1981,18.66,9.02,4.87,18.78
16,9,1981,18.78,9.73,16.89,18.78
17,9,1981,19.52,9.46,0,20.21
18,9,1981,18.93,9.57,0,18.24
19,9,1981,19.2,9.77,10.03,19.24
20,9,1981,19.12,8.9,0,20.46
21,9,1981,19.79,8.44,0,21.73
22,9,1981,19.33,8.45,2.55,20.42
23,9,1981,20.48,9.2,2.75,21.71
24,9,1981,19.32,9.07,3.18,19.78
25,9,1981,19.53,10.1,7.06,18.6
26,9,1981,19.66,9.78,8.04,19.66
27,9,1981,18.82,9.35,0,21.29
28,9,1981,19.6,8.21,0,21.53
29,9,1981,18.5,8.41,0,20.16
30,9,1981,19.15,7.94,0,20.79
1,10,1981,19.88,8.93,0,21.19
2,10,1981,19.31,8.86,0.18,20.66
3,10,1981,19.3,9.21,0,19.87
4,10,1981,19.23,8.67,6.08,20
5,10,1981,19.14,9.22,0,20.97
6,10,1981,19.24,8.54,3.61,20.53
7,10,1981,19.48,7.74,0,21.86
8,10,1981,19.58,7.99,0,21.57
9,10,1981,19.71,7.52,0,20.87
10,10,1981,20.08,7.73,0,22.83
11,10,1981,20.33,6.42,0,24.93
12,10,1981,20.22,6.07,0,25.36
13,10,1981,20.67,5.76,0,25.46
14,10,1981,20.42,7.34,0,22.6
15,10,1981,20.13,7.41,0,23
16,10,1981,20.65,7.34,0,24.88
17,10,1981,20.47,7.24,0,25.39
18,10,1981,20.64,6.92,0,25.43
19,10,1981,20.57,5.9,0,25.79
20,10,1981,20.33,6.27,0,24.05
21,10,1981,20.62,7.25,0,23.84
22,10,1981,20.46,7.38,0,23.77
23,10,1981,21.42,6.98,0,24.21
24,10,1981,20.64,7.49,0,21.88
25,10,1981,20.5,6.47,0,25.6
26,10,1981,19.85,6.01,0,25.21
27,10,1981,19.47,6,0,25.6
28,10,1981,20.63,6.76,0,23.32
29,10,1981,20.97,6.45,0,24.84
30,10,1981,20.96,6.85,0,24.43
31,10,1981,21.21,7.13,0,23.87
1,11,1981,21.74,7.32,0,24.58
2,11,1981,21.93,7.81,0,23.86
3,11,1981,20.22,8.02,0,20.88
4,11,1981,21.48,9.08,0.45,21.79
5,11,1981,21,8.59,0,20.12
6,11,1981,21.41,7.48,0,24.61
7,11,1981,21.12,7.01,0,24.27
8,11,1981,20.63,6.79,0,24.95
9,11,1981,20.29,6.08,0,24.76
10,11,1981,21.17,6.72,0,23.9
11,11,1981,21.21,6.48,0,24.66
12,11,1981,21.22,6.92,0,24.44
13,11,1981,21.18,6.72,0,24.43
14,11,1981,20.71,5.94,0,24.76
15,11,1981,20.63,5.64,0,24.68
16,11,1981,20.73,5.74,0,24.58
17,11,1981,20.81,6.33,0,23.89
18,11,1981,21.13,7.09,0,23.01
19,11,1981,20.98,8.05,0,23.63
20,11,1981,21.39,7.53,0,23.54
21,11,1981,21.31,7.57,0,22.81
22,11,1981,21,8.15,0,21.47
23,11,1981,21.22,9.17,0,20.87
24,11,1981,20.51,9.06,0,21.41
25,11,1981,20.72,7.03,0,23.08
26,11,1981,21.03,7.11,0,23.01
27,11,1981,21.45,6.84,0,23.61
28,11,1981,21.45,6.37,0,23.75
29,11,1981,21.58,7.01,0,23.41
30,11,1981,19.89,5.8,0,23.94
1,12,1981,19.26,5.52,0,23.76
2,12,1981,20.21,6.15,0,23.47
3,12,1981,20.82,6.01,0,23.68
4,12,1981,20.82,5.15,0,23.98
5,12,1981,20.79,5.83,0,23.77
6,12,1981,20.57,7.03,0,22.89
7,12,1981,20.76,7.82,0,22.4
8,12,1981,20.52,6.7,0,23.21
9,12,1981,21.04,4.98,0,23.88
10,12,1981,20.89,4.91,0,23.85
11,12,1981,21.41,5.54,0,23.87
12,12,1981,21.59,5.39,0,23.68
13,12,1981,21.54,5.77,0,23.48
14,12,1981,21.3,6.44,0,23.35
15,12,1981,21.61,7.29,0,23.19
16,12,1981,21.77,8.45,0,22.59
17,12,1981,22.19,8.44,0,22.29
18,12,1981,21.08,8.48,0,19.76
19,12,1981,19.46,8.12,0,17.03
20,12,1981,20.05,8.56,0,18.02
21,12,1981,19.44,9.06,0,16.21
22,12,1981,20.67,8.58,0,20.24
23,12,1981,20.64,7.76,0,21.89
24,12,1981,21.74,6.98,0,23
25,12,1981,22.37,8.16,0,22.18
26,12,1981,21.25,9.04,0,20.56
27,12,1981,21.48,8.14,0,22.92
28,12,1981,21.59,7.71,0,22.64
29,12,1981,21.89,8.21,0,22.21
30,12,1981,21.43,9.08,4.28,20.73
31,12,1981,20.42,10.05,0,18.98
1,1,1982,19.87,10.81,5.89,16.98
2,1,1982,20.25,10.81,0,18.41
3,1,1982,19.57,10.66,0,16.69
4,1,1982,19.77,9.31,0,16.83
5,1,1982,21.23,8.58,0,20.3
6,1,1982,20.41,8.92,0,19.89
7,1,1982,21.2,8.41,0,22.44
8,1,1982,21.43,7.84,0,23.16
9,1,1982,21.37,7.46,0,23.34
10,1,1982,22.23,8.1,0,21.04
11,1,1982,21.68,8.53,3.66,23.38
12,1,1982,21.74,8.27,0,23.09
13,1,1982,20.14,10.55,0.17,19.03
14,1,1982,18.96,10.7,0,18.04
15,1,1982,19.88,10.19,7.19,18.68
16,1,1982,18.49,10.95,0,17.27
17,1,1982,19.43,10.6,0,18.76
18,1,1982,19.45,10.2,0,16.89
19,1,1982,18.79,9.44,0,17.35
20,1,1982,19.94,9.62,0,18.8
21,1,1982,20.2,8.47,0,20.41
22,1,1982,19.78,8.35,0,18.87
23,1,1982,20.75,8.14,0,22.15
24,1,1982,21.01,8.16,0,21.38
25,1,1982,22,8.19,0,21.85
26,1,1982,21.76,7.43,0,24.66
27,1,1982,22.65,7.41,0,24.31
28,1,1982,23.36,7.51,0,24.2
29,1,1982,23.74,8.32,0,24.74
30,1,1982,22.43,7.75,0,24.38
31,1,1982,22.99,8,0,23.94
1,2,1982,22.35,8.28,0,24.96
2,2,1982,21.55,8.35,0,21
3,2,1982,21.18,9.35,0,19.47
4,2,1982,21.63,9.81,0,19
5,2,1982,21.01,9.96,0,18.9
6,2,1982,21.52,9.43,0,20.34
7,2,1982,20.97,8.57,0,20.46
8,2,1982,21.37,9.25,0,20.23
9,2,1982,20.13,11,0,17.94
10,2,1982,20.83,10.83,0,20.03
11,2,1982,21.58,9.09,0,23.06
12,2,1982,20.25,9.3,0,19.01
13,2,1982,19.65,10.87,0,17.54
14,2,1982,18.63,10.69,0,17.38
15,2,1982,19.28,11.54,34.74,17.66
16,2,1982,19,10.43,6.04,18.84
17,2,1982,20.05,10.69,0,18.78
18,2,1982,19.87,11.51,5.94,18.59
19,2,1982,19.7,10.2,0,20.96
20,2,1982,21.58,8.36,0,25.36
21,2,1982,21.78,8.32,0,25.41
22,2,1982,22.04,8.21,0,25.42
23,2,1982,23.02,7.86,0,25.62
24,2,1982,22.03,8.74,0,24.26
25,2,1982,21.47,8.91,12.9,22.14
26,2,1982,21.79,10.66,3.18,22.08
27,2,1982,20.65,11.01,10.97,19.32
28,2,1982,21.33,10.36,0,21.9
1,3,1982,21.76,10.04,0,22.8
2,3,1982,21.59,9.88,0,22.87
3,3,1982,20.89,10.32,0,21.64
4,3,1982,20.41,10.49,3.06,20.27
5,3,1982,20.07,10.67,0,20.54
6,3,1982,20.72,9.44,0,21.86
7,3,1982,22.14,8.49,0,25.74
8,3,1982,21.89,7.71,0,25.94
9,3,1982,21.66,8.84,0,22.83
10,3,1982,21.4,8.73,0,23.67
11,3,1982,21.63,9.51,0,25.53
12,3,1982,23.4,8.61,0,26.92
13,3,1982,23.04,8.88,0,26.87
14,3,1982,23.19,9.45,0,26.31
15,3,1982,21.28,9.21,0,24.14
16,3,1982,22.12,9.24,0,24.65
17,3,1982,23.31,8.56,0,26.38
18,3,1982,23.43,8.85,0,25.22
19,3,1982,22.3,9.45,0,23.7
20,3,1982,23.33,10.21,0.05,24.48
21,3,1982,23.18,9.67,0,24.87
22,3,1982,24.02,8.83,0,25.92
23,3,1982,23.47,10.29,0,23.77
24,3,1982,24.26,10.42,0,26.2
25,3,1982,25.1,10.12,0,27.12
26,3,1982,24.92,10.33,0,25.52
27,3,1982,24.25,11.83,0,23.94
28,3,1982,22.05,11.58,7.08,20.11
29,3,1982,21.57,11.24,11.2,19.95
30,3,1982,21.05,11.45,15.88,18.56
31,3,1982,18.7,11.38,16.76,15.76
1,4,1982,17.75,11.04,0,16.96
2,4,1982,17.97,10.26,0,17.09
3,4,1982,19.73,10.6,0,21.72
4,4,1982,20.14,11.19,0.46,21.9
5,4,1982,20.56,10.33,7.21,22.27
6,4,1982,20.92,10.14,2.71,22.09
7,4,1982,20.7,10.3,3.36,22.71
8,4,1982,20.32,10.86,0,20.65
9,4,1982,20.54,10.14,0,23.28
10,4,1982,20.95,10.33,0,24.4
11,4,1982,20.76,9.69,0,20.28
12,4,1982,20.93,10.32,0,22.41
13,4,1982,21.44,10.51,2.83,22.59
14,4,1982,20.6,9.7,16.05,22.72
15,4,1982,21.09,9.11,0,24.82
16,4,1982,22.04,9.82,6.22,24.48
17,4,1982,20.14,10.39,0,22.94
18,4,1982,21.38,9.42,0,24.27
19,4,1982,21.02,9.88,0,23.54
20,4,1982,21.55,8.84,0,22.43
21,4,1982,21.77,9.85,0,23.79
22,4,1982,21.38,9.48,0,23.37
23,4,1982,22.4,9.11,0,25.16
24,4,1982,21.71,9.05,0,24.26
25,4,1982,22.06,8.49,0,24.22
26,4,1982,21.37,9.84,0,20.73
27,4,1982,20.91,10.23,6.39,20.67
28,4,1982,21.53,10.53,0,21.74
29,4,1982,21.89,9.37,0,25.07
30,4,1982,22.75,8.89,0,25.96
1,5,1982,22.6,8.92,0,26.06
2,5,1982,22.82,8.81,0,25.85
3,5,1982,22.8,9.1,0,24.86
4,5,1982,22.63,8.98,0,24.64
5,5,1982,22.49,10.87,0,22.86
6,5,1982,21.38,11.09,0,20.89
7,5,1982,20.79,11.1,0,18.63
8,5,1982,20.35,11.55,26.71,18.18
9,5,1982,20.16,11.09,0,18.5
10,5,1982,20.34,11.21,9.39,19.49
11,5,1982,19.51,10.96,0,17.07
12,5,1982,20.39,10.57,36.66,19.18
13,5,1982,20.43,9.97,0,19.94
14,5,1982,20.45,10.36,21.74,21.77
15,5,1982,20.57,10.68,3.76,18.91
16,5,1982,20.55,9.99,0,19.96
17,5,1982,20.89,9.9,0,24.13
18,5,1982,21.31,7.97,0,24.63
19,5,1982,21.74,7.39,0,25.63
20,5,1982,21.54,6.77,0,25.58
21,5,1982,21.73,7.34,0,24.36
22,5,1982,21.77,7.37,0,22.49
23,5,1982,21.77,9.48,0,20.93
24,5,1982,20.66,10.21,0.33,20.37
25,5,1982,21.01,9.64,0,20.5
26,5,1982,20.62,9.24,3.92,20.55
27,5,1982,20.87,9.68,0,19.89
28,5,1982,21.38,8.59,0,21.34
29,5,1982,21.18,9.55,0,20
30,5,1982,22.15,9.43,0,20.33
31,5,1982,22.53,8.55,0,22.48
1,6,1982,22.31,8.78,0,21.98
2,6,1982,21.3,9.89,0,19.74
3,6,1982,20.6,10.11,0,19.6
4,6,1982,22.14,9.4,0,20.29
5,6,1982,21.89,8.78,0,21.23
6,6,1982,21.56,9.69,0,20.05
7,6,1982,22.98,8.33,0,22.34
8,6,1982,22.19,8.89,0,21.51
9,6,1982,22.41,10,0,20.84
10,6,1982,22.34,9.78,0,20.06
11,6,1982,22.36,11.17,0,19.15
12,6,1982,21.56,9.8,0,17.68
13,6,1982,20.77,9.75,0,17.86
14,6,1982,20.55,9.31,9.04,18.4
15,6,1982,20.45,9.38,1.26,18.32
16,6,1982,19.66,9.73,0,16.36
17,6,1982,20.64,9.68,0,18.49
18,6,1982,19.9,10.46,6.45,16.91
19,6,1982,20.45,9.42,19.13,17.85
20,6,1982,20.31,10.12,10.78,17.93
21,6,1982,20.24,9.83,0,17.47
22,6,1982,20.22,8.62,0.08,18.37
23,6,1982,19.94,8.59,0,19.76
24,6,1982,19.92,9.04,4.36,18.46
25,6,1982,19.89,9.46,3.9,18.08
26,6,1982,19.4,9.61,1.88,17.17
27,6,1982,20.06,8.87,0,18.7
28,6,1982,19.75,9.75,0,17.24
29,6,1982,19.87,10.27,0,18.35
30,6,1982,19.66,10.35,0,18.15
1,7,1982,19.46,9.99,5.48,17.22
2,7,1982,19.16,9.95,2.82,14.23
3,7,1982,19.95,10.54,3.6,17.95
4,7,1982,19.59,10.07,5.36,18.25
5,7,1982,19.45,9.65,3.15,17.71
6,7,1982,19.68,9.58,0,16.81
7,7,1982,19.29,9.81,0,15.94
8,7,1982,19.56,9.07,0,18.41
9,7,1982,19.25,8.7,0,18.02
10,7,1982,19.67,9.32,0,18.01
11,7,1982,20.46,8.99,0,19.96
12,7,1982,20.64,8.72,0,19.74
13,7,1982,20.46,9.1,0,19.53
14,7,1982,19.4,9.6,0,17.21
15,7,1982,18.94,9.78,1.92,15.14
16,7,1982,19.13,9.62,5.17,17.97
17,7,1982,18.35,9.97,0,14.29
18,7,1982,18.81,9.63,3.26,15.72
19,7,1982,18.84,8.87,0,16.62
20,7,1982,19.01,9.61,0,17.14
21,7,1982,19.9,9.49,14.32,18.82
22,7,1982,18.85,10.15,10.66,16.05
23,7,1982,18.17,10.14,11.16,14.94
24,7,1982,19.24,9.35,11.38,15.91
25,7,1982,18.87,9.77,2.28,16.62
26,7,1982,18.46,10.09,8.5,15.27
27,7,1982,19.04,10.14,10.73,15.76
28,7,1982,18.61,10.43,20.62,14.62
29,7,1982,18.69,10.14,24.14,17.88
30,7,1982,19.31,9.36,16,17.78
31,7,1982,18.89,9.63,11.02,17.62
1,8,1982,18.62,9.52,12.24,16.8
2,8,1982,18.22,10.37,2.91,13.88
3,8,1982,18.64,9.97,13.4,17.62
4,8,1982,19.12,9.51,7.43,18.23
5,8,1982,19.54,9.01,3.62,19
6,8,1982,19.64,9.61,10.23,19.5
7,8,1982,18.95,9.57,0.13,17.23
8,8,1982,18.87,9.38,17.92,17.94
9,8,1982,19,10.03,20.3,16.35
10,8,1982,19.59,9.41,0,19.08
11,8,1982,18.98,9.97,7.04,17.03
12,8,1982,18.59,9.96,21.92,15.02
13,8,1982,15.38,9.36,20.93,7.99
14,8,1982,17.43,8.88,0,13.96
15,8,1982,18.78,9.32,0,17.63
16,8,1982,19.36,9.66,23.49,18.22
17,8,1982,18.01,9.56,12.93,13.91
18,8,1982,19.14,9.12,0,18.39
19,8,1982,15.88,9.74,4.47,8.74
20,8,1982,19.55,9.62,1.06,18.28
21,8,1982,19.15,10.16,0,18.62
22,8,1982,19.49,10.26,1.33,19.07
23,8,1982,19.74,9.42,0,19.3
24,8,1982,19.94,10.12,18.98,18.1
25,8,1982,19.41,9.85,37.96,17.6
26,8,1982,20.08,9.76,16.97,19.69
27,8,1982,19.82,10.39,10.09,19.01
28,8,1982,19.27,9.59,0,18.82
29,8,1982,18.96,9.63,0,19.13
30,8,1982,19.64,8.77,0,19.87
31,8,1982,19.38,8.91,0,19.71
1,9,1982,19.62,9.67,0,19.29
2,9,1982,19.97,9.64,0,20.39
3,9,1982,18.99,9.25,3.75,17.48
4,9,1982,19.94,9.36,1.38,20.61
5,9,1982,19.18,10.22,11.05,19.05
6,9,1982,19.66,9.18,0,19.7
7,9,1982,19.16,9.33,0,19.92
8,9,1982,19.21,7.95,4.89,20.89
9,9,1982,19.56,9.19,0,19.97
10,9,1982,19.65,8.19,5.31,21.11
11,9,1982,19.43,8.72,6.27,20.58
12,9,1982,19.42,8.94,11.64,20.35
13,9,1982,18.98,8.65,13.33,18.93
14,9,1982,18.46,8.95,12.63,17.08
15,9,1982,18.65,9.67,0,19.02
16,9,1982,18.95,9.56,3.36,19.52
17,9,1982,18.95,9.2,1.7,18.9
18,9,1982,19.11,8.24,0,19.99
19,9,1982,18.86,9.16,0,19.5
20,9,1982,18.54,8.56,0,19.61
21,9,1982,19.36,8.38,0,20.6
22,9,1982,19.27,9.14,0,20.48
23,9,1982,19.17,8.73,16.62,20.22
24,9,1982,18.52,9.52,0,18.86
25,9,1982,18.73,9.6,0,18.75
26,9,1982,18.38,8.69,0.28,19.39
27,9,1982,18.81,8.37,0,21.11
28,9,1982,18.21,8.57,0,19.83
29,9,1982,18.93,8.87,0,21.1
30,9,1982,18.99,8.24,0,21.84
1,10,1982,18.57,8.09,0.16,19.54
2,10,1982,18.91,9.11,0,19.39
3,10,1982,18.48,9.6,5.58,17.93
4,10,1982,18.71,10.1,0,18.76
5,10,1982,18.42,9.6,0,18.53
6,10,1982,18.31,9.56,0,18.3
7,10,1982,18.56,8.87,0,19.6
8,10,1982,17.52,9.63,3.45,18.96
9,10,1982,19.06,7.5,0,24.35
