day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,31.41,16.33,0,21.97
2,1,1981,30.43,17.37,0,21.52
3,1,1981,31.16,17.01,0,21.92
4,1,1981,29.56,18.26,5.62,19.78
5,1,1981,31.3,18.49,0.16,21.54
6,1,1981,29.66,18.16,5.07,19.16
7,1,1981,30.38,17.04,0,21.52
8,1,1981,31.31,17.74,0,22.06
9,1,1981,31.56,16.74,0,23.76
10,1,1981,31.49,15.85,0,23.69
11,1,1981,31.6,16.51,0,22.96
12,1,1981,30.48,18.23,0,21.08
13,1,1981,31.61,18.04,0,22.42
14,1,1981,31.02,19.66,0,19.3
15,1,1981,31.47,18.25,0,20.01
16,1,1981,30.54,18.27,0,19.92
17,1,1981,31.05,16.5,0,22.03
18,1,1981,31.6,17.93,0,21.95
19,1,1981,31.64,18.2,0,21.11
20,1,1981,32.58,16.59,0,23.73
21,1,1981,31.75,17.61,0,22.35
22,1,1981,31.24,19.14,0,20.69
23,1,1981,30.86,19.43,0,21.16
24,1,1981,30.86,18.39,0,21.49
25,1,1981,32.67,17.94,0,24.31
26,1,1981,32.5,18.25,0,22.89
27,1,1981,32.16,18.48,0,23.34
28,1,1981,32.72,18.48,0,24.95
29,1,1981,32.17,17.66,0,22.58
30,1,1981,29.57,18.3,0,19.77
31,1,1981,31.82,17.42,0,24.18
1,2,1981,32.15,17.3,0,24.85
2,2,1981,32.17,17.21,0,24.66
3,2,1981,32.33,16.89,0,25.28
4,2,1981,32.34,16.04,0,23.41
5,2,1981,32.5,16.35,0,24.29
6,2,1981,33.05,15.91,0,24.93
7,2,1981,32.51,16.66,0,23.87
8,2,1981,32.46,17.71,0,23.11
9,2,1981,32.19,17.61,0,22.17
10,2,1981,31.9,19.25,0,22.08
11,2,1981,31.43,19.12,0,20.34
12,2,1981,30.47,18.82,0,21.04
13,2,1981,30.46,18.04,0,20.18
14,2,1981,30.42,17.59,2.98,21.35
15,2,1981,30.77,18.39,14.62,20.8
16,2,1981,25.96,18.58,3.47,15.7
17,2,1981,29.85,17.19,3.9,21.19
18,2,1981,29.66,17.97,7.84,20.62
19,2,1981,29.89,17.6,0,21.21
20,2,1981,30.43,18.05,0,22.61
21,2,1981,31.42,18.17,0,23.53
22,2,1981,32.02,17.41,0,23.8
23,2,1981,32.52,18,0,24.5
24,2,1981,32.25,18.45,3.61,23.95
25,2,1981,32.34,18.29,0,23.63
26,2,1981,32.15,19.09,0,23.26
27,2,1981,31.34,19.07,0,22.6
28,2,1981,32.23,18.58,0,22.91
1,3,1981,31.79,18.39,0,23.4
2,3,1981,31.56,19.91,4.94,21.61
3,3,1981,30.82,19.36,0,20.01
4,3,1981,29.92,19.03,0,20.63
5,3,1981,30.42,18.12,0,21.43
6,3,1981,30.68,18.67,2.81,22.08
7,3,1981,30.79,18.92,0,21.57
8,3,1981,32.07,18.3,0,24.57
9,3,1981,32.52,18.36,0,24.15
10,3,1981,31.12,18.25,0,22.57
11,3,1981,30.85,18.78,0,21.76
12,3,1981,30.7,19.01,12.61,21.46
13,3,1981,29.06,17.97,0.28,20.03
14,3,1981,29.85,18.79,2.46,20.34
15,3,1981,29.18,18.81,0,19.66
16,3,1981,27.74,18.75,1.8,16.13
17,3,1981,29.39,18.76,0.11,20.98
18,3,1981,28.72,18.58,3.19,19.59
19,3,1981,28.07,18.27,14.47,18.85
20,3,1981,28.25,18.61,7.02,19.27
21,3,1981,27.06,17.92,9.37,15.84
22,3,1981,29.24,17.18,27.56,19.91
23,3,1981,26.62,18.23,18.82,16.67
24,3,1981,27.91,17.31,10.14,18.66
25,3,1981,24.18,17.93,15.56,12.25
26,3,1981,26.45,17.55,12.21,16.49
27,3,1981,26.52,18.34,15.96,17.21
28,3,1981,27.92,16.96,16.29,20.64
29,3,1981,27.15,18.15,6.26,19.02
30,3,1981,27.6,18.05,9.72,19.16
31,3,1981,27.49,17.77,32.66,18.64
1,4,1981,26.72,18.11,6.59,17.53
2,4,1981,27.7,17.25,9.73,19.66
3,4,1981,28.89,17.67,0,21.21
4,4,1981,28.87,17.85,4.54,23.71
5,4,1981,27.25,18.97,10.03,18.77
6,4,1981,28.63,18.41,6.71,20.16
7,4,1981,28.22,17.48,4.44,20.39
8,4,1981,28.74,17.88,0,21.29
9,4,1981,28.94,17.94,3.6,20.85
10,4,1981,29.17,18.49,10.62,20.89
11,4,1981,27.75,18.33,11.04,17.96
12,4,1981,27.67,18.48,9.32,16.91
13,4,1981,27.92,17.66,6.55,20.31
14,4,1981,28.23,18.57,8.74,18.95
15,4,1981,28.51,18.73,14.54,18.1
16,4,1981,29.56,18.28,12.69,21.07
17,4,1981,28.78,18.17,0,21.21
18,4,1981,28.13,18.58,10.17,20.75
19,4,1981,27.84,18.92,17.65,18.61
20,4,1981,27.17,18.94,9.09,18.34
21,4,1981,26.74,17.96,6.29,17.57
22,4,1981,25.62,18.31,17.03,16.52
23,4,1981,25.46,17.15,0.21,17.9
24,4,1981,27.88,16.26,16.46,21.14
25,4,1981,27.62,16.71,17.74,21.49
26,4,1981,27.95,16.75,7.62,20.79
27,4,1981,27.91,16.98,14.16,19.5
28,4,1981,28.38,17.76,2.22,22.12
29,4,1981,28.84,18.23,0,22.99
30,4,1981,29,18.44,0,21.38
1,5,1981,28.17,17.61,6,20.2
2,5,1981,27.98,17.49,0,20.88
3,5,1981,28.25,17.64,0,20.52
4,5,1981,27.54,17.22,0,20.39
5,5,1981,28.13,17.9,0,19.48
6,5,1981,28.21,18.43,0,19.22
7,5,1981,26.99,17.77,2.76,17.86
8,5,1981,26.53,18.09,4.26,19.07
9,5,1981,27.89,18.38,8.71,20.66
10,5,1981,27.47,17.44,2.6,19.23
11,5,1981,27.04,18,9.73,18.62
12,5,1981,27.31,18.6,13.26,18.76
13,5,1981,27.29,17.84,9.48,19.27
14,5,1981,26.45,18.51,7.27,18.85
15,5,1981,26.19,18.09,3.84,18.1
16,5,1981,27.35,17.59,7.54,20.33
17,5,1981,27.46,17.48,13.94,19.61
18,5,1981,27.7,18.17,6.56,19.95
19,5,1981,27.4,17.76,0,20.32
20,5,1981,27.31,17.74,0,20.5
21,5,1981,26.59,18.02,11.93,19.26
22,5,1981,26.77,18.08,0,18.2
23,5,1981,26.21,17.75,0,19.25
24,5,1981,26.39,18.21,0,19.5
25,5,1981,26.21,18,6.9,19.3
26,5,1981,27.48,17.88,0,20.41
27,5,1981,27.05,18.22,0,19.56
28,5,1981,27.53,18.62,0,20.55
29,5,1981,28.73,18.17,16.82,21.74
30,5,1981,27.35,18.79,15.67,17.5
31,5,1981,27.56,18.99,1.77,18.7
1,6,1981,26.65,17.97,0,18.59
2,6,1981,26.25,18.32,0,18.39
3,6,1981,26.72,18.45,0,17.59
4,6,1981,27.1,17.41,0,18.92
5,6,1981,26.14,18.47,1.39,18.07
6,6,1981,26.45,17.04,2.38,17.85
7,6,1981,26.66,17.42,1.52,17.93
8,6,1981,26.37,17.6,0,17.6
9,6,1981,26.62,17.89,0,18.98
10,6,1981,26.54,17.85,0,19.49
11,6,1981,26.38,17.97,0,18.21
12,6,1981,25.24,18.43,0,16.77
13,6,1981,26.1,17.89,0,18.58
14,6,1981,27.69,17.15,0,22.07
15,6,1981,27.08,17.65,0.38,19.95
16,6,1981,28.02,18.05,1.93,20.55
17,6,1981,27.54,17.39,4.12,18.88
18,6,1981,26.83,17.92,3.96,18.52
19,6,1981,26.31,18.03,0,18.11
20,6,1981,26.94,18.42,0,18.32
21,6,1981,27.3,18.9,2.53,19.01
22,6,1981,27.59,17.19,2.08,19.36
23,6,1981,29.04,17.44,2.45,20.69
24,6,1981,27.27,17.8,3.11,18.59
25,6,1981,24.3,17.95,8.52,15.03
26,6,1981,26.43,17.82,5.52,19.22
27,6,1981,25.76,16.76,5.24,18.14
28,6,1981,25.74,17.56,0.43,17.78
29,6,1981,26.39,16.97,2.27,18.23
30,6,1981,27.62,16.63,5.36,19.54
1,7,1981,26.29,18.16,32.44,18.11
2,7,1981,25.8,17.29,11.48,17.89
3,7,1981,25.61,17.49,0,17.27
4,7,1981,26.46,17.18,0,19.79
5,7,1981,25.1,18.25,0,17.76
6,7,1981,26.05,17.58,0,19
7,7,1981,25.92,17.71,0,19.31
8,7,1981,26.37,18.57,0,17.14
9,7,1981,26.98,17.93,0,19.23
10,7,1981,26.29,17.74,0,17.95
11,7,1981,23.24,17.41,0,13.47
12,7,1981,26.77,16.8,0,19.79
13,7,1981,26.33,18.08,25.47,18.87
14,7,1981,26.47,17.97,0,18.76
15,7,1981,23.72,17.71,14,14.12
16,7,1981,24.66,17.18,16.2,16.03
17,7,1981,25.76,16.98,8.21,18.67
18,7,1981,25.29,17.43,12.18,18.14
19,7,1981,24.92,17.62,1.98,17.21
20,7,1981,25.03,17.17,0,15.99
21,7,1981,25.46,17.07,2.49,17.63
22,7,1981,26.04,17.83,0,19.4
23,7,1981,25.61,18.08,5.65,17.52
24,7,1981,26.37,17.9,0,19.77
25,7,1981,25.85,16.94,0,18.7
26,7,1981,23.72,17.72,8.57,13.98
27,7,1981,24.2,17.17,8.29,16.05
28,7,1981,25.8,16.87,0,18.6
29,7,1981,26.44,17.84,0.25,19.58
30,7,1981,23.43,17.07,33.9,14.3
31,7,1981,25.65,16.99,0,18.86
1,8,1981,26.56,17.34,4.46,19.51
2,8,1981,27.24,18.51,9.21,20.41
3,8,1981,26.86,18.53,14.74,19.58
4,8,1981,24.08,18.5,0,13.5
5,8,1981,26.6,18.19,0,19.36
6,8,1981,22.8,18.35,17.46,13.05
7,8,1981,23.35,17.8,5.19,12.48
8,8,1981,26.31,17.66,0,19.77
9,8,1981,26.42,17.92,0,20.7
10,8,1981,26.04,18.59,0,19.27
11,8,1981,26.44,18.19,0,18.25
12,8,1981,26.13,18.06,1.55,18.48
13,8,1981,24.38,18.15,8.78,16.21
14,8,1981,24.93,17.89,9.31,16.42
15,8,1981,27.01,17.19,0,20.88
16,8,1981,26.28,17.35,0,19.27
17,8,1981,25.95,17.68,0,19.56
18,8,1981,27.47,17.18,0,23.27
19,8,1981,26.24,18.16,0,21.31
20,8,1981,25.55,17.51,0,19.46
21,8,1981,24.69,17.71,0,16.84
22,8,1981,26.93,16.26,0,21.64
23,8,1981,25.72,18.04,0,18.61
24,8,1981,25.11,17.72,0,17.01
25,8,1981,25.44,18.24,0,18.14
26,8,1981,26.26,17.58,0,20.01
27,8,1981,26.52,17.02,12.14,20.91
28,8,1981,26.8,16.88,0,20.31
29,8,1981,26.49,16.74,0,20.09
30,8,1981,26.69,16.87,0.63,20.45
31,8,1981,24.41,16.77,3.01,17.03
1,9,1981,25.8,17.01,21.36,18.86
2,9,1981,26.02,15.95,0,21.09
3,9,1981,25.18,16.97,0,17.9
4,9,1981,25.23,16.98,6.63,17.48
5,9,1981,26.11,17.21,0,19.47
6,9,1981,26.05,16.31,0,20.34
7,9,1981,25.31,17.38,0,18.19
8,9,1981,23.42,17.2,0,16.17
9,9,1981,25.55,15.66,0,20.12
10,9,1981,27.38,16.98,8.33,22.28
11,9,1981,27.09,17.24,9.42,21.13
12,9,1981,26.35,16.96,0,20.7
13,9,1981,27.68,16.28,0.42,21.63
14,9,1981,26.7,17.06,0.62,19.68
15,9,1981,25.95,16.91,0,18.08
16,9,1981,26.53,17.32,0,19.67
17,9,1981,26.52,17.26,0,19.14
18,9,1981,25.38,17.19,0,18.06
19,9,1981,26.29,16.46,0,19.97
20,9,1981,25.76,17.07,12.48,18.57
21,9,1981,27.11,16.86,0,21.27
22,9,1981,26.39,17.55,0.25,19.49
23,9,1981,27.43,17.1,0,20.72
24,9,1981,27.44,17.27,2.39,20.5
25,9,1981,25.12,18.03,25.81,16.98
26,9,1981,26.86,17.25,35.52,19.15
27,9,1981,26.41,17.71,16.57,18.08
28,9,1981,27.61,17.18,15.85,20.97
29,9,1981,27.66,17.31,13.43,20.95
30,9,1981,27.72,17.46,12.59,20.65
1,10,1981,27.37,16.95,16.73,20.57
2,10,1981,26.3,17.55,0,17.98
3,10,1981,27.53,17,0,21.09
4,10,1981,26.12,17.44,0,19.65
5,10,1981,27.5,16.28,0.59,21.6
6,10,1981,28.09,17.77,11.98,22.04
7,10,1981,28.28,16.67,18.35,21.62
8,10,1981,27.93,16.68,16.88,22.11
9,10,1981,26.55,16.95,10.39,19.29
10,10,1981,27.35,17.2,8.48,20.9
11,10,1981,27.35,17,0,20.84
12,10,1981,27.57,16.66,5.04,21.28
13,10,1981,26.81,16.48,0,19.5
14,10,1981,27.32,16.53,4.69,20.81
15,10,1981,27.33,16.68,4.73,21.97
16,10,1981,27.72,16.64,6.84,21.04
17,10,1981,27.63,16.9,5.99,19.65
18,10,1981,28.22,16.17,0,20.68
19,10,1981,27.21,16.9,0,20.5
20,10,1981,26.22,16.58,0,18.97
21,10,1981,28.07,16.02,0,22.57
22,10,1981,27.61,16.27,0,21.69
23,10,1981,26.89,16.41,0,20.36
24,10,1981,27.35,16.26,0,20.29
25,10,1981,27.01,15.62,0,19.65
26,10,1981,28.45,16.93,0.96,21.59
27,10,1981,28.87,15.8,0,23.72
28,10,1981,29.02,16.83,0,22.98
29,10,1981,29.08,15.89,0,22.94
30,10,1981,29.62,15.66,0,23.5
31,10,1981,28.47,16.25,0,21.47
1,11,1981,27.45,16.63,0,20.07
2,11,1981,27.25,16.68,24.05,19.13
3,11,1981,27.58,16.73,0,19.7
4,11,1981,27.8,16.03,0,20.91
5,11,1981,27.69,16.3,0,20.9
6,11,1981,28.01,16.5,0,20.84
7,11,1981,29.54,15.92,0,20.51
8,11,1981,28.62,17.03,0,21.83
9,11,1981,29.47,16.22,0,24.6
10,11,1981,30,15.74,0,24.33
11,11,1981,30.31,16.9,0,24.39
12,11,1981,29.56,17.67,0,22.29
13,11,1981,29.48,16.5,0,22.22
14,11,1981,29.01,15.78,0,21.94
15,11,1981,29.59,16.48,0,23.32
16,11,1981,29.52,15.65,0,22.26
17,11,1981,29.9,16.04,0,22.29
18,11,1981,29.73,15.87,0,22.14
19,11,1981,28.67,17.05,0,20.67
20,11,1981,28.94,16.56,0,20.39
21,11,1981,28.66,17.33,1.58,19.97
22,11,1981,27.76,16.79,0,19.48
23,11,1981,27.98,16.32,1.95,18.74
24,11,1981,27.75,16.96,8.58,19.7
25,11,1981,28.83,17.61,0,20.7
26,11,1981,28.68,17.06,0,20.14
27,11,1981,29.7,17.48,0,21.81
28,11,1981,28.44,17.54,0,20.22
29,11,1981,29.78,15.95,0,21.96
30,11,1981,30.39,15.07,0,23.88
1,12,1981,29.67,16.15,0,23.76
2,12,1981,29.67,16.23,0,22.68
3,12,1981,30.29,16.51,0,21.81
4,12,1981,30.78,15.98,0,22.45
5,12,1981,30.52,16.28,0,22.1
6,12,1981,29.97,17.52,0,21.31
7,12,1981,28.3,17.74,0,19.06
8,12,1981,29.71,16.8,0,21.45
9,12,1981,31.01,16.76,0,22.63
10,12,1981,30.66,15.36,0,23.63
11,12,1981,30.8,14.87,0,23.64
12,12,1981,30.91,14.75,0,23.09
13,12,1981,30.95,14.88,0,23.4
14,12,1981,31.07,15.3,0,22.85
15,12,1981,30.38,16.73,0,21.78
16,12,1981,30.34,17.12,0,20.61
17,12,1981,30.02,16.49,0,20.63
18,12,1981,29.06,17.55,0,18.7
19,12,1981,29.31,16.87,0.56,19.49
20,12,1981,28.92,17.7,0,19.49
21,12,1981,29.12,18.23,0,19.35
22,12,1981,30.72,15.87,0,21.14
23,12,1981,30.39,16.56,0,22.04
24,12,1981,31.12,15.66,0,21.5
25,12,1981,30.93,17.11,0,22.17
26,12,1981,30.63,17.31,0,21.03
27,12,1981,29.91,17.66,0,19.84
28,12,1981,30.35,17.09,0,20.38
29,12,1981,30.35,16.67,0,20.95
30,12,1981,30.9,17.23,0,21.17
31,12,1981,29.63,18.14,11.82,18.85
1,1,1982,29.51,17.1,0,18.79
2,1,1982,29.73,18.25,0,20.03
3,1,1982,29.74,18.36,0,19.76
4,1,1982,29.53,18.71,0,19.68
5,1,1982,30.38,18.28,0.88,21.55
6,1,1982,30.37,18.29,0,20.6
7,1,1982,30.95,18,0,21.99
8,1,1982,31.42,17.5,0,21.8
9,1,1982,31.84,17.06,0,22.5
10,1,1982,30.84,17.68,0,20.78
11,1,1982,30.54,17.85,0,21.22
12,1,1982,30.73,17.77,0,20.57
13,1,1982,29.96,17.5,0,20.65
14,1,1982,29.52,18.47,0.98,19.58
15,1,1982,30.01,17.8,10.09,20.63
16,1,1982,29.56,17.9,0,19.05
17,1,1982,29.12,17.54,0,19.66
18,1,1982,29.61,18.05,14.35,20.95
19,1,1982,29.77,18.55,0,19.2
20,1,1982,30.13,16.69,0,21.87
21,1,1982,30.58,18.1,0,21.36
22,1,1982,30.8,16.88,0,20.78
23,1,1982,31.21,16.93,0,23.6
24,1,1982,30.45,17.18,0,22
25,1,1982,30.99,18.29,0,22.46
26,1,1982,31.3,18.77,0,22.51
27,1,1982,31.35,17.8,0,22.68
28,1,1982,31.8,17.52,0,23.68
29,1,1982,32.8,17.43,0,23.79
30,1,1982,30.7,18.62,9.93,22.43
31,1,1982,30.71,18.51,0,22.47
1,2,1982,31.44,17.55,0,22.52
2,2,1982,29.47,18.35,0,20.5
3,2,1982,30.6,18.12,0,21.55
4,2,1982,30.44,18.38,0,20.52
5,2,1982,30.51,18.12,0,21.29
6,2,1982,30.87,17.96,0,21.67
7,2,1982,31.26,17.67,0,21.19
8,2,1982,30.8,17.59,3.03,22.32
9,2,1982,31.25,17,0.6,21.27
10,2,1982,30.66,18.19,0,21.26
11,2,1982,30.8,17.98,0,20.54
12,2,1982,29.49,18.55,0,18.91
13,2,1982,25.74,17.7,0,16.13
14,2,1982,29.49,17.48,0.22,20.17
15,2,1982,27.44,17.49,3.37,19.6
16,2,1982,29.04,16.42,2.56,21.26
17,2,1982,29.05,17.7,2.87,20.91
18,2,1982,29.32,17.85,1.29,20.03
19,2,1982,28.86,17.58,0,20.89
20,2,1982,31.39,15.8,0,25.45
21,2,1982,31.85,16.84,0,23.74
22,2,1982,32.02,17.25,0,24.6
23,2,1982,32.01,17.14,0,23.39
24,2,1982,31.35,19.06,0,22.89
25,2,1982,30.76,18.2,0,21.13
26,2,1982,30.54,19.06,2.41,20.24
27,2,1982,30.6,18.42,6.96,21.43
28,2,1982,30.69,18.19,7.93,22.32
1,3,1982,30.57,18.53,0,22.77
2,3,1982,29.58,17.89,0,21.57
3,3,1982,30.62,18.33,15.36,22.89
4,3,1982,29.51,19.31,0,20.54
5,3,1982,30.5,17.53,1.63,21.68
6,3,1982,30.36,18.48,0,23.68
7,3,1982,31.26,17.18,0,23.45
8,3,1982,30.01,17.88,0,21.56
9,3,1982,31.35,18.31,0,24.76
10,3,1982,31.5,19.14,0,24.15
11,3,1982,31.49,18.92,0,23.15
12,3,1982,32.56,17.69,0,26.81
13,3,1982,32.07,17.98,0,24.95
14,3,1982,32.39,18.2,0,25.56
15,3,1982,32.29,18.21,6.12,23.94
16,3,1982,31.96,19.13,0,23.84
17,3,1982,31.93,19.98,0,23.68
18,3,1982,31.97,20.13,0,23.99
19,3,1982,31.66,19.7,0,22.48
20,3,1982,31.76,17.9,0,22.33
21,3,1982,31.19,18.81,2.6,21.77
22,3,1982,30.51,18.09,0,22.45
23,3,1982,31.92,18.86,0,24.1
24,3,1982,32.99,19.58,0,25.26
25,3,1982,33.16,19.1,0,26.58
26,3,1982,33.28,19.11,0,26.26
27,3,1982,32.38,19.45,0,22.23
28,3,1982,30.31,18.22,0,21.21
29,3,1982,27.67,18.65,17.78,16.94
30,3,1982,28.73,17.82,19.82,20.37
31,3,1982,29.46,17.77,0,21.74
1,4,1982,27.06,18.34,4.03,19.03
2,4,1982,27.76,18.34,0,19.06
3,4,1982,28.68,18.69,0,21.69
4,4,1982,30.07,19.37,0,21.45
5,4,1982,28.61,18.37,0,19.87
6,4,1982,29.2,18.56,15.72,21.12
7,4,1982,28.56,18.79,17.92,20.17
8,4,1982,28.31,18.48,0,19.55
9,4,1982,28.94,18.37,0,21.1
10,4,1982,29.95,18.6,0,22.61
11,4,1982,28.99,19.28,0,20.31
12,4,1982,29.54,19.54,5.45,21.57
13,4,1982,28.86,17.81,2.76,20.99
14,4,1982,28.4,17.67,6.05,21.12
15,4,1982,28.85,17.66,5.26,21.1
16,4,1982,29.78,17.58,2.55,22.07
17,4,1982,28.22,17.85,5.15,19.67
18,4,1982,29.08,17.63,2.45,20.89
19,4,1982,29.39,17.38,4.96,20.74
20,4,1982,28.81,18.22,2.35,18.73
21,4,1982,28.59,18.22,3.96,18.46
22,4,1982,28.41,17.55,8.42,19.09
23,4,1982,29.62,18,8.01,21.31
24,4,1982,29.1,18.33,7.96,20.43
25,4,1982,27.12,18.28,13.21,17.17
26,4,1982,27.48,18.46,6.11,17.16
27,4,1982,27.01,17.84,0.76,19.35
28,4,1982,28.93,18.18,0,21.04
29,4,1982,28.18,18.77,5.59,20.27
30,4,1982,27.92,18.14,6.11,19.49
1,5,1982,28.6,18.02,0,21.01
2,5,1982,29.34,18.25,0,22.6
3,5,1982,28.74,18.38,0,21.98
4,5,1982,27.89,17.88,0,19.99
5,5,1982,27.92,18.64,6.98,20.4
6,5,1982,25.12,18.59,2.17,15.41
7,5,1982,27.56,17.58,13.58,20.32
8,5,1982,27.12,17.57,0.83,20.78
9,5,1982,26.82,18.3,6.79,19.77
10,5,1982,26.16,17.47,10.17,18.14
11,5,1982,25.54,17.46,6.23,16.65
12,5,1982,25.21,17.87,3.14,15.91
13,5,1982,25.57,17.86,3.19,16.82
14,5,1982,26.43,17.88,7.32,18.9
15,5,1982,26.24,18.03,11.82,18.16
16,5,1982,26.6,18.09,18,18.09
17,5,1982,27.09,17.54,0,19.4
18,5,1982,26.57,17.53,0,19.27
19,5,1982,27.04,17.7,12.49,19.12
20,5,1982,27.22,17.06,0.7,19.92
21,5,1982,26.79,18.03,0,19.69
22,5,1982,27.56,17.14,0,20.14
23,5,1982,27.48,18.34,0,20.5
24,5,1982,27.06,17.79,8.2,19.03
25,5,1982,27.85,17.66,5.6,21.42
26,5,1982,27.51,17.54,1.26,19.96
27,5,1982,27.44,18.17,9.19,18.67
28,5,1982,26.94,18.46,1.24,18.19
29,5,1982,25.54,17.7,0,17.14
30,5,1982,27.66,17.69,11.51,19.79
31,5,1982,27.52,18.3,3.98,18.58
1,6,1982,26.54,17.87,0,19.54
2,6,1982,26.29,18.09,0,19.12
3,6,1982,27.66,17.98,0,20.08
4,6,1982,26.62,17.63,9.52,19.48
5,6,1982,27.47,17.5,0.73,20.39
6,6,1982,26.3,18.5,7.23,18.37
7,6,1982,27.16,17.52,0,19.44
8,6,1982,28.01,17.15,4.4,20.49
9,6,1982,28.21,17.6,0,19.8
10,6,1982,27.15,18.54,0,19.44
11,6,1982,27.12,18.63,0,18.85
12,6,1982,26.6,18.7,0,17.39
13,6,1982,26.51,17.91,0.12,18.29
14,6,1982,25.42,18.42,10.49,16.43
15,6,1982,27.2,18.28,7.54,19.24
16,6,1982,26.08,17.66,6,17.4
17,6,1982,27.76,16.92,0,20.11
18,6,1982,26.29,17.96,0,18.38
19,6,1982,26.82,18.13,0,18.97
20,6,1982,25.28,18.05,0,16.19
21,6,1982,26.84,18.21,33.6,17.87
22,6,1982,25.21,17.64,0,16.96
23,6,1982,26.41,17.06,0,18.79
24,6,1982,25.81,17.77,0,18.73
25,6,1982,25.03,17.31,0,17.22
26,6,1982,26.09,17.31,0,19.53
27,6,1982,26.08,17.03,0,19.01
28,6,1982,25.64,17.44,0,17.53
29,6,1982,24.76,17.81,0,16.43
30,6,1982,26.66,16.61,0,20.57
1,7,1982,26.3,17.25,0,20.74
2,7,1982,26.84,17.05,9.78,20.14
3,7,1982,25.19,18.02,6.96,17.79
4,7,1982,25.14,17.17,1.81,17.13
5,7,1982,25.46,16.04,0,17.47
6,7,1982,26,17.17,0,18.8
7,7,1982,26.73,16.95,0,20.12
8,7,1982,26.12,17.87,0,18.77
9,7,1982,25.92,17.29,0,19.79
10,7,1982,26.13,17.59,0,20.12
11,7,1982,25.73,17.91,0,19.26
12,7,1982,25.8,17.51,0,19.45
13,7,1982,26.04,18.33,0,18.5
14,7,1982,24.82,18.24,0,15.87
15,7,1982,25.05,17.38,0,17.54
16,7,1982,25.77,17.14,0,18.4
17,7,1982,25.35,17.79,2.11,18.05
18,7,1982,25,17.8,0,15.87
19,7,1982,26.22,18.29,0,18.49
20,7,1982,25.43,17.65,0,18.19
21,7,1982,26.49,17.74,9.77,19.94
22,7,1982,24.53,17.7,15.01,15.47
23,7,1982,21.08,17.69,9.94,10.29
24,7,1982,25.05,16.37,0,18.23
25,7,1982,24.5,17.65,0,16.37
26,7,1982,25.59,17.71,0,18.26
27,7,1982,24.27,16.74,0,18.49
28,7,1982,26.33,17.23,0,19.65
29,7,1982,25.9,18.09,16.46,18.28
30,7,1982,26.55,18.13,0,20.49
31,7,1982,26.21,18.14,0,19.93
1,8,1982,25.82,17.41,0,19.83
2,8,1982,23.86,18.06,22.55,13.89
3,8,1982,24.49,17.07,12.57,17.79
4,8,1982,25.82,16.39,2.48,20.46
5,8,1982,26.33,17,9.05,20.42
6,8,1982,25.73,16.67,0,20.22
7,8,1982,25.88,17.35,0,18.28
8,8,1982,27.03,17.15,0,22.24
9,8,1982,25.66,17.9,0,19.23
10,8,1982,25.54,18.02,19.1,17.25
11,8,1982,25.57,17.98,0,18.44
12,8,1982,25.74,17.64,17.58,19.01
13,8,1982,21.36,16.45,43.27,11.44
14,8,1982,23.85,16.56,0,16.57
15,8,1982,25.08,17.23,0,17.21
16,8,1982,24.12,18.1,2,14.47
17,8,1982,24.91,17.67,0,16.76
18,8,1982,25.05,17.28,0,16.52
19,8,1982,25.52,17.47,0,16.88
20,8,1982,24.82,17.76,0,16.3
21,8,1982,25.95,18.75,0,17.75
22,8,1982,27.42,18.35,0,19.6
23,8,1982,26.78,17.19,0,19.53
24,8,1982,25.4,17.49,0,18.79
25,8,1982,25.88,17.94,0,17.98
26,8,1982,25.37,17.82,19.32,18.94
27,8,1982,25.73,16.69,0,19.76
28,8,1982,25.88,16.7,0,18.92
29,8,1982,26.3,17.32,0,19.11
30,8,1982,27,17.83,0,19.94
31,8,1982,27.41,16.81,0,22.8
1,9,1982,27.36,17.32,0,21.33
2,9,1982,27.28,16.92,9.34,22.07
3,9,1982,26.71,17.66,0,19.97
4,9,1982,27.17,16.39,23.96,20.07
5,9,1982,26.6,17.18,12.68,19.34
6,9,1982,27.4,16.68,0.55,21.72
7,9,1982,27.88,17.38,0,21.52
8,9,1982,27.58,16.82,0,23.04
9,9,1982,28.3,17.77,0,22.67
10,9,1982,28.39,17.2,0,22.78
11,9,1982,28.12,17.28,16.27,21.41
12,9,1982,27.89,17.86,0,21.57
13,9,1982,26.74,18.27,2.27,17.89
14,9,1982,24.78,17.72,2.45,15.84
15,9,1982,24.23,17.13,0.33,14.67
16,9,1982,26.26,17.17,4.49,20.38
17,9,1982,27,17.7,4.92,20.57
18,9,1982,27.63,16.95,3.25,21.7
19,9,1982,27.48,16.64,4.72,21.37
20,9,1982,27.47,16.44,7.66,20.98
21,9,1982,27.32,16.9,1.16,20.02
22,9,1982,25.68,16.84,27.64,18.37
23,9,1982,26.27,16.7,17.58,18.05
24,9,1982,27.12,17.9,0,20.36
25,9,1982,27.97,17.85,0,22.48
26,9,1982,28.13,17.01,0,23.91
27,9,1982,27.4,17.06,0,21.56
28,9,1982,27.42,17.62,0,19.82
29,9,1982,26.94,17.06,0,19.67
30,9,1982,25.64,16.1,27.14,19.34
1,10,1982,26.83,16.04,1.13,21.25
2,10,1982,25.79,17.43,0,18.36
3,10,1982,25.1,17.07,20.98,17.34
4,10,1982,26.24,16.44,9.17,20.05
5,10,1982,27.11,15.74,0,21.67
