day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.28,15.22,0,20.75
2,1,1981,26.57,15.63,0,22.03
3,1,1981,28.06,15.86,0,20.9
4,1,1981,27.9,15.82,0,20.89
5,1,1981,28.62,15.89,2.2,23.08
6,1,1981,26.73,16.24,4.55,20.28
7,1,1981,27.44,15.48,0,23.13
8,1,1981,27.58,15.09,0,23.78
9,1,1981,27.72,15.07,0,23.23
10,1,1981,28.16,15.15,0,23.47
11,1,1981,28.11,15.52,0,23.43
12,1,1981,28.83,16.02,0,22.41
13,1,1981,28.57,16.28,0,23.03
14,1,1981,28.05,16.27,0,21.87
15,1,1981,27.65,16.14,0,21.35
16,1,1981,28.08,16.27,0,22.08
17,1,1981,28.35,16.03,0,23.41
18,1,1981,28.44,15.98,0,23.56
19,1,1981,28.65,16.35,0,22.34
20,1,1981,28.37,15.76,0,24.16
21,1,1981,27.83,15.59,0,20.81
22,1,1981,28.34,16.84,0,20.32
23,1,1981,27.03,16.58,0,20.46
24,1,1981,28.93,16.13,0,22.92
25,1,1981,29.12,15.98,0,24.24
26,1,1981,29.11,15.91,0,24.28
27,1,1981,28.78,15.61,0,24.51
28,1,1981,28.73,15.52,0,24.64
29,1,1981,28.9,15.53,0,23.58
30,1,1981,27.62,15.99,0,22.1
31,1,1981,28.35,15.27,0,24.73
1,2,1981,27.74,14.55,0,25
2,2,1981,28.13,14.69,0,24.91
3,2,1981,28.47,14.78,0,24.91
4,2,1981,28.4,15.2,0,24.81
5,2,1981,28.84,15.35,0,24.29
6,2,1981,28.84,15.35,0,24.79
7,2,1981,28.22,15.3,0,25.15
8,2,1981,28.17,15.37,0,21.85
9,2,1981,27.3,15.91,0,19.68
10,2,1981,27.9,16.99,0,20.12
11,2,1981,26.88,17.17,0,19.41
12,2,1981,26.39,16.79,0,21.11
13,2,1981,26.5,16.47,0,19.83
14,2,1981,27.39,16.08,6.39,22.49
15,2,1981,26.69,16.34,6.04,22.38
16,2,1981,23.98,16.93,0.12,17.23
17,2,1981,25.61,16.05,9.52,18.88
18,2,1981,26.19,16.11,3.47,20.49
19,2,1981,26.65,15.91,0,21.3
20,2,1981,27.21,16.11,0,22.36
21,2,1981,28.3,15.74,0,23.56
22,2,1981,28.43,15.66,0,23.83
23,2,1981,29.47,15.82,0,25.08
24,2,1981,29.41,15.85,0.44,24.6
25,2,1981,29.53,15.94,0,24.26
26,2,1981,28.96,15.83,0,25.08
27,2,1981,27.36,16.15,0,23.04
28,2,1981,28.57,16.4,2.27,23.46
1,3,1981,28.95,17,0.22,22.85
2,3,1981,27.63,17.48,21.3,20.66
3,3,1981,26.59,16.69,1.32,19.96
4,3,1981,25.9,16.15,1.56,19.4
5,3,1981,25.74,16.36,4.3,19.35
6,3,1981,25.54,16.76,8.52,20.13
7,3,1981,26,16.36,0,20.98
8,3,1981,26.82,15.78,1.34,23.46
9,3,1981,26.91,15.73,0,23.77
10,3,1981,26.29,15.95,0,21.62
11,3,1981,26.54,16.24,0,22.29
12,3,1981,26.46,16.26,1.45,21.63
13,3,1981,24.85,16.45,1.59,19.19
14,3,1981,24.84,15.88,37.25,19.91
15,3,1981,25.15,16.11,13.96,19.76
16,3,1981,22.7,16.43,0.61,14.86
17,3,1981,24.7,15.8,0.97,20.79
18,3,1981,24.63,15.75,7.54,20.01
19,3,1981,24.11,16.17,18,18.88
20,3,1981,24.31,15.58,3.97,21.86
21,3,1981,22.93,15.89,10.46,14.93
22,3,1981,24.79,15.4,6.49,21.51
23,3,1981,22.94,15.69,18.59,16.81
24,3,1981,23.98,15.91,7.32,19.76
25,3,1981,21.4,16.13,5.62,13.27
26,3,1981,22.97,16,9.89,15.91
27,3,1981,22.23,15.9,10.08,14.3
28,3,1981,23.9,15.42,12.79,19.4
29,3,1981,23.04,15.9,5.21,17.29
30,3,1981,24.02,15.54,1.37,21.37
31,3,1981,23.46,16.06,10.79,18.83
1,4,1981,23.4,15.52,6.53,17.94
2,4,1981,23.4,15.46,12.91,17.65
3,4,1981,23.86,15.69,0,20.21
4,4,1981,24.64,15.24,0,21.32
5,4,1981,24.06,15.68,3.29,19.11
6,4,1981,24.53,15.41,9.13,22.45
7,4,1981,24.39,14.92,1.76,22.21
8,4,1981,24.3,15.09,1.57,20.86
9,4,1981,24.75,15.48,5.34,21.29
10,4,1981,24.07,15.8,12.12,19.93
11,4,1981,23.62,15.69,6.53,18.78
12,4,1981,23.87,15.65,4.51,17.62
13,4,1981,24.06,15.63,3.7,21.2
14,4,1981,23.92,15.4,9.82,20.19
15,4,1981,24.37,15.9,6.73,20.42
16,4,1981,25.02,15.67,0,20.59
17,4,1981,24.97,15.66,0,21.16
18,4,1981,23.93,15.62,26.08,19.67
19,4,1981,23.78,15.67,8.34,20.33
20,4,1981,23.67,15.63,2.32,18.95
21,4,1981,22.69,15.41,3.32,17
22,4,1981,22.49,15.45,18.43,15.72
23,4,1981,22.55,15.61,3.23,15.78
24,4,1981,23.03,14.71,17.75,19.54
25,4,1981,23.61,14.56,4.46,20.94
26,4,1981,24.42,14.7,0.48,22.39
27,4,1981,24.27,14.99,11.34,20.14
28,4,1981,25.48,15.12,3.79,23
29,4,1981,25.48,14.8,0,24.24
30,4,1981,25.63,14.82,0,23.16
1,5,1981,24.84,14.95,0,22.02
2,5,1981,24.38,15.35,0,21.82
3,5,1981,25.28,15.21,0,22.6
4,5,1981,25.23,14.79,0,23.13
5,5,1981,25.57,15.21,0.17,23.35
6,5,1981,25.26,15.37,0,21.52
7,5,1981,23.6,15.64,1.77,20.23
8,5,1981,23.1,15.1,3.77,19.88
9,5,1981,24.59,15.21,0.88,20.47
10,5,1981,23.73,14.97,0,19.67
11,5,1981,23.69,14.8,7.1,19.36
12,5,1981,22.96,15.08,7.12,19.17
13,5,1981,23.39,15.02,5.59,20
14,5,1981,22.55,14.99,2.33,20.74
15,5,1981,22.55,14.66,0.93,19.99
16,5,1981,23.57,14.86,4.76,21.19
17,5,1981,23.45,14.65,17.74,21.33
18,5,1981,23.16,15.04,2.09,19.27
19,5,1981,23.43,14.67,7.34,20.54
20,5,1981,23.4,14.83,0.2,19.62
21,5,1981,22.48,14.64,7.69,19.41
22,5,1981,22.63,14.99,0,18.78
23,5,1981,23.01,14.4,0,20.29
24,5,1981,22,14.82,1.17,17.54
25,5,1981,22.44,14.8,13.44,18.21
26,5,1981,23.79,14.41,0,20.55
27,5,1981,23.41,14.3,0.7,20.67
28,5,1981,23.73,14.3,0,20.43
29,5,1981,23.43,14.64,2.67,19.11
30,5,1981,22.53,14.92,6.61,17.57
31,5,1981,24.08,14.61,5.39,19.23
1,6,1981,23.65,14.97,1.78,19.7
2,6,1981,22.84,15.01,0,18.64
3,6,1981,22.13,14.4,0,17.34
4,6,1981,22.32,14.09,0,17.08
5,6,1981,21.7,14.76,10.5,15.74
6,6,1981,22.16,14.72,6.6,17.23
7,6,1981,22.35,14.71,0,16.38
8,6,1981,21.87,14.26,0,16.52
9,6,1981,22.28,14.72,0,17.86
10,6,1981,21.78,14.26,0,16.51
11,6,1981,22.28,14.13,0,17.8
12,6,1981,21.34,14.33,0.58,16.03
13,6,1981,21.29,14.28,0,16.61
14,6,1981,21.79,13.91,0,17.99
15,6,1981,22.39,13.71,0,18.18
16,6,1981,22.77,13.8,2.39,17.93
17,6,1981,21.81,14.28,11.33,16.3
18,6,1981,22.77,13.84,1.5,17.98
19,6,1981,23.07,14.49,0,18.43
20,6,1981,21.67,14.68,0,15.66
21,6,1981,21.74,14.45,3.81,16.24
22,6,1981,22.42,14.18,1.02,17.14
23,6,1981,23.22,14.05,1.29,17.57
24,6,1981,23.22,14.18,16.4,17.27
25,6,1981,21.11,14.55,14.11,13.5
26,6,1981,21.46,14.17,4.99,16.78
27,6,1981,22.04,13.67,8.91,17.2
28,6,1981,20.85,14.22,0,14.38
29,6,1981,21.15,14.09,0,16.05
30,6,1981,21.43,14.04,8.06,15.39
1,7,1981,21.89,13.98,22.24,14.77
2,7,1981,20.69,14.49,8.89,15.07
3,7,1981,20.7,14.13,0,14.65
4,7,1981,21.31,14.06,0,16.09
5,7,1981,21.16,13.84,0,15.97
6,7,1981,21.56,14.16,0,16.83
7,7,1981,21.6,14.07,0,16.91
8,7,1981,20.78,13.98,0,14.63
9,7,1981,20.8,13.53,24.63,15.91
10,7,1981,21.5,14.15,3.63,16.17
11,7,1981,19.54,14.05,0.25,14.25
12,7,1981,21.97,13.95,9.38,17.73
13,7,1981,21.44,13.83,17.56,17.3
14,7,1981,21.43,14.18,21.59,16.14
15,7,1981,19.55,13.96,11.85,12.37
16,7,1981,20.25,13.64,15.07,13.41
17,7,1981,20.12,13.74,0,14.48
18,7,1981,20.19,13.86,0,14.58
19,7,1981,20.49,14.12,0.33,14.1
20,7,1981,19.49,14.24,3.67,12.96
21,7,1981,20.54,14.11,1.37,15.75
22,7,1981,21.27,14.15,18.91,14.55
23,7,1981,21.45,14.11,0,16.91
24,7,1981,20.95,13.93,1.26,14.34
25,7,1981,21.01,13.52,0,15.21
26,7,1981,18.69,13.91,9.68,9.9
27,7,1981,20.37,13.81,0.98,15.94
28,7,1981,21.09,13.55,0,17.31
29,7,1981,21.5,13.52,5.06,17.35
30,7,1981,19.84,13.83,39.06,13.6
31,7,1981,20.96,14.01,0,16.15
1,8,1981,22.15,13.74,5.59,18.48
2,8,1981,22.38,13.66,19.72,18.06
3,8,1981,21.54,14.06,9.3,16.29
4,8,1981,20.5,14.42,0,11.81
5,8,1981,21.85,13.62,4.19,17.73
6,8,1981,20.63,14.03,24.03,14.4
7,8,1981,18.77,14.28,11.02,9.39
8,8,1981,21.71,14.28,0,16.85
9,8,1981,21.96,13.87,0,18.7
10,8,1981,21.76,13.92,0,17.63
11,8,1981,22.33,13.93,11.7,16.51
12,8,1981,20.88,14.31,5.69,14.31
13,8,1981,20.38,14.3,28.45,14.53
14,8,1981,21.52,13.89,12.22,17.24
15,8,1981,21.84,14.1,6.76,16.29
16,8,1981,21.21,13.29,5.36,16.32
17,8,1981,21.01,13.67,0,16.8
18,8,1981,22.65,13.73,0,20.13
19,8,1981,21.99,13.88,0,19.77
20,8,1981,21.86,13.64,0,19.75
21,8,1981,20.38,14.14,12.89,14.7
22,8,1981,21.6,13.41,0,18.92
23,8,1981,20.81,13.1,0,16.55
24,8,1981,21.2,13.89,0,17.1
25,8,1981,21.25,13.8,0,17.48
26,8,1981,21.95,13.32,16.09,18.79
27,8,1981,22,13.42,7.04,18.27
28,8,1981,22.12,13.52,0,19.51
29,8,1981,21.17,13.49,0,17.04
30,8,1981,22.8,13.5,4.42,19.75
31,8,1981,20.63,13.69,3.14,15.42
1,9,1981,21.13,13.98,21.02,17.49
2,9,1981,22.06,13.54,0,19.28
3,9,1981,20.94,13.76,0,17.55
4,9,1981,21.28,13.41,4.53,16.74
5,9,1981,21.32,13.63,6.66,18.46
6,9,1981,21.5,13.2,17.78,19.12
7,9,1981,21.78,13.8,0,18.71
8,9,1981,20.91,13.75,0,16.08
9,9,1981,21.91,13.69,0,19.43
10,9,1981,22.56,13.4,0.37,19.5
11,9,1981,22.57,13.29,11.54,19.89
12,9,1981,21.49,13.8,4.62,17.99
13,9,1981,22.48,13.43,4.27,20.4
14,9,1981,22.07,13.81,0,18.98
15,9,1981,21.02,13.89,2.3,17
16,9,1981,21.41,13.54,0,17.56
17,9,1981,21.84,13.89,5.77,19.06
18,9,1981,21.39,14.05,1.08,17.03
19,9,1981,22.01,13.78,6.46,19.08
20,9,1981,20.79,13.81,7.15,15.21
21,9,1981,23.08,14.17,0.84,20.9
22,9,1981,22.47,13.67,11.95,18.71
23,9,1981,23.32,14.12,0,19.87
24,9,1981,22.17,14.11,1.16,17.21
25,9,1981,21.1,14.44,14.35,14.01
26,9,1981,23.1,14.39,16.94,19.37
27,9,1981,22.41,14.16,14.58,18.31
28,9,1981,23.25,13.86,8.82,21.32
29,9,1981,23.03,13.81,1.81,21.44
30,9,1981,23.27,14.22,6.37,21.81
1,10,1981,23.52,13.92,4.18,20.42
2,10,1981,21.59,14.7,0,16.66
3,10,1981,23.24,14.48,1.31,20.03
4,10,1981,23.35,14.35,0,21.36
5,10,1981,23.72,14.32,4.36,21.58
6,10,1981,23.41,14.35,12.47,21.05
7,10,1981,23.52,14.28,2.5,21.6
8,10,1981,24.12,14.5,15.91,21.86
9,10,1981,23.46,14.28,0.18,19.69
10,10,1981,23.88,14.24,0.63,21.54
11,10,1981,24.47,13.92,0,22.96
12,10,1981,23.88,13.81,0,22.96
13,10,1981,23.61,14.41,0,21.19
14,10,1981,23.4,14.39,0,22.23
15,10,1981,23.99,14.17,2.47,22.37
16,10,1981,24.32,14.27,1.63,23.26
17,10,1981,24.18,14.33,0.3,22.41
18,10,1981,24.94,14.08,0,23.81
19,10,1981,24.82,13.83,0,23.62
20,10,1981,23.94,14.1,0,19.62
21,10,1981,23.89,14.07,0,22.52
22,10,1981,24.3,14.14,0,21.36
23,10,1981,25.16,14.3,0,23.44
24,10,1981,25.66,14.21,0,23.45
25,10,1981,25.39,14.07,0,23.86
26,10,1981,25.35,14.06,0,24.98
27,10,1981,25.2,13.1,0,24.93
28,10,1981,26.01,13.59,0.12,24.32
29,10,1981,26.19,14.12,0,25.19
30,10,1981,26.31,13.7,0,25.07
31,10,1981,26.41,13.81,0,24.42
1,11,1981,25.63,14.36,0,22.7
2,11,1981,24.45,14.54,10.04,21.09
3,11,1981,23.83,14.69,5.9,20.34
4,11,1981,23.3,14.69,0.3,19.43
5,11,1981,24.39,14.5,0,21.06
6,11,1981,25.81,14.59,0,22.79
7,11,1981,26.13,14.07,0,23.96
8,11,1981,25.81,13.82,0,24.18
9,11,1981,25.55,13.17,0,24.78
10,11,1981,26.47,13.23,0,24.21
11,11,1981,26.14,13.4,0,24.44
12,11,1981,26.35,13.82,0,24.27
13,11,1981,26.52,13.92,0,23.97
14,11,1981,26.24,14.02,0,23.64
15,11,1981,26.59,13.89,0,24.1
16,11,1981,26.58,13.87,0,24.32
17,11,1981,26.58,14.01,0,24.17
18,11,1981,27.11,14.49,0,23.92
19,11,1981,26.86,15.29,0,23.5
20,11,1981,26.85,14.79,0,22.45
21,11,1981,26.52,15.02,0,21.47
22,11,1981,25.31,15.43,0,19.97
23,11,1981,23.68,14.99,6.45,19.08
24,11,1981,25.02,14.55,0,21.71
25,11,1981,26.81,14.75,0,22.33
26,11,1981,26.67,14.46,0,23.23
27,11,1981,27.38,14.33,0,23.63
28,11,1981,26.78,14.49,0,23.21
29,11,1981,27.1,14.28,0,23.13
30,11,1981,26.8,13.82,0,23.68
1,12,1981,26.49,13.73,0,23.43
2,12,1981,26.83,14.44,0,22.34
3,12,1981,27.04,14.52,0,22.7
4,12,1981,26.9,14.31,0,23.25
5,12,1981,27.21,14.55,0,23.11
6,12,1981,27,14.79,0,19.99
7,12,1981,26.11,15.69,0.7,19.15
8,12,1981,27.06,15.09,0,21.56
9,12,1981,27.52,14.57,0,23.67
10,12,1981,27.27,14,0,23.61
11,12,1981,27.32,13.98,0,23.37
12,12,1981,27.22,14.08,0,23.31
13,12,1981,27.35,14.25,0,23.22
14,12,1981,27.45,14.32,0,23.05
15,12,1981,27.69,14.79,0,22.69
16,12,1981,27.38,15.08,0,21.5
17,12,1981,27.64,15.3,0,20.58
18,12,1981,26.72,15.84,0.65,17.93
19,12,1981,26.62,15.82,4.57,18.47
20,12,1981,26.24,16.5,0.13,17.24
21,12,1981,25.82,16.27,0,18.48
22,12,1981,27.47,15.88,0,20.16
23,12,1981,27.7,15.29,0,21.77
24,12,1981,28.31,15.1,0,22.4
25,12,1981,28.25,15.46,0,20.9
26,12,1981,28.8,16.28,0,22.17
27,12,1981,27.44,16.1,0,20.66
28,12,1981,27.6,16.03,0,21.4
29,12,1981,27.94,16.04,0,21
30,12,1981,28.29,15.78,0,21.43
31,12,1981,27.3,17.17,8.46,19.72
1,1,1982,25.64,16.57,0,17.37
2,1,1982,25.32,16.23,13.74,19.2
3,1,1982,25.29,16.11,3.49,19.34
4,1,1982,24.82,15.7,0,18.88
5,1,1982,25.09,16,3.16,18.64
6,1,1982,24.84,16.33,0,18.85
7,1,1982,26.75,15.57,0,22.26
8,1,1982,27.05,15.54,0,22.18
9,1,1982,26.51,15.34,0,22.09
10,1,1982,25.78,15.65,0,21.38
11,1,1982,26.49,15.53,15.98,21.87
12,1,1982,26.34,15.39,0,21.39
13,1,1982,25.78,15.59,0,20.38
14,1,1982,24.06,15.44,5.5,17.9
15,1,1982,24.91,15.81,0.81,19.89
16,1,1982,23.16,15.88,2.41,16.2
17,1,1982,23.72,15.38,0,18.54
18,1,1982,25.24,15.47,11.12,20
19,1,1982,25.67,15.52,0,21.29
20,1,1982,25.61,15.42,0,21.18
21,1,1982,26.27,15.33,0,22.12
22,1,1982,25.9,15.35,0,21.54
23,1,1982,26.59,15.13,0,23.78
24,1,1982,25.88,15.4,0,22.89
25,1,1982,25.66,15.48,0,22.45
26,1,1982,27.27,15.35,0,23.81
27,1,1982,26.76,15.26,0,23.07
28,1,1982,27.6,15.24,0,23.85
29,1,1982,28.46,14.87,0,24.2
30,1,1982,26.41,15.08,0,22.98
31,1,1982,26.95,14.99,0,23.46
1,2,1982,27.97,15.05,0,23.72
2,2,1982,25.87,15.79,0,20.7
3,2,1982,26.81,15.76,0,22.19
4,2,1982,26.25,16.57,1.17,22.04
5,2,1982,27.21,16.36,0,21.63
6,2,1982,24.8,16.09,0,19.53
7,2,1982,25.69,16.04,0,20.6
8,2,1982,24.82,15.79,2.75,20.16
9,2,1982,26.86,15.8,0,20.24
10,2,1982,26.37,16.12,0,20.43
11,2,1982,26.9,16.66,0,21.75
12,2,1982,24.38,16.54,0,18.69
13,2,1982,22.66,15.78,0,14.75
14,2,1982,25.11,16.02,11.28,20.67
15,2,1982,23.16,15.95,17.87,15.86
16,2,1982,24.01,15.35,8.14,19.85
17,2,1982,24.66,15.69,0,19.57
18,2,1982,24.51,15.81,1.57,19.72
19,2,1982,23.52,15.77,0,19.12
20,2,1982,26.72,15.3,0,23.51
21,2,1982,26.88,15.74,0,22.94
22,2,1982,26.94,15.7,0,23.67
23,2,1982,27.23,15.54,0,23.64
24,2,1982,26.62,15.95,0,23.51
25,2,1982,26.32,16.03,0.17,21.58
26,2,1982,26.75,16.01,9.76,20.78
27,2,1982,25.58,15.84,19.64,20.93
28,2,1982,26.7,15.79,8.09,22.13
1,3,1982,26.45,16.16,0.99,21.65
2,3,1982,25.98,15.93,2.4,22.08
3,3,1982,26.54,15.5,8.87,23.1
4,3,1982,25.22,16.38,0,20.24
5,3,1982,26.35,15.91,12.13,22.58
6,3,1982,26.06,15.46,6.47,22.25
7,3,1982,26.67,15.78,0,23.91
8,3,1982,26.78,15.77,0.36,23.8
9,3,1982,27.05,15.73,0,24.22
10,3,1982,27.97,16.29,0,25.46
11,3,1982,28.09,15.73,0,24.85
12,3,1982,28.13,15.55,0,26.24
13,3,1982,28.09,15.42,0,25.55
14,3,1982,27.97,16.43,0,25.08
15,3,1982,28.83,16.17,2.25,25.56
16,3,1982,27.93,15.94,0,23.45
17,3,1982,28.9,16.05,0,25.14
18,3,1982,28.94,15.93,0,24.66
19,3,1982,27.01,16.19,0,23.16
20,3,1982,28.73,16.12,1.03,25.08
21,3,1982,28.4,16.4,0.98,24.09
22,3,1982,27.89,16.21,0,22.72
23,3,1982,28.96,16.2,0,23.84
24,3,1982,29.54,16.21,0,25.59
25,3,1982,29.71,15.97,0,26.09
26,3,1982,29.71,16.08,0,25.92
27,3,1982,28.42,16.61,0,23.01
28,3,1982,26.03,16.15,0,20.76
29,3,1982,23.7,16.3,17.35,16.2
30,3,1982,24.11,16.02,38.52,18.41
31,3,1982,24.29,16.09,3.98,20.25
1,4,1982,21.51,15.92,28.15,14.18
2,4,1982,23.02,15.81,0,16.87
3,4,1982,24.29,15.59,0,20.37
4,4,1982,24.59,15.35,0,21.25
5,4,1982,23.59,15.97,1.14,16.58
6,4,1982,24.3,15.44,16.06,20.39
7,4,1982,24.76,16.18,4.98,21.07
8,4,1982,24.92,15.92,0.87,22.35
9,4,1982,25.17,15.87,1.2,21.5
10,4,1982,25.73,16.05,0,22.43
11,4,1982,24.48,16.07,1.26,20.67
12,4,1982,24.57,15.49,1.51,21.46
13,4,1982,24.3,15.53,4.16,20.35
14,4,1982,24.55,15.39,2.09,21.79
15,4,1982,24.24,15.23,7.69,20.89
16,4,1982,24.74,15.11,3.7,20.76
17,4,1982,23.74,15.44,6.02,19.15
18,4,1982,24.73,15.34,2.82,21.1
19,4,1982,25.4,14.92,5.64,22.19
20,4,1982,24.62,15.32,4.25,20.65
21,4,1982,24.47,15.63,1.08,20.03
22,4,1982,25.17,15.4,13.55,23.44
23,4,1982,26.25,15.13,2.59,24.54
24,4,1982,24.9,15.26,0,22.64
25,4,1982,23.67,15.07,3.7,19.17
26,4,1982,21.88,15.84,0,15.35
27,4,1982,23.26,15.9,11.1,17.37
28,4,1982,24.44,15.34,1.53,20.54
29,4,1982,25.68,15.25,0,22.05
30,4,1982,26.25,14.85,0,22.78
1,5,1982,26.13,15.13,0,23.01
2,5,1982,26.42,15.14,0,22.99
3,5,1982,25.41,15.6,0,22.31
4,5,1982,24.67,15.03,0,21.96
5,5,1982,24.27,15.34,6.04,20.52
6,5,1982,22.73,15.73,19.88,15.75
7,5,1982,22.49,15.21,2.39,17.11
8,5,1982,23.1,15.42,6.06,18.85
9,5,1982,22.92,15.01,20.9,18.26
10,5,1982,22.69,15.17,4.08,18.25
11,5,1982,21.82,15.15,0.59,15.8
12,5,1982,22.24,14.91,0.8,15.86
13,5,1982,21.25,15.13,1.32,14.2
14,5,1982,23.37,15.15,3.85,20.24
15,5,1982,21.66,15.17,6.54,15.53
16,5,1982,22.47,15.2,20.1,17.66
17,5,1982,24.84,14.56,0,22.05
18,5,1982,23.77,14.62,0,20.86
19,5,1982,24.71,14.64,0,21.98
20,5,1982,25.6,14.54,0,23.13
21,5,1982,24.02,14.52,0,20.6
22,5,1982,24.95,14.46,0,21.76
23,5,1982,23.22,14.81,0,19.77
24,5,1982,22.86,14.71,0.41,18.39
25,5,1982,23.65,14.29,18.54,20.17
26,5,1982,23.3,15.02,1.61,19.31
27,5,1982,23.01,14.65,12.53,19.83
28,5,1982,22.18,14.48,6.45,17.28
29,5,1982,21.92,14.75,1.16,17.3
30,5,1982,23.94,14.66,9.1,19.44
31,5,1982,23.52,14.57,0,19.02
1,6,1982,22.38,14.78,0,18.31
2,6,1982,22.25,14.54,14.37,17.99
3,6,1982,22.96,14,0,19.6
4,6,1982,23.17,14.18,0,18.64
5,6,1982,23.04,14.41,0,19.57
6,6,1982,22.14,14.2,11.84,18.97
7,6,1982,23.38,13.8,0,19.67
8,6,1982,23.37,14.18,0.19,19.9
9,6,1982,23.58,14.04,0.19,19.14
10,6,1982,22.9,14.31,0,17.21
11,6,1982,22.41,14.37,0,18.13
12,6,1982,21.7,14.86,0,13.89
13,6,1982,21.74,14.41,0,15.91
14,6,1982,21.4,14.49,14.53,14.71
15,6,1982,22.61,14.34,19.7,17.32
16,6,1982,21.42,14.12,0,14.98
17,6,1982,22.74,13.94,0,16.62
18,6,1982,21.62,14.4,0,16.05
19,6,1982,22.09,14.1,0,15.75
20,6,1982,19.73,14.35,12.32,11.2
21,6,1982,22.78,14.1,25.33,17.77
22,6,1982,21.31,13.92,9.87,14.56
23,6,1982,22.16,13.82,0,16.79
24,6,1982,21.88,13.74,2.93,16.22
25,6,1982,20.52,14.22,0,13.77
26,6,1982,21.28,13.78,0,17.23
27,6,1982,21.77,13.54,0,17.99
28,6,1982,21.36,13.72,0,17.07
29,6,1982,20.72,14.22,0,14.9
30,6,1982,21.88,13.89,0,18.28
1,7,1982,21.73,13.82,0,17.89
2,7,1982,21.4,13.43,9.21,17.36
3,7,1982,20.25,13.63,5.73,14.3
4,7,1982,20.94,13.92,3.95,15.93
5,7,1982,21.14,14.16,4.1,16.81
6,7,1982,20.86,13.69,0,14.74
7,7,1982,21.02,13.54,0,16.24
8,7,1982,20.85,13.8,0,15.2
9,7,1982,21.81,13.96,0,18.54
10,7,1982,21.26,13.87,0,17.28
11,7,1982,22.01,13.69,0,17.85
12,7,1982,21.32,13.95,0,16.44
13,7,1982,21.52,14.02,0,17.25
14,7,1982,20.3,14,0,13.47
15,7,1982,20.58,13.49,0,15.11
16,7,1982,20.82,14.1,0,15.81
17,7,1982,20.49,14.2,0,14.8
18,7,1982,20.7,13.81,14.03,15.9
19,7,1982,21.06,13.51,1.26,17.14
20,7,1982,20.7,13.51,0,16.26
21,7,1982,21.48,13.36,28.16,17.86
22,7,1982,19.88,13.98,16.76,12.64
23,7,1982,18.5,13.73,1.31,9.04
24,7,1982,21.29,13.98,8.1,17.23
25,7,1982,20.76,14.22,0,14.73
26,7,1982,20.7,14,0,13.98
27,7,1982,20.83,13.64,0,15.43
28,7,1982,21.44,13.67,0,18.82
29,7,1982,20.92,14.15,35.74,16.41
30,7,1982,21.58,13.53,0,17.82
31,7,1982,21.71,13.43,2.26,18.38
1,8,1982,21.08,13.62,0,17.67
2,8,1982,19.8,14.08,6.13,13.43
3,8,1982,20.81,13.87,1.1,16.42
4,8,1982,21.2,13.64,5.92,18.38
5,8,1982,21.58,13.53,28.27,17.62
6,8,1982,21.09,13.65,22.05,17.46
7,8,1982,20.6,13.69,0,16
8,8,1982,21.41,13.79,1.31,19.07
9,8,1982,21.28,13.25,0,17.12
10,8,1982,21.36,13.53,2.27,18.43
11,8,1982,21.22,13.63,1.63,17.38
12,8,1982,20.79,13.67,0,17.09
13,8,1982,17.45,13.85,31.26,8.17
14,8,1982,20.49,13.96,0,15.86
15,8,1982,20.47,13.64,0,15.14
16,8,1982,20.7,14.12,0,15.85
17,8,1982,20.45,13.63,0,15.32
18,8,1982,20.81,13.53,18.45,16.14
19,8,1982,19.82,13.82,0,12.81
20,8,1982,20.87,13.58,0,16
21,8,1982,21.17,13.79,0,16.65
22,8,1982,21.82,14.21,0,17.43
23,8,1982,21.11,13.94,28.76,16.98
24,8,1982,21.77,14.08,13.35,18
25,8,1982,21.44,14.33,0,16.99
26,8,1982,21.6,13.77,27.25,17.77
27,8,1982,21.85,13.42,0,19
28,8,1982,21,13.86,1.18,16.2
29,8,1982,21.4,13.96,0,17.14
30,8,1982,22.11,14.01,9.48,19.49
31,8,1982,22.12,14.08,0,20.69
1,9,1982,21.51,14.13,0,18
2,9,1982,22.66,13.56,0,20.22
3,9,1982,21.39,13.9,4.5,16.95
4,9,1982,22.8,13.86,20.06,20.55
5,9,1982,21.9,14.11,8.85,16.46
6,9,1982,22.37,13.69,10.39,18.72
7,9,1982,23.03,13.34,0,20.64
8,9,1982,23.13,13.85,0,21.82
9,9,1982,22.84,13.85,0,19.9
10,9,1982,22.35,13.43,12.38,20.35
11,9,1982,22.67,13.58,1.17,21.02
12,9,1982,22.73,13.87,0,20.11
13,9,1982,21.41,14.5,7.22,16.45
14,9,1982,21.49,14.09,9.56,16.41
15,9,1982,20.62,14.1,11.09,14.62
16,9,1982,21.71,14.11,4.13,18.46
17,9,1982,22.16,14.05,0.51,19.38
18,9,1982,22.69,13.97,3.19,20.3
19,9,1982,22.27,13.99,1.86,19.92
20,9,1982,21.91,13.79,2.05,19
21,9,1982,22.32,13.94,0,19.21
22,9,1982,21.34,14.34,10.23,16.6
23,9,1982,21.82,14.09,17.39,17.68
24,9,1982,22.53,14.14,0,20.26
25,9,1982,22.56,14.32,0,19.8
26,9,1982,23.08,13.57,0,21.43
27,9,1982,22.96,13.67,0,20.53
28,9,1982,22.47,13.92,0,19.48
29,9,1982,22.37,14.17,0,19.57
30,9,1982,22.13,13.97,6.31,19.25
1,10,1982,22.18,14.13,9.97,19.93
