day,month,year,t_max,t_min,prec,sol_rad
1,6,2023,26.16875,19.03675,4.925,18.67425
2,6,2023,26.2825,18.9855,3.075,18.94075
3,6,2023,26.12175,18.94675,6.16,19.0405
4,6,2023,26.234750000000002,18.93075,1.085,19.381
5,6,2023,25.99625,18.87675,6.529999999999999,18.894
6,6,2023,26.00125,18.8325,6.300000000000001,19.0825
7,6,2023,25.9925,18.81475,3.8,19.1305
8,6,2023,25.9785,18.73825,6.0600000000000005,19.25775
9,6,2023,25.561,18.673,6.16,18.26975
10,6,2023,25.76575,18.66275,4.3149999999999995,18.9625
11,6,2023,25.584,18.68575,6.575,18.6075
12,6,2023,25.69875,18.64875,4.925000000000001,18.98275
13,6,2023,25.47025,18.61525,7.81,18.373
14,6,2023,25.3675,18.5995,2.6399999999999997,18.03125
15,6,2023,25.5775,18.44525,2.54,18.90175
16,6,2023,25.47825,18.49375,2.38,18.72675
17,6,2023,25.31075,18.45325,6.449999999999999,18.30025
18,6,2023,25.061,18.442,3.945,18.155
19,6,2023,25.14925,18.324,2.5,18.491
20,6,2023,25.287,18.31025,3.0250000000000004,18.726
21,6,2023,25.0305,18.3015,9.85,18.10525
22,6,2023,25.02925,18.268,3.3449999999999998,18.274
23,6,2023,25.086,18.14075,0.8049999999999999,18.46575
24,6,2023,24.9065,18.15475,6.84,18.204
25,6,2023,24.68025,18.12675,2.815,17.896
26,6,2023,24.9855,18.04525,1.245,18.59575
27,6,2023,24.766750000000002,18.0255,2.275,18.24925
28,6,2023,24.49975,18.04575,6.055,17.74525
29,6,2023,24.5075,17.87675,1.125,18.059
30,6,2023,24.33925,17.82475,1.185,17.7875
1,7,2023,26.15,17.47,9.56,21.9
2,7,2023,25.53,18.27,1.5,19.41
3,7,2023,25.98,17.9,11.92,19.08
4,7,2023,24.74,17.77,15.34,16.56
5,7,2023,23.47,18.07,0,15.35
6,7,2023,25.52,17.51,7.33,20.49
7,7,2023,24.97,17.9,6.96,17.47
8,7,2023,23.02,18.23,1.53,13.98
9,7,2023,23.86,17.59,7.05,18.2
10,7,2023,24.77,17.05,9.99,19.87
11,7,2023,24.21,17.62,4.11,17.29
12,7,2023,25.54,17.34,10.49,21.41
13,7,2023,25.22,17.72,8.18,19.56
14,7,2023,24.96,17.75,20.64,17.9
15,7,2023,24.97,17.68,0,19.75
16,7,2023,24.57,17.32,0.16,19.17
17,7,2023,24.87,18.02,14.69,19.13
18,7,2023,21.74,17.81,16.98,12.13
19,7,2023,23.54,17.52,6.77,15
20,7,2023,24.29,16.96,5.67,20.64
21,7,2023,22.07,17.85,12.82,13.34
22,7,2023,23.02,17.39,13,17.55
23,7,2023,24.3,17.36,1.1,19.42
24,7,2023,25.04,17.44,1.24,20.39
25,7,2023,23.56,17.7,17.9,16.63
26,7,2023,20.74,17.06,10.86,11.34
27,7,2023,23.93,16.19,1.23,20.27
28,7,2023,25.01,16.58,0,21.25
29,7,2023,23.09,17.46,20.93,17.1
30,7,2023,22.35,17.24,21.42,15.22
31,7,2023,24.54,16.72,1.34,21.05
1,8,2023,24.7,16.89,3.7,19.96
2,8,2023,25.72,17.17,0,21.31
3,8,2023,22.24,17.5,24.62,15.27
4,8,2023,22.81,17.07,1.47,13.82
5,8,2023,24.65,16.68,0.38,19.78
6,8,2023,23.74,17.5,9.84,18.08
7,8,2023,22.77,17.7,17.89,15.12
8,8,2023,22.68,17.1,10.42,15.48
9,8,2023,25.33,16.24,1.8,22.3
10,8,2023,25.76,17.31,2.31,21.55
11,8,2023,25.1,17.17,13.47,19.98
12,8,2023,24.89,17.63,0,19.5
13,8,2023,23.42,17.84,11.69,16.12
14,8,2023,23.03,17.57,0,16.04
15,8,2023,22.67,17.34,7.54,15.6
16,8,2023,24.45,17.59,12.63,18.79
17,8,2023,23.95,17.17,5.41,18.52
18,8,2023,23.86,17.83,22.87,18.09
19,8,2023,24.2,17.67,1.68,18.03
20,8,2023,25.07,17.87,0,19.55
21,8,2023,25.24,17.75,0.94,20.14
22,8,2023,25.1,18.22,2.05,19.77
23,8,2023,25.14,17.61,5.96,19.46
24,8,2023,24.37,17.93,9.17,17.63
25,8,2023,25.5,18.19,9.34,19.04
26,8,2023,23.55,17.88,3.4,17.9
27,8,2023,25.09,17.58,7.64,18.41
28,8,2023,22.11,17.5,17.11,12.95
